date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.65,-0.1558,1075858090,8129836962
2025-12-31,2.06,0.0198,3421001214,31602577614
2025-09-30,1.42,-0.2022,2352826956,21986403962
2025-06-30,1.09,-0.2431,1815258363,14810160219
2025-03-31,1,-0.0654,1270073785,6853656384
2024-12-31,2.63,0.1741,3367888968,27616611773
2024-09-30,2.32,0.234,2959832869,19740286995
2024-06-30,1.87,0.2721,2398360138,14106012765
2024-03-31,1.39,0.1983,1363825964,7294070558
2023-12-31,2.9,0.1694,2852931665,24738963320
2023-09-30,2.44,0.2261,2402599847,18608005954
2023-06-30,1.91,0.3082,1877124660,13146125695
2023-03-31,1.16,0.3488,1151030151,6352408319
2022-12-31,2.48,0.181,2448802103,18079461483
2022-09-30,1.99,0.1117,1952336234,12110720576
2022-06-30,1.46,0.0355,1433067713,8400943579
2022-03-31,0.86,0.303,838713628,4194386686
2021-12-31,2.09,0.2822,2046867983,15319993635
2021-09-30,1.78,0.0988,1741152226,11099275826
2021-06-30,1.39,0.287,1365192131,7756767623
2021-03-31,0.66,0.2453,642951077,4079841527
2020-12-31,1.63,-0.2383,1597489175,13637258154
2020-09-30,1.6,-0.204,1564201636,9241413658
2020-06-30,1.08,-0.3864,1060824999,5832422067
2020-03-31,0.54,-0.5462,533309778,3137095984
2019-12-31,2.16,0.4795,2112494768,14701918764
2019-09-30,2.01,0.7632,1969393683,10187324423
2019-06-30,1.76,1.0952,1722327729,7166809329
2019-03-31,1.19,1.7674,1166843862,3482272550
2018-12-31,1.46,0.0977,1432078202,13427746163
2018-09-30,1.14,0.1633,1112454763,9444297444
2018-06-30,0.84,0.1053,826501378,6472097342
2018-03-31,0.43,0.1316,422914174,3380320208
2017-12-31,1.33,0.0902,1301687250,11119916380
2017-09-30,0.98,0.1011,959115018,7483779864
2017-06-30,0.76,0.1692,741254468,4997952867
2017-03-31,0.38,0.1875,374692855,2456863818
2016-12-31,1.22,-0.0469,1197840599,8981721081
2016-09-30,0.89,0.0471,869297954,6164009776
2016-06-30,0.65,0.0156,636139343,4280723345
