date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,1201166689158.45,6.3084,,,,,17.4997,,,,,6.3084,,,,,286.9096,,,,,0.0000,238.0637,,,,
2026-07-02,1233612143879.5,6.4788,,,,,17.9724,,,,,6.4788,,,,,294.6595,,,,,0.0000,244.4942,,,,
2026-07-01,1322473310107.6,6.9455,,,,,19.2670,,,,,6.9455,,,,,315.8848,,,,,0.0000,262.1059,,,,
2026-06-30,1359627208125.9,7.1406,,,,,19.8083,,,,,7.1406,,,,,324.7594,,,,,0.0000,269.4696,,,,
2026-06-29,1292671548230.0,6.7890,,,,,18.8328,,,,,6.7890,,,,,308.7664,,,,,0.0000,256.1994,,,,
2026-06-26,1273486451842.0,6.6882,,,,,18.5533,,,,,6.6882,,,,,304.1839,,,,,0.0000,252.3970,,,,
2026-06-25,1342827943237.0,7.0524,,,,,19.5635,,,,,7.0524,,,,,320.7467,,,,,0.0000,266.1400,,,,
2026-06-24,1297199529763.5,6.8128,,,,,18.8988,,,,,6.8128,,,,,309.8480,,,,,0.0000,257.0968,,,,
2026-06-23,1213048065515.0,6.3708,,,,,17.6728,,,,,6.3708,,,,,289.7476,,,,,0.0000,240.4185,,,,
2026-06-22,1166684719142.4302,7.7880,,,,,16.9973,,,,,7.7880,,,,,278.6733,,,,,0.0000,231.2296,,,,
2026-06-18,1127498729193.9,7.5264,,,,,16.4264,,,,,7.5264,,,,,269.3134,,,,,0.0000,223.4631,,,,
2026-06-17,1079417759931.9,7.2054,,,,,15.7259,,,,,7.2054,,,,,257.8288,,,,,0.0000,213.9338,,,,
2026-06-16,1042876223292.78,6.9615,,,,,15.1936,,,,,6.9615,,,,,249.1005,,,,,0.0000,206.6915,,,,
2026-06-15,1045921351346.0402,6.9818,,,,,15.2379,,,,,6.9818,,,,,249.8279,,,,,0.0000,207.2950,,,,
2026-06-12,1000725240239.76,6.6801,,,,,14.5795,,,,,6.6801,,,,,239.0324,,,,,0.0000,198.3374,,,,
2026-06-11,1020919247329.8002,6.8149,,,,,14.8737,,,,,6.8149,,,,,243.8559,,,,,0.0000,202.3398,,,,
2026-06-10,1004411447883.1802,6.7047,,,,,14.6332,,,,,6.7047,,,,,239.9128,,,,,0.0000,199.0680,,,,
2026-06-09,1020117897842.1,6.8096,,,,,14.8620,,,,,6.8096,,,,,243.6645,,,,,0.0000,202.1809,,,,
2026-06-08,977005295403.84,6.5218,,,,,14.2339,,,,,6.5218,,,,,233.3666,,,,,0.0000,193.6363,,,,
2026-06-05,1020919247329.8002,6.8149,,,,,14.8737,,,,,6.8149,,,,,243.8559,,,,,0.0000,202.3398,,,,
2026-06-04,1080860189009.76,7.2151,,,,,15.7470,,,,,7.2151,,,,,258.1733,,,,,0.0000,214.2197,,,,
2026-06-03,1073807499602.0,7.1680,,,,,15.6442,,,,,7.1680,,,,,256.4887,,,,,0.0000,212.8219,,,,
2026-06-02,1061626996621.44,7.0867,,,,,15.4667,,,,,7.0867,,,,,253.5793,,,,,0.0000,210.4078,,,,
2026-06-01,1061306457069.32,7.0845,,,,,15.4621,,,,,7.0845,,,,,253.5027,,,,,0.0000,210.3443,,,,
2026-05-29,1121122612041.71,7.4838,,,,,16.3335,,,,,7.4838,,,,,267.7904,,,,,0.0000,222.1994,,,,
2026-05-28,1231624226079.7,8.2214,,,,,17.9434,,,,,8.2214,,,,,294.1847,,,,,0.0000,244.1002,,,,
2026-05-27,1171685714621.82,7.8213,,,,,17.0702,,,,,7.8213,,,,,279.8678,,,,,0.0000,232.2207,,,,
2026-05-26,1195404697765.58,7.9797,,,,,17.4157,,,,,7.9797,,,,,285.5333,,,,,0.0000,236.9217,,,,
2026-05-25,1250054517036.0,8.3445,,,,,18.2119,,,,,8.3445,,,,,298.5869,,,,,0.0000,247.7529,,,,
2026-05-22,1052369613604.73,7.0249,,,,,15.3319,,,,,7.0249,,,,,251.3681,,,,,0.0000,208.5730,,,,
2026-05-21,1019435484982.82,6.8050,,,,,14.8521,,,,,6.8050,,,,,243.5015,,,,,0.0000,202.0457,,,,
2026-05-20,1072242275157.61,7.1575,,,,,15.6214,,,,,7.1575,,,,,256.1149,,,,,0.0000,212.5117,,,,
2026-05-19,952124857142.42,6.3557,,,,,13.8714,,,,,6.3557,,,,,227.4237,,,,,0.0000,188.7052,,,,
2026-05-18,942509053165.22,6.2915,,,,,13.7313,,,,,6.2915,,,,,225.1269,,,,,0.0000,186.7994,,,,
2026-05-15,953727491138.62,6.3664,,,,,13.8948,,,,,6.3664,,,,,227.8065,,,,,0.0000,189.0228,,,,
2026-05-14,944752740759.9,6.2640,,,,,14.0331,,,,,6.2640,,,,,229.0706,,,,,0.0000,187.4236,,,,
2026-05-13,976484893884.66,6.4743,,,,,14.5044,,,,,6.4743,,,,,236.7645,,,,,0.0000,193.7188,,,,
2026-05-12,977446474282.38,6.4807,,,,,14.5187,,,,,6.4807,,,,,236.9977,,,,,0.0000,193.9096,,,,
2026-05-11,981773586072.12,6.5094,,,,,14.5830,,,,,6.5094,,,,,238.0469,,,,,0.0000,194.7680,,,,
2026-05-08,964064480414.11,6.3920,,,,,14.3199,,,,,6.3920,,,,,233.7530,,,,,0.0000,191.2548,,,,
2026-05-07,1004370725418.54,6.6592,,,,,14.9186,,,,,6.6592,,,,,243.5259,,,,,0.0000,199.2509,,,,
2026-05-06,986421224661.1,6.5402,,,,,14.6520,,,,,6.5402,,,,,239.1738,,,,,0.0000,195.6900,,,,
2026-04-30,951403671844.13,6.3080,,,,,14.1319,,,,,6.3080,,,,,230.6832,,,,,0.0000,188.7431,,,,
2026-04-29,901236130397.73,5.9754,,,,,13.3867,,,,,5.9754,,,,,218.5193,,,,,0.0000,178.7907,,,,
2026-04-28,913496211126.0,6.0567,,,,,13.5688,,,,,6.0567,,,,,221.4919,,,,,0.0000,181.2229,,,,
2026-04-27,934170072746.2198,6.1938,,,,,13.8759,,,,,6.1938,,,,,226.5046,,,,,0.0000,185.3242,,,,
2026-04-24,889136312162.6399,5.8952,,,,,13.2070,,,,,5.8952,,,,,215.5855,,,,,0.0000,176.3902,,,,
2026-04-23,849230951360.82,5.6306,,,,,12.6142,,,,,5.6306,,,,,205.9098,,,,,0.0000,168.4737,,,,
2026-04-22,864375756966.33,5.7310,,,,,12.8392,,,,,5.7310,,,,,209.5819,,,,,0.0000,171.4782,,,,
2026-04-21,861090375856.1399,5.7092,,,,,12.7904,,,,,5.7092,,,,,208.7853,,,,,0.0000,170.8264,,,,
2026-04-20,865096938185.6399,5.7358,,,,,12.8499,,,,,5.7358,,,,,209.7567,,,,,0.0000,171.6212,,,,
2026-04-17,843221107866.57,5.5908,,,,,12.5250,,,,,5.5908,,,,,204.4526,,,,,0.0000,167.2814,,,,
2026-04-16,834807326974.62,5.5350,,,,,12.4000,,,,,5.5350,,,,,202.4125,,,,,0.0000,165.6123,,,,
2026-04-15,832643783316.6898,5.5206,,,,,12.3679,,,,,5.5206,,,,,201.8879,,,,,0.0000,165.1830,,,,
2026-04-14,813492415381.6799,5.3937,,,,,12.0834,,,,,5.3937,,,,,197.2444,,,,,0.0000,161.3837,,,,
2026-04-13,806440865681.7599,5.3469,,,,,11.9786,,,,,5.3469,,,,,195.5346,,,,,0.0000,159.9848,,,,
2026-04-10,809405721805.59,5.3666,,,,,12.0227,,,,,5.3666,,,,,196.2535,,,,,0.0000,160.5730,,,,
2026-04-09,799068790995.4799,5.2980,,,,,11.8691,,,,,5.2980,,,,,193.7471,,,,,0.0000,158.5223,,,,
2026-04-08,810757022319.8601,5.3755,,,,,12.0428,,,,,5.3755,,,,,196.5811,,,,,0.0000,160.8411,,,,
2026-04-07,765099587797.1599,5.0728,,,,,11.3646,,,,,5.0728,,,,,185.5108,,,,,0.0000,151.7834,,,,
2026-04-03,734373982096.0399,4.8691,,,,,10.9082,,,,,4.8691,,,,,178.0608,,,,,0.0000,145.6879,,,,
2026-04-02,745736055037.6,4.9444,,,,,11.0770,,,,,4.9444,,,,,180.8158,,,,,0.0000,147.9420,,,,
2026-04-01,770780624267.94,5.1105,,,,,11.4490,,,,,5.1105,,,,,186.8882,,,,,0.0000,152.9104,,,,
2026-03-31,752537295882.8999,4.9895,,,,,11.1780,,,,,4.9895,,,,,182.4648,,,,,0.0000,149.2912,,,,
2026-03-30,766779549179.28,5.0839,,,,,11.3895,,,,,5.0839,,,,,185.9181,,,,,0.0000,152.1166,,,,
2026-03-27,780141981060.0,5.1725,,,,,11.5880,,,,,5.1725,,,,,189.1580,,,,,0.0000,154.7675,,,,
2026-03-26,775181078206.08,5.1275,,,,,11.8480,,,,,5.1275,,,,,213.9707,,,,,0.0000,161.1421,,,,
2026-03-25,800065607037.84,5.2921,,,,,12.2283,,,,,5.2921,,,,,220.8395,,,,,0.0000,166.3150,,,,
2026-03-24,794144529438.0,5.2530,,,,,12.1378,,,,,5.2530,,,,,219.2051,,,,,0.0000,165.0841,,,,
2026-03-23,784462767416.64,5.1889,,,,,11.9898,,,,,5.1889,,,,,216.5327,,,,,0.0000,163.0715,,,,
2026-03-20,817588796150.88,5.4081,,,,,12.4961,,,,,5.4081,,,,,225.6763,,,,,0.0000,169.9577,,,,
2026-03-19,847834300647.36,5.6081,,,,,12.9584,,,,,5.6081,,,,,234.0249,,,,,0.0000,176.2450,,,,
2026-03-18,852955232625.6,5.6420,,,,,13.0367,,,,,5.6420,,,,,235.4384,,,,,0.0000,177.3095,,,,
2026-03-17,848314388020.32,5.6113,,,,,12.9658,,,,,5.6113,,,,,234.1574,,,,,0.0000,176.3448,,,,
2026-03-16,868958145057.6,5.7478,,,,,13.2813,,,,,5.7478,,,,,239.8556,,,,,0.0000,180.6361,,,,
2026-03-13,856635902484.96,5.6663,,,,,13.0929,,,,,5.6663,,,,,236.4544,,,,,0.0000,178.0746,,,,
2026-03-12,848234373458.16,5.6108,,,,,12.9645,,,,,5.6108,,,,,234.1353,,,,,0.0000,176.3282,,,,
2026-03-11,856955960733.6,5.6685,,,,,13.0978,,,,,5.6685,,,,,236.5427,,,,,0.0000,178.1412,,,,
2026-03-10,858396222852.48,5.6780,,,,,13.1199,,,,,5.6780,,,,,236.9403,,,,,0.0000,178.4406,,,,
2026-03-09,841264944321.76,5.5647,,,,,12.8580,,,,,5.5647,,,,,232.2116,,,,,0.0000,174.8794,,,,
2026-03-06,852146819196.0,5.6366,,,,,13.0243,,,,,5.6366,,,,,235.2153,,,,,0.0000,177.1415,,,,
2026-03-05,855340924452.7002,5.6578,,,,,13.0732,,,,,5.6578,,,,,236.0969,,,,,0.0000,177.8054,,,,
2026-03-04,853660647613.2701,5.6467,,,,,13.0475,,,,,5.6467,,,,,235.6331,,,,,0.0000,177.4562,,,,
2026-03-03,866622783231.7301,5.7324,,,,,13.2456,,,,,5.7324,,,,,239.2110,,,,,0.0000,180.1507,,,,
2026-03-02,900298581542.58,5.9551,,,,,13.7603,,,,,5.9551,,,,,248.5064,,,,,0.0000,187.1511,,,,
2026-02-27,920059867390.0,6.0859,,,,,14.0623,,,,,6.0859,,,,,253.9611,,,,,0.0000,191.2590,,,,
2026-02-26,933260726356.9,6.1732,,,,,14.2641,,,,,6.1732,,,,,257.6049,,,,,0.0000,194.0032,,,,
2026-02-25,929100455652.18,6.1457,,,,,14.2005,,,,,6.1457,,,,,256.4565,,,,,0.0000,193.1383,,,,
2026-02-24,926620294270.52,6.1293,,,,,14.1626,,,,,6.1293,,,,,255.7719,,,,,0.0000,192.6228,,,,
2026-02-13,935500872120.98,6.1880,,,,,14.2983,,,,,6.1880,,,,,258.2232,,,,,0.0000,194.4688,,,,
2026-02-12,932696587932.0,6.1694,,,,,14.2555,,,,,6.1694,,,,,257.4492,,,,,0.0000,193.8859,,,,
2026-02-11,920135825854.0,6.0864,,,,,14.0635,,,,,6.0864,,,,,253.9821,,,,,0.0000,191.2748,,,,
2026-02-10,929656403480.0,6.1493,,,,,14.2090,,,,,6.1493,,,,,256.6100,,,,,0.0000,193.2539,,,,
2026-02-09,919495787022.0,6.0821,,,,,14.0537,,,,,6.0821,,,,,253.8054,,,,,0.0000,191.1417,,,,
2026-02-06,901654704580.0,5.9641,,,,,13.7810,,,,,5.9641,,,,,248.8808,,,,,0.0000,187.4330,,,,
2026-02-05,894454267720.0,5.9165,,,,,13.6710,,,,,5.9165,,,,,246.8933,,,,,0.0000,185.9362,,,,
2026-02-04,918775743336.0,6.0774,,,,,14.0427,,,,,6.0774,,,,,253.6066,,,,,0.0000,190.9921,,,,
2026-02-03,928296320962.0,6.1403,,,,,14.1882,,,,,6.1403,,,,,256.2346,,,,,0.0000,192.9712,,,,
2026-02-02,936536820924.0,6.1949,,,,,14.3142,,,,,6.1949,,,,,258.5092,,,,,0.0000,194.6842,,,,
2026-01-30,983814487761.06,6.5076,,,,,15.0368,,,,,6.5076,,,,,271.5591,,,,,0.0000,204.5121,,,,
2026-01-29,979254235195.2,6.4774,,,,,14.9671,,,,,6.4774,,,,,270.3003,,,,,0.0000,203.5641,,,,
2026-01-28,1028456960247.9,6.8029,,,,,15.7191,,,,,6.8029,,,,,283.8816,,,,,0.0000,213.7922,,,,
2026-01-27,992454966306.9,6.5647,,,,,15.1688,,,,,6.5647,,,,,273.9441,,,,,0.0000,206.3083,,,,
2026-01-26,975414022508.16,6.4520,,,,,14.9084,,,,,6.4520,,,,,269.2403,,,,,0.0000,202.7658,,,,
2026-01-23,999735369526.08,6.6129,,,,,15.2801,,,,,6.6129,,,,,275.9537,,,,,0.0000,207.8217,,,,
2026-01-22,1014456184826.4,6.7103,,,,,15.5051,,,,,6.7103,,,,,280.0170,,,,,0.0000,210.8818,,,,
2026-01-21,1017576357634.62,6.7309,,,,,15.5528,,,,,6.7309,,,,,280.8782,,,,,0.0000,211.5304,,,,
2026-01-20,977494137713.64,6.4658,,,,,14.9402,,,,,6.4658,,,,,269.8145,,,,,0.0000,203.1983,,,,
2026-01-19,1002375515748.42,6.6303,,,,,15.3205,,,,,6.6303,,,,,276.6824,,,,,0.0000,208.3705,,,,
2026-01-16,1015976269015.02,6.7203,,,,,15.5283,,,,,6.7203,,,,,280.4366,,,,,0.0000,211.1978,,,,
2026-01-15,995575139115.12,6.5854,,,,,15.2165,,,,,6.5854,,,,,274.8053,,,,,0.0000,206.9569,,,,
2026-01-14,995975161270.02,6.5880,,,,,15.2226,,,,,6.5880,,,,,274.9157,,,,,0.0000,207.0400,,,,
2026-01-13,989090445367.05,6.5425,,,,,15.1174,,,,,6.5425,,,,,273.0154,,,,,0.0000,205.6089,,,,
2026-01-12,1021332089748.1,6.7557,,,,,15.6102,,,,,6.7557,,,,,281.9149,,,,,0.0000,212.3111,,,,
2026-01-09,1031092587550.8,6.8203,,,,,15.7594,,,,,6.8203,,,,,284.6091,,,,,0.0000,214.3401,,,,
2026-01-08,1041253105755.25,6.8875,,,,,15.9147,,,,,6.8875,,,,,287.4137,,,,,0.0000,216.4523,,,,
2026-01-07,1039893036389.3,6.8785,,,,,15.8939,,,,,6.8785,,,,,287.0382,,,,,0.0000,216.1695,,,,
2026-01-06,1054773795334.4,6.9769,,,,,16.1213,,,,,6.9769,,,,,291.1457,,,,,0.0000,219.2629,,,,
2026-01-05,1039653024148.25,6.8769,,,,,15.8902,,,,,6.8769,,,,,286.9720,,,,,0.0000,216.1196,,,,
2025-12-31,982690118939.05,6.5001,,,,,15.0196,,,,,6.5001,,,,,271.2487,,,,,0.0000,204.2784,,,,
2025-12-30,1002290449253.76,6.6298,,,,,15.3192,,,,,6.6298,,,,,276.6589,,,,,0.0000,208.3528,,,,
2025-12-29,980049329770.0,6.4827,,,,,14.9792,,,,,6.4827,,,,,270.5198,,,,,0.0000,203.7294,,,,
2025-12-26,976849168693.2,6.4615,,,,,14.9303,,,,,6.4615,,,,,269.6364,,,,,0.0000,203.0642,,,,
2025-12-25,984689563331.36,6.5134,,,,,15.0501,,,,,6.5134,,,,,271.8006,,,,,0.0000,204.6940,,,,
2025-12-24,987329696219.72,6.5308,,,,,15.0905,,,,,6.5308,,,,,272.5294,,,,,0.0000,205.2428,,,,
2025-12-23,959241576404.1,6.3450,,,,,14.6612,,,,,6.3450,,,,,264.7763,,,,,0.0000,199.4040,,,,
2025-12-22,963641767121.55,6.3741,,,,,14.7284,,,,,6.3741,,,,,265.9909,,,,,0.0000,200.3187,,,,
2025-12-19,909079402225.17,6.0132,,,,,13.8945,,,,,6.0132,,,,,250.9302,,,,,0.0000,188.9764,,,,
2025-12-18,902435793132.0,5.9693,,,,,13.7930,,,,,5.9693,,,,,249.0964,,,,,0.0000,187.5954,,,,
