date,速动比率,资产合计,货币资金,流动资产合计,所有者权益合计,资产负债率,长期负债合计,有息负债率,负债合计,流动负债合计,应收账款,流动比率
2026-03-31,1.649,380545855000,752537295882.9,0,247756712000,0.3489,70617767000,0.2642,132789143000,4270189000,6134838000,2.126
2025-12-31,1.7996,367718196000,982690118939.05,0,246362368000,0.33,70311227000,0.2413,121355828000,4216508000,6167839000,2.3574
2025-09-30,1.3507,351368416000,1120999242909.24,0,235136565000,0.3308,56250435000,0.2347,116231851000,5271423000,6117761000,1.8074
2025-06-30,1.539,354168029000,704131125599.31,0,234519503000,0.3378,63236227000,0.2432,119648526000,5358458000,5761279000,1.9798
2025-03-31,1.356,344161271000,713014416253.04,0,231231451000,0.3281,57160439000,0.2369,112929820000,5267421000,5283582000,1.791
2024-12-31,1.3747,353415296000,754703309782.92,0,229107788000,0.3517,57785439000,0.2379,124307508000,8609390000,2922670000,1.7269
2024-09-30,1.1746,330954830000,478217999953.96,0,220299481000,0.3344,58343845000,0.2217,110655349000,7313395000,3428498000,1.6048
2024-06-30,1.1357,337466574000,366780115868.6,0,220714663000,0.346,60041329000,0.2217,116751911000,7406679000,3658693000,1.5203
2024-03-31,1.2673,341757727000,347041234129.84,0,218717628000,0.36,58027133000,0.2164,123040099000,13596765000,3572115000,1.626
2023-12-31,1.4529,338463197000,421326386395.2,0,218470246000,0.3545,59031810000,0.2158,119992951000,14680669000,3501291000,1.8355
2023-09-30,1.4607,335687685000,406412251702.05,0,219586775000,0.3459,48214491000,0.2088,116100910000,15188086000,3733525000,1.785
2023-06-30,1.7258,331033084000,400418314506,0,216520156000,0.3459,48040794000,0.2133,114512928000,14627652000,3915680000,2.0339
2023-03-31,2.0274,310095359000,396530994340.53,0,203797043000,0.3428,47340325000,0.2092,106298316000,14496806000,3325648000,2.3318
2022-12-31,2.1218,305103691000,325527025593.44,0,201704713000,0.3389,46790301000,0.1998,103398978000,13898259000,4807125000,2.4151
2022-09-30,2.7031,297002911000,299270441639.26,0,198510548000,0.3316,44637786000,0.192,98492363000,14574511000,5049242000,2.9815
2022-06-30,2.6588,271329009000,356930458470.19,0,183210912000,0.3248,37731203000,0.1803,88118097000,14051312000,5413483000,2.9024
2022-03-31,3.1859,238105885000,364413540198.62,0,167290718000,0.2974,32480066000,0.1791,70815167000,10136194000,4920151000,3.4916
2021-12-31,3.2894,229932806000,418825358849.45,0,161974831000,0.2956,31440128000,0.1883,67957975000,6669302000,4397088000,3.5805
2021-09-30,3.6478,215065069000,436269655718.4,0,151404116000,0.296,30064580000,0.1944,63660953000,5270528000,4261292000,3.9656
2021-06-30,4.0508,207729432000,488446658899.32,0,147094156000,0.2919,29342630000,0.1901,60635276000,5212721000,4327124000,4.3711
2021-03-31,4.8726,202225416000,429084493808.32,0,145626179000,0.2799,28152279000,0.191,56599237000,2038162000,3595105000,5.234
2020-12-31,3.9679,204601654000,444877467284.25,0,141635953000,0.3077,26331038000,0.209,62965701000,1297407000,2901820000,4.2025
2020-09-30,3.3745,197602228000,382228661635.5,0,143415110000,0.2742,14208562000,0.1534,54187118000,1096285000,3771831000,3.5466
2020-06-30,2.401,144363574000,,0,93307453000,0.3537,11973120000,0.1955,51056121000,697984000,4029181000,2.606
2020-03-31,1.9113,125655718676,,0,72385433827,0.4239,12891269804,0.2543,53270284849,1489890036,3816242996,2.1006
2019-12-31,2.1594,114817063255,,0,71259024640,0.3794,13987779511,0.2254,43558038614,798932438,3283284870,2.3901
2019-09-30,,,,0,,,0,,,0,0,
2019-06-30,,,,0,,,0,,,0,0,
2019-03-31,,,,0,,,0,,,0,0,
2018-12-31,2.1166,98844870984,,0,61102826573,0.3818,12396692738,0.2462,37742044411,426433750,2966804352,2.3864
2017-12-31,2.05,77926055523,,0,43967613781,0.4358,11364619745,0.2825,33958441742,0,2615569268,2.4335
