date,市值(元),PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-07-03,1201166689158.45,286.9096,,,,,238.0637,,,,,6.3084,,,,,0.0000,6.3084,,,,,17.4997,,,,
2026-07-02,1233612143879.5,294.6595,,,,,244.4942,,,,,6.4788,,,,,0.0000,6.4788,,,,,17.9724,,,,
2026-07-01,1322473310107.6,315.8848,,,,,262.1059,,,,,6.9455,,,,,0.0000,6.9455,,,,,19.2670,,,,
2026-06-30,1359627208125.9,324.7594,,,,,269.4696,,,,,7.1406,,,,,0.0000,7.1406,,,,,19.8083,,,,
2026-06-29,1292671548230.0,308.7664,,,,,256.1994,,,,,6.7890,,,,,0.0000,6.7890,,,,,18.8328,,,,
2026-06-26,1273486451842.0,304.1839,,,,,252.3970,,,,,6.6882,,,,,0.0000,6.6882,,,,,18.5533,,,,
2026-06-25,1342827943237.0,320.7467,,,,,266.1400,,,,,7.0524,,,,,0.0000,7.0524,,,,,19.5635,,,,
2026-06-24,1297199529763.5,309.8480,,,,,257.0968,,,,,6.8128,,,,,0.0000,6.8128,,,,,18.8988,,,,
2026-06-23,1213048065515.0,289.7476,,,,,240.4185,,,,,6.3708,,,,,0.0000,6.3708,,,,,17.6728,,,,
2026-06-22,1166684719142.4302,278.6733,,,,,231.2296,,,,,7.7880,,,,,0.0000,7.7880,,,,,16.9973,,,,
2026-06-18,1127498729193.9,269.3134,,,,,223.4631,,,,,7.5264,,,,,0.0000,7.5264,,,,,16.4264,,,,
2026-06-17,1079417759931.9,257.8288,,,,,213.9338,,,,,7.2054,,,,,0.0000,7.2054,,,,,15.7259,,,,
2026-06-16,1042876223292.78,249.1005,,,,,206.6915,,,,,6.9615,,,,,0.0000,6.9615,,,,,15.1936,,,,
2026-06-15,1045921351346.0402,249.8279,,,,,207.2950,,,,,6.9818,,,,,0.0000,6.9818,,,,,15.2379,,,,
2026-06-12,1000725240239.76,239.0324,,,,,198.3374,,,,,6.6801,,,,,0.0000,6.6801,,,,,14.5795,,,,
2026-06-11,1020919247329.8002,243.8559,,,,,202.3398,,,,,6.8149,,,,,0.0000,6.8149,,,,,14.8737,,,,
2026-06-10,1004411447883.1802,239.9128,,,,,199.0680,,,,,6.7047,,,,,0.0000,6.7047,,,,,14.6332,,,,
2026-06-09,1020117897842.1,243.6645,,,,,202.1809,,,,,6.8096,,,,,0.0000,6.8096,,,,,14.8620,,,,
2026-06-08,977005295403.84,233.3666,,,,,193.6363,,,,,6.5218,,,,,0.0000,6.5218,,,,,14.2339,,,,
