date,总资产收益率(ROA),净利润率,毛利率(GM),资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.0179,0.0944,0.2124,0.0272,0.0271
2025-12-31,0.02,0.1071,0.2162,0.0298,0.0303
2025-09-30,0.0232,0.1209,0.2265,0.0329,0.0347
2025-06-30,0.0205,0.1111,0.222,0.0297,0.0312
2025-03-31,0.0211,0.1178,0.2069,0.0303,0.0322
2024-12-31,0.0155,0.093,0.1859,0.0238,0.024
2024-09-30,0.0145,0.0893,0.1791,0.023,0.0219
2024-06-30,0.013,0.0869,0.1748,0.0208,0.02
2024-03-31,0.0154,0.1051,0.1966,0.0232,0.0237
2023-12-31,0.0199,0.1414,0.2189,0.0281,0.0304
2023-09-30,0.0248,0.1746,0.2566,0.0334,0.0375
2023-06-30,0.035,0.228,0.2994,0.0449,0.0528
2023-03-31,0.047,0.2689,0.3427,0.0579,0.0694
2022-12-31,0.0548,0.2959,0.383,0.0663,0.0806
2022-09-30,0.0599,0.3191,0.3836,0.0716,0.0876
2022-06-30,0.058,0.3149,0.3637,0.0698,0.0841
2022-03-31,0.0639,0.35,0.3323,0.0753,0.0899
2021-12-31,0.0516,0.3144,0.2931,0.0612,0.0738
2021-09-30,0.0415,0.2674,0.2659,0.0504,0.0581
2021-06-30,0.0449,0.26,0.2543,0.0554,0.0658
2021-03-31,0.027,0.1561,0.251,0.0339,0.0406
2020-12-31,0.0252,0.1464,0.2378,0.0319,0.0378
2020-09-30,,0.1308,0.2381,,
2020-06-30,,0.095,0.2217,,
2020-03-31,,0.0554,0.2143,,
2019-12-31,0.0119,0.0576,0.2083,0.0182,0.0192
2019-09-30,,,,,
2019-06-30,,,,,
2019-03-31,,,,,
2018-12-31,0.0041,0.0157,0.2302,0.0075,0.0069
2017-12-31,,0.0422,0.2476,,
