date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,5131729000,5.3804,-29280245000,4.0704
2025-12-31,20080979000,-0.1138,-39533627000,2.7856
2025-09-30,12287551000,0.0019,-29917715000,2.8672
2025-06-30,5897793000,0.8168,-23110236000,3.5654
2025-03-31,-1171520000,-1.3285,-35960212000,2.4739
2024-12-31,22658629000,-0.0169,-31688458000,4.217
2024-09-30,12264180000,-0.2498,-41185139000,3.9284
2024-06-30,3246325000,-0.7036,-47548154000,3.5172
2024-03-31,3566576000,-0.3271,-36913854000,4.2565
2023-12-31,23047761000,-0.3701,-30779937000,3.6034
2023-09-30,16347526000,-0.4754,-29746625000,2.7814
2023-06-30,10953307000,-0.5528,-27052718000,2.1865
2023-03-31,5300145000,-0.491,-13032304000,2.4451
2022-12-31,36591209000,0.7554,-5132390000,2.4971
2022-09-30,31159743000,1.2038,-1847370000,2.4709
2022-06-30,24491498000,1.3865,3540369000,2.5241
2022-03-31,10413790000,2.0798,-10584000,1.9816
2021-12-31,20844994000,0.5822,-5973588000,1.8607
2021-09-30,14138913000,0.6071,-10560542000,2.1611
2021-06-30,10262519000,2.3172,-14927914000,2.5737
2021-03-31,3381332000,1.2073,-22569702973,3.3941
2020-12-31,13174290000,0.6185,-23716548000,3.2761
2020-09-30,8797987000,7.1413,-8417859952,4.516
2020-06-30,3093755000,0.3624,-5261157952,3.7709
2020-03-31,1531895155,1.5183,-5552633872,6.8768
2019-12-31,8139992543,0.5624,-4057473952,6.4169
2019-09-30,1080661000,,,
2019-06-30,2270816000,,,
2019-03-31,608293541,,,
2018-12-31,5209908947,-0.3294,-3849183214,14.4615
2017-12-31,7769074975,,-3377157894,8.6079
