date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2025-12-31,0.1202,0.4477,0.012
2025-09-30,0.1233,0.4463,0.0124
2025-06-30,0.1239,0.4472,0.0123
2025-03-31,0.1249,0.4439,0.0124
2024-12-31,0.129,0.4432,0.0129
2024-09-30,0.1349,0.4436,0.0132
2024-06-30,0.1398,0.4405,0.0132
2024-03-31,0.1392,0.4396,0.0134
2023-12-31,0.1451,0.4364,0.014
2023-09-30,0.1501,0.43,0.0144
2023-06-30,0.1549,0.4234,0.0142
2023-03-31,0.1504,0.4141,0.0143
2022-12-31,0.1531,0.404,0.0144
2022-09-30,0.156,0.3901,0.0144
2022-06-30,0.1559,0.3782,0.0139
2022-03-31,0.1502,0.369,0.0138
2021-12-31,0.1514,0.3648,0.0137
2021-09-30,0.1531,0.3596,0.0135
2021-06-30,0.1564,0.3523,0.0129
2021-03-31,0.145,0.3424,0.0124
2020-12-31,0.1453,0.3372,0.0124
2020-09-30,0.1413,0.3272,0.012
2020-06-30,0.1527,0.3312,0.0122
2020-03-31,0.157,0.3454,0.0132
2019-12-31,0.1609,0.3464,0.0132
2019-09-30,0.1608,0.3395,0.0132
2019-06-30,0.161,0.333,0.0126
2019-03-31,0.1559,0.3266,0.0128
2018-12-31,0.1574,0.3252,0.0124
2018-09-30,0.163,0.3247,0.0125
2018-06-30,0.1643,0.3244,0.0119
2018-03-31,0.159,0.3254,0.012
2017-12-31,0.1593,0.3198,0.0115
2017-09-30,0.1651,0.3227,0.0118
2017-06-30,0.1661,0.3186,0.0113
2017-03-31,0.1598,0.3082,0.0112
2016-12-31,0.1631,0.2984,0.0109
2016-09-30,0.1648,0.2996,0.0114
2016-06-30,0.169,0.2862,0.0112
