date,股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-04-21,0.0506,2.9790,0.4378,3.5310,3.0775,2.4248,0.9398,0.1261,1.7024,1.2975,0.9926,6.7031,0.2156,10.7513,8.1556,6.6402,0.9487,0.1249,1.7344,1.3169,1.0026,6.6954,0.2168,10.6888,8.1113,6.6206
2026-04-20,0.0506,2.9790,0.4378,3.5310,3.0775,2.4248,0.9398,0.1261,1.7024,1.2975,0.9926,6.7031,0.2156,10.7513,8.1556,6.6402,0.9487,0.1249,1.7344,1.3169,1.0026,6.6954,0.2168,10.6888,8.1113,6.6206
2026-04-17,0.0510,2.9529,0.4378,3.5310,3.0775,2.4248,0.9316,0.1261,1.7024,1.2975,0.9926,6.6443,0.2156,10.7513,8.1556,6.6402,0.9403,0.1249,1.7344,1.3169,1.0026,6.6366,0.2168,10.6888,8.1113,6.6206
2026-04-16,0.0505,2.9820,0.4378,3.5310,3.0775,2.4248,0.9408,0.1261,1.7024,1.2975,0.9926,6.7098,0.2156,10.7513,8.1556,6.6402,0.9496,0.1249,1.7344,1.3169,1.0026,6.7021,0.2168,10.6888,8.1113,6.6206
2026-04-15,0.0505,2.9813,0.4378,3.5310,3.0775,2.4248,0.9406,0.1261,1.7024,1.2975,0.9926,6.7082,0.2156,10.7513,8.1556,6.6402,0.9494,0.1249,1.7344,1.3169,1.0026,6.7004,0.2168,10.6888,8.1113,6.6206
2026-04-14,0.0515,2.9237,0.4378,3.5310,3.0775,2.4248,0.9224,0.1261,1.7024,1.2975,0.9926,6.5787,0.2156,10.7513,8.1556,6.6402,0.9311,0.1249,1.7344,1.3169,1.0026,6.5711,0.2168,10.6888,8.1113,6.6206
2026-04-13,0.0517,2.9125,0.4378,3.5310,3.0775,2.4248,0.9189,0.1261,1.7024,1.2975,0.9926,6.5535,0.2156,10.7513,8.1556,6.6402,0.9275,0.1249,1.7344,1.3169,1.0026,6.5459,0.2168,10.6888,8.1113,6.6206
2026-04-10,0.0514,2.9297,0.4378,3.5310,3.0775,2.4248,0.9243,0.1261,1.7024,1.2975,0.9926,6.5922,0.2156,10.7513,8.1556,6.6402,0.9330,0.1249,1.7344,1.3169,1.0026,6.5845,0.2168,10.6888,8.1113,6.6206
2026-04-09,0.0514,2.9334,0.4378,3.5310,3.0775,2.4248,0.9255,0.1261,1.7024,1.2975,0.9926,6.6006,0.2156,10.7513,8.1556,6.6402,0.9342,0.1249,1.7344,1.3169,1.0026,6.5929,0.2168,10.6888,8.1113,6.6206
2026-04-08,0.0509,2.9603,0.4378,3.5310,3.0775,2.4248,0.9340,0.1261,1.7024,1.2975,0.9926,6.6611,0.2156,10.7513,8.1556,6.6402,0.9427,0.1249,1.7344,1.3169,1.0026,6.6534,0.2168,10.6888,8.1113,6.6206
