date,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,股息率,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-04-21,0.9398,0.1261,1.7024,1.2975,0.9926,2.9790,0.4378,3.5310,3.0775,2.4248,6.6954,0.2168,10.6888,8.1113,6.6206,6.7031,0.2156,10.7513,8.1556,6.6402,0.0506,0.9487,0.1249,1.7344,1.3169,1.0026
2026-04-20,0.9398,0.1261,1.7024,1.2975,0.9926,2.9790,0.4378,3.5310,3.0775,2.4248,6.6954,0.2168,10.6888,8.1113,6.6206,6.7031,0.2156,10.7513,8.1556,6.6402,0.0506,0.9487,0.1249,1.7344,1.3169,1.0026
2026-04-17,0.9316,0.1261,1.7024,1.2975,0.9926,2.9529,0.4378,3.5310,3.0775,2.4248,6.6366,0.2168,10.6888,8.1113,6.6206,6.6443,0.2156,10.7513,8.1556,6.6402,0.0510,0.9403,0.1249,1.7344,1.3169,1.0026
2026-04-16,0.9408,0.1261,1.7024,1.2975,0.9926,2.9820,0.4378,3.5310,3.0775,2.4248,6.7021,0.2168,10.6888,8.1113,6.6206,6.7098,0.2156,10.7513,8.1556,6.6402,0.0505,0.9496,0.1249,1.7344,1.3169,1.0026
2026-04-15,0.9406,0.1261,1.7024,1.2975,0.9926,2.9813,0.4378,3.5310,3.0775,2.4248,6.7004,0.2168,10.6888,8.1113,6.6206,6.7082,0.2156,10.7513,8.1556,6.6402,0.0505,0.9494,0.1249,1.7344,1.3169,1.0026
2026-04-14,0.9224,0.1261,1.7024,1.2975,0.9926,2.9237,0.4378,3.5310,3.0775,2.4248,6.5711,0.2168,10.6888,8.1113,6.6206,6.5787,0.2156,10.7513,8.1556,6.6402,0.0515,0.9311,0.1249,1.7344,1.3169,1.0026
2026-04-13,0.9189,0.1261,1.7024,1.2975,0.9926,2.9125,0.4378,3.5310,3.0775,2.4248,6.5459,0.2168,10.6888,8.1113,6.6206,6.5535,0.2156,10.7513,8.1556,6.6402,0.0517,0.9275,0.1249,1.7344,1.3169,1.0026
2026-04-10,0.9243,0.1261,1.7024,1.2975,0.9926,2.9297,0.4378,3.5310,3.0775,2.4248,6.5845,0.2168,10.6888,8.1113,6.6206,6.5922,0.2156,10.7513,8.1556,6.6402,0.0514,0.9330,0.1249,1.7344,1.3169,1.0026
2026-04-09,0.9255,0.1261,1.7024,1.2975,0.9926,2.9334,0.4378,3.5310,3.0775,2.4248,6.5929,0.2168,10.6888,8.1113,6.6206,6.6006,0.2156,10.7513,8.1556,6.6402,0.0514,0.9342,0.1249,1.7344,1.3169,1.0026
2026-04-08,0.9340,0.1261,1.7024,1.2975,0.9926,2.9603,0.4378,3.5310,3.0775,2.4248,6.6534,0.2168,10.6888,8.1113,6.6206,6.6611,0.2156,10.7513,8.1556,6.6402,0.0509,0.9427,0.1249,1.7344,1.3169,1.0026
2026-04-07,0.9191,0.1261,1.7024,1.2975,0.9926,2.9133,0.4378,3.5310,3.0775,2.4248,6.5476,0.2168,10.6888,8.1113,6.6206,6.5552,0.2156,10.7513,8.1556,6.6402,0.0517,0.9277,0.1249,1.7344,1.3169,1.0026
2026-04-03,0.9288,0.1261,1.7024,1.2975,0.9926,2.9439,0.4378,3.5310,3.0775,2.4248,6.6164,0.2168,10.6888,8.1113,6.6206,6.6241,0.2156,10.7513,8.1556,6.6402,0.0512,0.9375,0.1249,1.7344,1.3169,1.0026
2026-04-02,0.9373,0.1261,1.7024,1.2975,0.9926,2.9708,0.4378,3.5310,3.0775,2.4248,6.6769,0.2168,10.6888,8.1113,6.6206,6.6846,0.2156,10.7513,8.1556,6.6402,0.0507,0.9461,0.1249,1.7344,1.3169,1.0026
2026-04-01,0.9387,0.1261,1.7024,1.2975,0.9926,2.9753,0.4378,3.5310,3.0775,2.4248,6.6870,0.2168,10.6888,8.1113,6.6206,6.6947,0.2156,10.7513,8.1556,6.6402,0.0506,0.9475,0.1249,1.7344,1.3169,1.0026
2026-03-31,0.9269,0.1261,1.7024,1.2975,0.9926,2.9379,0.4378,3.5310,3.0775,2.4248,6.6030,0.2168,10.6888,8.1113,6.6206,6.6107,0.2156,10.7513,8.1556,6.6402,0.0513,0.9356,0.1249,1.7344,1.3169,1.0026
2026-03-30,0.9307,0.1261,1.7024,1.2975,0.9926,2.9499,0.4378,3.5310,3.0775,2.4248,6.6299,0.2168,10.6888,8.1113,6.6206,6.6376,0.2156,10.7513,8.1556,6.6402,0.0511,0.9394,0.1249,1.7344,1.3169,1.0026
2026-03-27,0.9346,0.1261,1.7024,1.2975,0.9926,2.9586,0.4378,3.5310,3.0775,2.4248,6.6766,0.2168,10.6888,8.1113,6.6206,6.6892,0.2156,10.7513,8.1556,6.6402,0.0764,0.9434,0.1249,1.7344,1.3169,1.0026
2026-03-26,0.9374,0.1261,1.7024,1.2975,0.9926,2.9676,0.4378,3.5310,3.0775,2.4248,6.6969,0.2168,10.6888,8.1113,6.6206,6.7096,0.2156,10.7513,8.1556,6.6402,0.0762,0.9463,0.1249,1.7344,1.3169,1.0026
2026-03-25,0.9303,0.1261,1.7024,1.2975,0.9926,2.9451,0.4378,3.5310,3.0775,2.4248,6.6461,0.2168,10.6888,8.1113,6.6206,6.6587,0.2156,10.7513,8.1556,6.6402,0.0767,0.9391,0.1249,1.7344,1.3169,1.0026
2026-03-24,0.9301,0.1261,1.7024,1.2975,0.9926,2.9443,0.4378,3.5310,3.0775,2.4248,6.6444,0.2168,10.6888,8.1113,6.6206,6.6570,0.2156,10.7513,8.1556,6.6402,0.0768,0.9389,0.1249,1.7344,1.3169,1.0026
2026-03-23,0.9166,0.1261,1.7024,1.2975,0.9926,2.9016,0.4378,3.5310,3.0775,2.4248,6.5479,0.2168,10.6888,8.1113,6.6206,6.5603,0.2156,10.7513,8.1556,6.6402,0.0779,0.9252,0.1249,1.7344,1.3169,1.0026
