date,毛利率(GM),总资产收益率(ROA),净利润率,资本回报率(ROIC),净资产收益率(ROE)
2026-03-31,0.3769,0.1292,0.1944,0.1638,0.2341
2025-12-31,0.3727,0.1398,0.2035,0.183,0.2544
2025-09-30,0.3607,0.1377,0.2054,0.1829,0.264
2025-06-30,0.3619,0.14,0.208,0.1796,0.262
2025-03-31,0.359,0.1297,0.202,0.1635,0.2309
2024-12-31,0.3623,0.1252,0.1912,0.161,0.2237
2024-09-30,0.375,0.1185,0.1855,0.1506,0.2201
2024-06-30,0.3686,0.109,0.1726,0.1377,0.2084
2024-03-31,0.362,0.1077,0.1746,0.1355,0.1949
2023-12-31,0.3539,0.1048,0.1698,0.1363,0.1864
2023-09-30,0.3443,0.0924,0.1582,0.1198,0.1703
2023-06-30,0.3401,0.1005,0.1723,0.1279,0.1883
2023-03-31,0.3343,0.0954,0.1677,0.121,0.1685
2022-12-31,0.3403,0.0995,0.1691,0.13,0.1719
2022-09-30,0.3186,0.0926,0.1654,0.1219,0.164
2022-06-30,0.3285,0.0812,0.1505,0.1073,0.1459
2022-03-31,0.3477,0.0728,0.1292,0.0958,0.1272
2021-12-31,0.359,0.0755,0.1332,0.1003,0.1313
2021-09-30,0.4113,0.0822,0.149,0.1098,0.1483
2021-06-30,0.4137,0.0777,0.1459,0.1053,0.1497
2021-03-31,0.4078,0.0733,0.1396,0.0969,0.1349
2020-12-31,0.3951,0.0673,0.1305,0.0906,0.121
2020-09-30,0.3791,0.057,0.1181,0.0806,0.1086
2020-06-30,0.3669,0.0569,0.1244,0.0816,0.1166
2020-03-31,0.3645,0.0678,0.1353,0.0927,0.1292
2019-12-31,0.3746,0.0791,0.1373,0.1077,0.1395
2019-09-30,0.3867,0.0835,0.1541,0.1182,0.154
2019-06-30,0.4039,0.1,0.1833,,0.1924
2019-03-31,0.4194,0.1139,0.2033,,0.2071
2018-12-31,0.4263,0.1241,0.2031,0.16,0.2096
2018-09-30,0.4267,0.1271,0.2086,,0.2203
2018-06-30,0.4226,0.1099,0.1808,,0.1992
2018-03-31,0.4225,0.0946,0.1567,,0.1584
2017-12-31,0.4276,0.1023,0.1682,,0.17
2017-09-30,0.4292,0.1054,0.1688,,0.178
2017-06-30,0.4296,0.1046,0.1729,,0.1831
2017-03-31,0.431,0.1145,0.1885,,0.1819
2016-12-31,0.4307,0.1149,0.1891,,0.1824
2016-09-30,0.4306,0.1122,0.1895,,0.1801
2016-06-30,0.4276,0.111,0.1954,,0.183
