date,毛利率(GM),资本回报率(ROIC),净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.4145,0.0592,0.1086,0.2569,0.043
2025-12-31,0.4114,0.0615,0.1156,0.2539,0.0441
2025-09-30,0.3996,0.0561,0.1037,0.2221,0.0398
2025-06-30,0.3868,0.0579,0.111,0.2161,0.0406
2025-03-31,0.382,0.0578,0.1078,0.2144,0.0412
2024-12-31,0.3748,0.0597,0.1139,0.208,0.0419
2024-09-30,0.3679,0.0669,0.1249,0.2241,0.0471
2024-06-30,0.3742,0.0683,0.1302,0.2253,0.0469
2024-03-31,0.3678,0.0684,0.1271,0.2238,0.0474
2023-12-31,0.3608,0.0667,0.1242,0.2144,0.0454
2023-09-30,0.3421,0.0639,0.113,0.1996,0.0425
2023-06-30,0.3192,0.0576,0.1011,0.1727,0.0365
2023-03-31,0.327,0.0555,0.0937,0.1659,0.0347
2022-12-31,0.3204,0.0522,0.0845,0.1521,0.0307
2022-09-30,0.3017,0.0455,0.0709,0.1266,0.0257
2022-06-30,0.2885,0.0424,0.0627,0.1125,0.0221
2022-03-31,0.2852,0.0391,0.0571,0.1093,0.0211
2021-12-31,0.2926,0.0398,0.0607,0.1185,0.022
2021-09-30,0.3501,0.0503,0.0883,0.1717,0.0311
2021-06-30,0.4131,0.0588,0.1155,0.2167,0.0392
2021-03-31,0.4413,0.062,0.1212,0.2371,0.0431
2020-12-31,0.4487,0.0625,0.1246,0.2486,0.0431
2020-09-30,0.4388,0.0649,0.1287,0.2472,0.0441
2020-06-30,0.4239,0.0658,0.1342,0.2401,0.0434
2020-03-31,0.3968,0.0624,0.1201,0.2231,0.0403
2019-12-31,0.3908,0.0617,0.1208,0.2058,0.0392
2019-09-30,0.4088,0.0802,0.1309,0.2173,0.0419
2019-06-30,0.4095,,0.1425,0.2192,0.0429
2019-03-31,0.403,,0.1245,0.202,0.0389
2018-12-31,0.4041,0.064,0.128,0.2043,0.0391
2018-09-30,0.405,,0.1197,0.2036,0.0358
2018-06-30,0.395,,0.1173,0.1973,0.0332
2018-03-31,0.3954,,0.1098,0.2,0.032
2017-12-31,0.4058,,0.1117,0.2073,0.0319
2017-09-30,0.4145,,0.1221,0.222,0.0341
2017-06-30,0.4369,,0.1364,0.2419,0.0365
2017-03-31,0.4621,,0.1317,0.2468,0.0378
2016-12-31,0.4841,,0.1454,0.2685,0.0406
2016-09-30,0.5103,,0.1642,0.2903,0.0447
2016-06-30,0.5187,,0.1887,0.2978,0.0478
