date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,6425122558,0.7612,684071356,2.4371
2025-12-31,6381532522,0.8061,7701234651,11.0157
2025-09-30,3389479132,0.6642,4637420688,15.2963
2025-06-30,248168218,0.3186,952686854,4.2767
2025-03-31,-837543413,0.1651,199026141,0.2045
2024-12-31,-835407863,0.2259,640930146,-0.4856
2024-09-30,-343207380,0.3431,284568423,-0.6756
2024-06-30,-235726614,0.3736,-290744264,-1.6024
2024-03-31,537779189,1.2776,165235822,-0.3517
2023-12-31,691675752,1.8101,1245984809,0.4987
2023-09-30,842351843,2.2763,877084108,1.1428
2023-06-30,630345144,1.5232,482631408,1.4039
2023-03-31,668663169,1.2162,254890931,13.8414
2022-12-31,466691176,0.9201,831352212,2.8043
2022-09-30,76777515,0.4185,409309294,0.8091
2022-06-30,49002063,0.3629,200768518,0.5562
2022-03-31,4618155,0.389,17174344,1.5809
2021-12-31,-54964915,0.3301,218531824,0.4151
2021-09-30,208203732,0.7704,226253177,3.434
2021-06-30,35820261,0.5077,129010292,4.8928
2021-03-31,-289929100,0.0389,-29565878,-1.2856
2020-12-31,-136206979,0.314,154433185,0.4107
2020-09-30,-339946278,-0.1783,-92953637,-2.0137
2020-06-30,-207212178,0.0788,-33140577,-1.6517
2020-03-31,61238251,0.8219,103535143,4.5937
2019-12-31,10341046,0.5143,109475914,-0.6586
2019-09-30,38225762,0.6913,91695388,-0.6965
2019-06-30,134028579,1.4899,50853276,-0.7195
2019-03-31,203356577,4.0811,18509097,-0.702
2018-12-31,251847842,10.0724,320626742,5.396
2018-09-30,196839696,13.2693,302122578,9.7141
2018-06-30,117025330,6.4103,181291164,2.7272
2018-03-31,-80156099,0.4166,62104036,2.4393
2017-12-31,-208669507,-0.6565,-72936174,-12.5489
2017-09-30,-195509421,-0.2423,-34670733,-33.5924
2017-06-30,-239187753,-0.7134,-104965105,-6.8239
2017-03-31,-169896881,-0.2005,-43148455,-2.0725
2016-12-31,-124461285,0.06,6315428,-0.8067
2016-09-30,-51681766,0.3542,1063766,1.3609
2016-06-30,-9201170,0.6255,-13415991,0.6467
