date,流动负债合计,负债合计,流动比率,有息负债率,速动比率,资产负债率,流动资产合计,所有者权益合计,长期负债合计,资产合计
2026-03-31,292334612,9228600383,2.9125,0.0005,1.7331,0.3103,0,20507524549,0,29736124932
2025-12-31,90697430,7816815525,2.9749,0.0006,1.9235,0.302,0,18064255652,0,25881071176
2025-09-30,21788210,6832326153,2.4627,0.002,1.4784,0.3199,0,14524006787,0,21356332940
2025-06-30,7291181,5977230791,2.3563,0.0025,1.3413,0.3308,0,12094108774,0,18071339565
2025-03-31,9617618,4922057613,2.304,0.0031,1.1661,0.3314,0,9928270095,0,14850327707
2024-12-31,9740382,3938420036,2.3337,0.0038,1.2525,0.3211,0,8328129818,0,12266549854
2024-09-30,9713026,2738086244,2.6849,0.0047,1.5033,0.2788,0,7083717372,0,9821803616
2024-06-30,11449972,2059544388,3.0302,0.009,1.8768,0.2481,0,6243191871,0,8302736260
2024-03-31,19161535,1556730521,3.5706,0.0102,2.517,0.2117,0,5797323294,0,7354053814
2023-12-31,13751981,974005087,4.9982,0.0118,3.8781,0.1512,0,5465978474,0,6439983560
2023-09-30,14125161,878127408,5.3755,0.0128,3.9911,0.1444,0,5203760663,0,6081888071
2023-06-30,13786925,826842422,5.6257,0.0176,3.9635,0.1404,0,5062406202,0,5889248624
2023-03-31,17327020,882765855,5.3782,0.017,3.4584,0.1517,0,4938175110,0,5820940965
2022-12-31,24898725,1046893880,4.5135,0.017,2.9325,0.1782,0,4829167616,0,5876061496
2022-09-30,22841871,982824299,4.5096,0.014,2.7484,0.174,0,4665517151,0,5648341450
2022-06-30,21865682,1183419519,3.6975,0.0134,2.054,0.2134,0,4363083194,0,5546502714
2022-03-31,24223175,915426619,4.4616,0.0001,2.6151,0.1828,0,4091150416,0,5006577035
2021-12-31,17047852,905511092,4.3878,0.0001,2.6776,0.1862,0,3958723671,0,4864234763
2021-09-30,14222751,776335075,4.8661,0,3.052,0.1696,0,3801285991,0,4577621066
2021-06-30,15748659,726464848,4.9694,0,3.3945,0.1656,0,3659414215,0,4385879063
2021-03-31,11419676,715770180,4.9913,0,3.5213,0.1675,0,3556433991,0,4272204171
2020-12-31,15597235,773088241,4.6029,0.017,3.3255,0.1833,0,3444027402,0,4217115643
2020-09-30,2532705,806684517,2.2595,0.0461,1.1851,0.3291,0,1644743213,0,2451427731
2020-06-30,0,540127276,2.6803,0.0251,1.5396,0.2659,0,1490984191,0,2031111466
2020-03-31,0,375883537,3.3707,0,2.1268,0.2129,0,1389739609,0,1765623146
2019-12-31,0,337188740,3.5932,0,2.5017,0.2025,0,1327993828,0,1665182568
2019-09-30,0,295968969,3.7516,0,2.5416,0.192,0,1245294348,0,1541263317
2019-06-30,0,263705946,3.9734,0,2.7752,0.1813,0,1190871387,0,1454577332
2019-03-31,0,244617884,4.1045,0,2.874,0.1729,0,1169998676,0,1414616559
2018-12-31,0,243757264,4.0518,0,2.8149,0.1767,0,1135777464,0,1379534728
2018-09-30,0,260432104,3.6604,0,2.4001,0.1927,0,1090717665,0,1351149769
2018-06-30,0,238416841,3.8803,0,2.416,0.1835,0,1060937630,0,1299354470
2018-03-31,0,256462115,3.851,0.0114,2.3347,0.1903,0,1091410281,0,1347872396
2017-12-31,0,314646500,3.2736,0.0151,1.8704,0.2244,0,1087711991,0,1402358492
2017-09-30,0,294061617,3.4823,0.0243,1.8803,0.2164,0,1064943592,0,1359005209
2017-06-30,0,239717668,4.0028,0.0094,2.1918,0.1886,0,1031035688,0,1270753355
2017-03-31,0,221050245,4.3819,0,2.5756,0.1773,0,1025421943,0,1246472188
2016-12-31,0,201785315,4.6446,0,3.1726,0.1685,0,995548750,0,1197334065
2016-09-30,0,196604236,4.7795,0,3.2619,0.1684,0,970732485,0,1167336721
2016-06-30,0,177832565,5.3454,0,3.9625,0.1593,0,938706054,0,1116538619
