date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率
2026-06-02,743935531104.0,36.4510,0.9975,12.0804,6.8927,4.4808,25.5407,0.9967,15.2185,9.7057,6.2302,69.2702,0.7027,83.9142,53.4766,31.5744,0.0013
2026-06-01,677031128186.24,33.1728,0.9926,12.0784,6.8927,4.4808,23.2437,0.9876,15.2176,9.7057,6.2302,63.0405,0.6239,83.9142,53.4766,31.5744,0.0015
2026-05-29,703551882126.4,34.4723,0.9959,12.0579,6.9041,4.4814,24.1542,0.9926,15.2092,9.7102,6.2313,65.5099,0.6559,83.7872,53.5563,31.5827,0.0014
2026-05-28,715393104970.88,35.0525,0.9963,12.0565,6.8984,4.4814,24.5607,0.9942,15.1910,9.7079,6.2313,66.6125,0.6694,83.7872,53.5165,31.5827,0.0014
2026-05-27,692148854240.0,33.9136,0.9950,12.0565,6.8927,4.4808,23.7627,0.9926,15.1910,9.7057,6.2302,64.4482,0.6412,83.9142,53.4766,31.5744,0.0014
2026-05-26,697128342400.0,34.1575,0.9959,12.0514,6.8927,4.4808,23.9337,0.9930,15.1897,9.7057,6.2302,64.9118,0.6470,83.9142,53.4766,31.5744,0.0014
2026-05-25,656306498464.32,32.1574,0.9930,12.0237,6.8927,4.4808,22.5322,0.9818,15.1769,9.7057,6.2302,61.1108,0.6020,83.9142,53.4766,31.5744,0.0015
2026-05-22,604280806168.64,29.6082,0.9785,12.0074,6.8745,4.4814,20.7461,0.9493,15.1664,9.7057,6.2313,56.2665,0.5363,83.7872,53.5563,31.5827,0.0016
2026-05-21,562609270592.0,27.6077,0.9620,12.0028,6.8713,4.4814,19.3154,0.9253,15.1639,9.7046,6.2313,52.3863,0.4800,83.7872,53.5165,31.5827,0.0018
2026-05-20,584447655176.64,28.6794,0.9694,12.0028,6.8680,4.4808,20.0651,0.9426,15.1639,9.7035,6.2302,54.4198,0.5107,83.9142,53.5563,31.5744,0.0017
2026-05-19,569070331120.0,27.9248,0.9637,12.0011,6.8662,4.4808,19.5372,0.9298,15.1559,9.6966,6.2302,52.9879,0.4901,83.9142,53.5563,31.5744,0.0017
2026-05-18,596326066455.0399,29.2623,0.9756,12.0006,6.8613,4.4808,20.4730,0.9463,15.1281,9.6966,6.2302,55.5258,0.5239,83.9142,53.5971,31.5744,0.0017
2026-05-15,606395380785.6,29.7564,0.9798,11.9930,6.8596,4.4814,20.8187,0.9509,15.1192,9.6867,6.2313,56.4634,0.5375,83.7872,53.6361,31.5827,0.0016
2026-05-14,614198353884.7999,30.1393,0.9814,11.9734,6.8544,4.4814,21.0865,0.9550,15.1012,9.6824,6.2313,57.1900,0.5489,83.7872,53.6166,31.5827,0.0016
2026-05-13,625221917154.88,30.6802,0.9872,11.9734,6.8491,4.4808,21.4650,0.9637,15.1012,9.6781,6.2302,58.2164,0.5595,83.9142,53.5971,31.5744,0.0016
2026-05-12,588970397546.24,28.9013,0.9740,11.9721,6.8454,4.4808,20.2204,0.9455,15.0963,9.6758,6.2302,54.8409,0.5149,83.9142,53.5971,31.5744,0.0017
2026-05-11,560323049174.4,27.4956,0.9641,11.9694,6.8444,4.4808,19.2369,0.9265,15.0931,9.6682,6.2302,52.1735,0.4765,83.9142,53.5971,31.5744,0.0018
2026-05-08,548365117151.04,26.9088,0.9587,11.9622,6.8377,4.4814,18.8264,0.9158,15.0627,9.6650,6.2313,51.0600,0.4641,83.7872,53.6508,31.5827,0.0018
2026-05-07,560124247312.0,27.4858,0.9641,11.9621,6.8367,4.4814,19.2301,0.9261,15.0582,9.6647,6.2313,52.1549,0.4754,83.7872,53.6536,31.5827,0.0018
2026-05-06,519349985333.76,25.4850,0.9438,11.9621,6.8358,4.4808,17.8302,0.8955,15.0582,9.6643,6.2302,48.3583,0.4240,83.9142,53.6564,31.5744,0.0019
2026-04-30,522640156156.48,25.6464,0.9460,11.9531,6.8385,4.4814,17.9432,0.8981,15.0246,9.6666,6.2313,48.6647,0.4285,83.7872,53.7759,31.5827,0.0019
2026-04-29,533783000544.0,26.1932,0.9509,11.9503,6.8377,4.4814,18.3257,0.9047,15.0211,9.6650,6.2313,49.7022,0.4431,83.7872,53.7987,31.5827,0.0019
2026-04-28,532252226203.52,26.1181,0.9497,11.9375,6.8377,4.4814,18.2732,0.9043,15.0148,9.6650,6.2313,49.5597,0.4398,83.7872,53.7996,31.5827,0.0019
2026-04-27,534777009856.0,26.2420,0.9530,11.9273,6.8377,4.4814,18.3599,0.9068,15.0050,9.6650,6.2313,49.7948,0.4451,83.7872,53.8309,31.5827,0.0019
2026-04-24,534051383058.24,26.2064,0.9518,11.8935,6.8377,4.4814,18.3350,0.9056,15.0038,9.6682,6.2313,49.7272,0.4431,83.7872,53.9330,31.5827,0.0019
2026-04-23,604635984303.36,41.6284,0.9996,11.8860,6.8367,4.4814,30.1998,0.9996,15.0014,9.6666,6.2313,80.4162,0.7839,83.7872,53.9357,31.5827,0.0005
2026-04-22,618979538675.52,42.6159,1.0000,11.8813,6.8358,4.4814,30.9162,1.0000,14.9956,9.6650,6.2313,82.3239,0.7929,83.7872,53.9330,31.5827,0.0005
2026-04-21,575034386992.0,39.5904,0.9992,11.8809,6.8320,4.4814,28.7213,0.9992,14.9927,9.6650,6.2313,76.4792,0.7632,83.7872,53.9330,31.5827,0.0006
2026-04-20,579507428896.0,39.8983,0.9996,11.8753,6.8313,4.4814,28.9447,0.9996,14.9878,9.6650,6.2313,77.0741,0.7665,83.7872,53.9330,31.5827,0.0006
2026-04-17,585471484768.0,40.3089,1.0000,11.8713,6.8320,4.4814,29.2426,1.0000,14.9872,9.6682,6.2313,77.8673,0.7721,83.7872,53.9383,31.5827,0.0005
2026-04-16,534280005200.0,36.7845,1.0000,11.8603,6.8316,4.4814,26.6857,1.0000,14.9825,9.6666,6.2313,71.0589,0.7179,83.7872,53.9357,31.5827,0.0006
2026-04-15,494002747877.76,34.0114,0.9983,11.8567,6.8313,4.4814,24.6740,0.9971,14.9813,9.6650,6.2313,65.7020,0.6555,83.7872,53.9330,31.5827,0.0006
2026-04-14,516884842240.0,35.5868,0.9996,11.8399,6.8313,4.4814,25.8169,0.9996,14.9777,9.6650,6.2313,68.7454,0.6906,83.7872,53.9330,31.5827,0.0006
2026-04-13,509648454448.64,35.0886,0.9996,11.8346,6.8313,4.4814,25.4555,0.9996,14.9770,9.6650,6.2313,67.7829,0.6770,83.7872,53.9330,31.5827,0.0006
2026-04-10,519369865520.0,35.7579,1.0000,11.8072,6.8320,4.4814,25.9410,1.0000,14.9758,9.6682,6.2313,69.0759,0.6954,83.7872,53.9383,31.5827,0.0006
2026-04-09,487064562880.0,33.5338,0.9992,11.8069,6.8316,4.4814,24.3275,0.9975,14.9524,9.6666,6.2313,64.7793,0.6400,83.7872,53.9357,31.5827,0.0007
2026-04-08,498495669968.0,34.3208,1.0000,11.7936,6.8313,4.4814,24.8984,0.9992,14.9517,9.6650,6.2313,66.2996,0.6617,83.7872,53.9330,31.5827,0.0006
2026-04-07,455952071414.4,31.3917,0.9955,11.7901,6.8313,4.4814,22.7735,0.9909,14.9469,9.6650,6.2313,60.6413,0.5903,83.7872,53.9330,31.5827,0.0007
2026-04-03,452572439753.6,31.1590,0.9942,11.7656,6.8320,4.4814,22.6047,0.9885,14.9439,9.6682,6.2313,60.1918,0.5853,83.7872,53.9383,31.5827,0.0007
