date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.22,-0.0833,927621854,7773555419
2025-12-31,1.03,0.2262,4062891412,31011744510
2025-09-30,0.84,0.377,3242356552,24029313453
2025-06-30,0.57,0.425,2109940161,16262787448
2025-03-31,0.24,0.4118,903416216,7669450485
2024-12-31,0.84,0.037,3099165128,27947164516
2024-09-30,0.61,0.0339,2301970696,20562897142
2024-06-30,0.4,0.0256,1514515445,13676072161
2024-03-31,0.17,0,647742424,6439558590
2023-12-31,0.81,0.125,2920992940,24557802067
2023-09-30,0.59,0.2826,2159631224,18975778200
2023-06-30,0.39,0.3929,1394760849,12528920626
2023-03-31,0.17,0.3077,601262668,5678755522
2022-12-31,0.72,0.5319,2573344180,21347549741
2022-09-30,0.46,0.2778,1627645903,15598985732
2022-06-30,0.28,0.2174,1003187335,10159952996
2022-03-31,0.13,0.3,452994753,4803574775
2021-12-31,0.47,0.1463,1684044407,16020809806
2021-09-30,0.36,0.1613,1293171514,11719880371
2021-06-30,0.23,0.2778,823881222,7674081762
2021-03-31,0.1,0.6667,360076305,3408216863
2020-12-31,0.41,0.025,1462158822,12109833368
2020-09-30,0.31,0.0333,1092248543,8593215986
2020-06-30,0.18,-0.0526,643481717,5318178627
2020-03-31,0.08,-0.1111,211359666,2483672661
2019-12-31,0.52,0.1064,1421204236,11287489442
2019-09-30,0.38,0.027,1056299090,8620823767
2019-06-30,0.25,0,692968499,5831107028
2019-03-31,0.12,0,258685947,2781115362
2018-12-31,0.61,0.0167,1292349782,10835990678
2018-09-30,0.48,0,1023391460,8265188429
2018-06-30,0.32,0.0667,677056093,5590333730
2018-03-31,0.12,0.0909,248311450,2577547335
2017-12-31,0.6,0.2245,1235952056,9581243802
2017-09-30,0.48,0.2632,979010039,7189648369
2017-06-30,0.28,0.2727,512885511,4280435806
2017-03-31,0.09,0.2857,171116591,1861941237
2016-12-31,0.48,0.4118,857455254,6769206736
2016-09-30,0.37,0.2759,671620587,5148849941
