date,自由现金流量,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比
2026-03-31,2848785236,1.3858,1105790187,1.365
2025-12-31,1978602954,1.2396,5090762718,0.1658
2025-09-30,2535692143,1.3308,3058283517,0.5341
2025-06-30,1297994399,1.2018,1275406871,0.0979
2025-03-31,1682505515,1.3946,467558178,3.3366
2024-12-31,1185783025,1.4033,4366630948,0.1726
2024-09-30,555801862,1.0977,1993484856,-0.1566
2024-06-30,796022398,1.0414,1161629876,-0.3241
2024-03-31,442404466,1.0419,107817236,-0.8535
2023-12-31,1569569745,1.2694,3723964355,0.4838
2023-09-30,1148793053,1.2093,2363640074,1.237
2023-06-30,604474031,1.1528,1718673594,1.2584
2023-03-31,483397898,1.1292,735871707,4.8435
2022-12-31,-347503826,0.9623,2509666491,0.6131
2022-09-30,-974802737,0.7107,1056630906,-0.0896
2022-06-30,-852949016,0.7921,761013129,-0.0778
2022-03-31,-592660767,0.8311,125930521,-0.337
2021-12-31,-371564816,0.9126,1555819103,-0.2546
2021-09-30,-134921133,0.9942,1160606173,-0.2609
2021-06-30,162075900,1.0833,825216623,-0.253
2021-03-31,446347228,1.0812,189951486,-0.6342
2020-12-31,956770346,1.4168,2087343783,0.0985
2020-09-30,1337175428,1.5885,1570209058,0.393
2020-06-30,1274423695,1.5685,1104651449,0.33
2020-03-31,1172908838,1.5455,519305066,0.8444
2019-12-31,1041556984,1.3253,1900163605,0.4757
2019-09-30,970176757,1.3943,1127214833,1.0114
2019-06-30,997940962,1.4786,830554911,3.5749
2019-03-31,751951386,1.2434,281558083,4.8613
2018-12-31,380551818,0.9819,1287595478,0.9389
2018-09-30,-91738489,0.4922,560424036,-0.0255
2018-06-30,-227838681,0.4049,175471924,-0.394
2018-03-31,-205833119,0.368,-72917024,-1.738
2017-12-31,54743589,0.5186,648722622,-0.5696
2017-09-30,437375898,0.8001,571625829,-0.4733
2017-06-30,559964205,0.8902,251175090,-0.6354
2017-03-31,821750621,1.2563,86774250,-0.6668
2016-12-31,1027040860,1.5203,1310231133,0.5995
2016-09-30,921311654,1.6097,939525559,0.8145
