date,速动比率,流动负债合计,资产合计,所有者权益合计,有息负债率,资产负债率,长期负债合计,负债合计,流动资产合计,流动比率
2026-03-31,1.5583,340518798,49366048456,33009992875,0.2039,0.3313,1239390471,16356055581,0,2.2716
2025-12-31,1.396,240285079,43600508996,28153859121,0.2247,0.3543,1617721216,15446649875,0,2.1028
2025-09-30,1.6405,244705208,44208848002,27700433267,0.246,0.3734,2277682646,16508414735,0,2.4593
2025-06-30,1.613,204463535,42484299696,26187007651,0.2412,0.3836,2434671532,16297292045,0,2.4267
2025-03-31,1.4818,240500808,40386840235,25224600193,0.2497,0.3754,1243100000,15162240041,0,2.2488
2024-12-31,1.9218,225672725,38964573304,24202390101,0.2523,0.3789,3471950000,14762183203,0,2.8707
2024-09-30,1.6444,220366473,38392622827,22689064560,0.2619,0.409,3332800000,15703558266,0,2.5318
2024-06-30,1.5491,212681965,37126885585,21742259394,0.2634,0.4144,3012800000,15384626190,0,2.4221
2024-03-31,1.3132,222163287,37063886693,21087143446,0.2697,0.4311,2106990000,15976743247,0,2.0449
2023-12-31,1.5131,186780655,37743164483,21494687630,0.294,0.4305,2977396365,16248476852,0,2.2345
2023-09-30,1.0098,152135592,35880244522,18134665512,0.3471,0.4946,3033297248,17745579010,0,1.7734
2023-06-30,0.8177,175987585,37527537330,19006005495,0.3601,0.4935,2884791865,18521531834,0,1.703
2023-03-31,0.77,240893827,36661415880,18338527053,0.3699,0.4998,3601227898,18322888827,0,1.816
2022-12-31,0.6768,125370583,35190162216,18100230622,0.3636,0.4856,2749776000,17089931594,0,1.8908
2022-09-30,0.7048,142657318,37077905343,19692212152,0.3234,0.4689,2861109863,17385693190,0,2.0732
2022-06-30,0.8959,164757492,37579769939,19511963491,0.3101,0.4808,3035671500,18067806448,0,2.0383
2022-03-31,1.0483,153290109,32301146052,17205404998,0.2873,0.4673,2364677515,15095741054,0,2.2242
2021-12-31,1.2982,149444136,32079927550,16304374745,0.2999,0.4918,3447983828,15775552805,0,2.3329
2021-09-30,1.4725,261516802,29945639357,14835160513,0.3146,0.5046,3697111698,15110478844,0,2.424
2021-06-30,1.4853,193024964,27823178033,13721008453,0.3118,0.5068,2994442772,14102169580,0,2.3131
2021-03-31,1.5088,203451227,27193330390,13047188303,0.3168,0.5202,2977130610,14146142087,0,2.2484
2020-12-31,1.24,110036316,22647992329,11525050451,0.2756,0.4911,3181591112,11122941878,0,2.0326
2020-09-30,1.0466,157940410,21362520118,10375405098,0.3001,0.5143,3009203393,10987115020,0,1.9119
2020-06-30,0.8567,318956298,21611100281,9884699867,0.2907,0.5426,3050864432,11726400414,0,1.7608
2020-03-31,1.0693,224696359,19463513109,9068040407,0.2904,0.5341,2806646280,10395472702,0,1.9538
2019-12-31,0.8136,0,17476223433,7955376713,0.2877,0.5448,928000000,9520846720,0,1.4306
2019-09-30,0.8302,0,16882772469,7659878696,0.3131,0.5463,935000000,9222893774,0,1.4411
2019-06-30,0.3856,0,5670514725,1678863309,0.3449,0.7039,35000000,3991651416,0,0.6826
2019-03-31,0.3906,0,5577228728,1724888816,0.3345,0.6907,42000000,3852339912,0,0.7093
2018-12-31,0.5297,0,4599872274,1644383602,0.3599,0.6425,42000000,2955488671,0,0.8885
2018-09-30,0.7328,0,3967985163,1616735608,0.2199,0.5926,49000000,2351249555,0,1.2954
2018-06-30,0.944,0,3417994908,1453376777,0.1898,0.5748,63000000,1964618131,0,1.5328
2018-03-31,1.0014,0,3201833070,1287148462,0.1898,0.598,70000000,1914684609,0,1.4886
2017-12-31,1.1207,0,2824908204,1190640878,0.198,0.5785,70000000,1634267326,0,1.5317
2017-09-30,1.2711,0,2042004597,1126514980,0.2421,0.4483,0,915489618,0,1.8472
2017-06-30,1.2916,0,1888438664,1079998835,0.246,0.4281,0,808439829,0,1.9097
2017-03-31,1.0896,0,1603601416,829457676,0.3363,0.4828,0,774143740,0,1.627
2016-12-31,1.1038,0,1645671860,808900375,0.3369,0.5085,0,836771485,0,1.5465
2016-09-30,,0,,,,,0,,0,
2016-06-30,,0,,,,,0,,0,
