date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值
2026-07-03,1092713495300.0,0.0221,1.8249,,,,,1.8265,,,,,1.8265,,,,,7.5384,,,,,7.5474,,,,
2026-07-02,1088473789550.0,0.0222,1.8178,,,,,1.8194,,,,,1.8194,,,,,7.5091,,,,,7.5181,,,,
2026-07-01,1096105259900.0,0.0221,1.8305,,,,,1.8322,,,,,1.8322,,,,,7.5618,,,,,7.5708,,,,
2026-06-30,999157321750.0,0.0242,1.6686,,,,,1.6701,,,,,1.6701,,,,,6.8930,,,,,6.9012,,,,
2026-06-29,1010180556700.0,0.0240,1.6870,,,,,1.6885,,,,,1.6885,,,,,6.9690,,,,,6.9773,,,,
2026-06-26,990395263200.0,0.0244,1.6540,,,,,1.6555,,,,,1.6555,,,,,6.8325,,,,,6.8406,,,,
2026-06-25,1042684967450.0,0.0232,1.7413,,,,,1.7429,,,,,1.7429,,,,,7.1933,,,,,7.2018,,,,
2026-06-24,1013289674250.0,0.0239,1.6922,,,,,1.6937,,,,,1.6937,,,,,6.9905,,,,,6.9988,,,,
2026-06-23,1022617026900.0,0.0237,1.7078,,,,,1.7093,,,,,1.7093,,,,,7.0548,,,,,7.0632,,,,
2026-06-22,1029965850200.0,0.0235,1.7201,,,,,1.7216,,,,,1.7216,,,,,7.1055,,,,,7.1140,,,,
2026-06-18,952520558500.0,0.0254,1.5907,,,,,1.5922,,,,,1.5922,,,,,6.5712,,,,,6.5790,,,,
2026-06-17,1012159086050.0,0.0239,1.6903,,,,,1.6918,,,,,1.6918,,,,,6.9827,,,,,6.9910,,,,
2026-06-16,1019225262300.0,0.0237,1.7021,,,,,1.7036,,,,,1.7036,,,,,7.0314,,,,,7.0398,,,,
2026-06-15,1032509673650.0,0.0234,1.7243,,,,,1.7259,,,,,1.7259,,,,,7.1231,,,,,7.1315,,,,
2026-06-12,1012159086050.0,0.0239,1.6903,,,,,1.6918,,,,,1.6918,,,,,6.9827,,,,,6.9910,,,,
2026-06-11,970327322650.0,0.0249,1.6205,,,,,1.6219,,,,,1.6219,,,,,6.6941,,,,,6.7020,,,,
2026-06-10,978806734150.0,0.0247,1.6346,,,,,1.6361,,,,,1.6361,,,,,6.7526,,,,,6.7606,,,,
2026-06-09,936692323700.0,0.0258,1.5643,,,,,1.5657,,,,,1.5657,,,,,6.4620,,,,,6.4697,,,,
2026-06-08,932735265000.0,0.0259,1.5577,,,,,1.5591,,,,,1.5591,,,,,6.4347,,,,,6.4424,,,,
2026-06-05,927647618100.0,0.0261,1.5492,,,,,1.5506,,,,,1.5506,,,,,6.3996,,,,,6.4072,,,,
2026-06-04,918320265450.0,0.0263,1.5336,,,,,1.5350,,,,,1.5350,,,,,6.3353,,,,,6.3428,,,,
2026-06-03,929343500400.0,0.0260,1.5520,,,,,1.5534,,,,,1.5534,,,,,6.4113,,,,,6.4190,,,,
2026-06-02,939518794200.0,0.0258,1.5690,,,,,1.5704,,,,,1.5704,,,,,6.4815,,,,,6.4892,,,,
