date,内含价值(EV),新业务价值(NBV)
2026-03-31,,
2025-12-31,1467876000000.0,45752000000.0
2025-09-30,,
2025-06-30,1477827000000.0,28546000000.0
2025-03-31,,
2024-12-31,1401146000000.0,33709000000.0
2024-09-30,,
2024-06-30,1404536000000.0,32262000000.0
2024-03-31,,
2023-12-31,1260567000000.0,36860000000.0
2023-09-30,,
2023-06-30,1311669000000.0,
2023-03-31,,
2022-12-31,1230519000000.0,36004000000.0
2022-09-30,,
2022-06-30,1250877000000.0,25745000000.0
2022-03-31,,
2021-12-31,1203008000000.0,44780000000.0
2021-09-30,,
2021-06-30,1142811000000.0,29867000000.0
2021-03-31,,
2020-12-31,1072140000000.0,58373000000.0
2020-09-30,,
2020-06-30,1015856000000.0,36889000000.0
2020-03-31,,
2019-12-31,942087000000.0,58698000000.0
2019-09-30,,
2019-06-30,886804000000.0,34569000000.0
2019-03-31,,
2018-12-31,795052000000.0,49511000000.0
2018-09-30,,
2018-06-30,769225000000.0,28166000000.0
2018-03-31,,
2017-12-31,734172000000.0,60117000000.0
2017-09-30,,
2017-06-30,697520000000.0,36895000000.0
2017-03-31,,
2016-12-31,652057000000.0,49311000000.0
2016-09-30,,
