date,资本回报率(ROIC),净资产收益率(ROE),毛利率(GM),总资产收益率(ROA),净利润率
2026-03-31,0.1009,0.1902,0.1204,0.0666,0.0529
2025-12-31,0.1145,0.1926,0.1191,0.0685,0.0547
2025-09-30,0.1143,0.1963,0.109,0.068,0.0561
2025-06-30,0.1109,0.1956,0.1046,0.0754,0.0556
2025-03-31,0.1111,0.1906,0.1052,0.0753,0.0553
2024-12-31,0.1249,0.1882,0.1041,0.0756,0.0542
2024-09-30,0.1188,0.1878,0.1155,0.071,0.0543
2024-06-30,0.1206,0.1933,0.1203,0.0805,0.0559
2024-03-31,0.1215,0.1897,0.1173,0.0802,0.0543
2023-12-31,0.1383,0.1897,0.1158,0.0789,0.0528
2023-09-30,0.1258,0.1916,0.1157,0.0697,0.0515
2023-06-30,0.1258,0.1952,0.1143,0.0795,0.0482
2023-03-31,0.1244,0.1923,0.1178,0.0773,0.0472
2022-12-31,0.1494,0.2007,0.1219,0.078,0.049
2022-09-30,0.1347,0.2042,0.1116,0.0741,0.0452
2022-06-30,0.1196,0.1896,0.1136,0.0766,0.0458
2022-03-31,0.1247,0.1971,0.1162,0.0793,0.049
2021-12-31,0.1553,0.204,0.1228,0.0821,0.0508
2021-09-30,0.1614,0.2248,0.1579,0.0907,0.0684
2021-06-30,0.1732,0.2536,0.1718,0.1123,0.079
2021-03-31,0.1705,0.2541,0.1818,0.1092,0.0807
2020-12-31,0.2226,0.2845,0.1809,0.1255,0.081
2020-09-30,0.2249,0.2908,0.1958,0.1208,0.0799
2020-06-30,0.2202,0.2827,0.1929,0.1298,0.0773
2020-03-31,0.1917,0.2627,0.191,0.1181,0.076
2019-12-31,0.2027,0.2565,0.1991,0.1148,0.0788
2019-09-30,0.1882,0.2387,0.2076,0.1043,0.0813
2019-06-30,,0.2182,0.2055,0.106,0.0791
2019-03-31,,0.1969,0.2074,0.0988,0.0792
2018-12-31,0.139,0.1839,0.2105,0.0889,0.0785
2018-09-30,,0.1626,0.1968,0.0785,0.0744
2018-06-30,,0.134,0.1933,0.0733,0.0697
2018-03-31,,0.1314,0.198,0.0755,0.0728
2017-12-31,,0.1342,0.2,0.0731,0.0766
2017-09-30,,0.1287,0.2139,0.0714,0.0821
2017-06-30,,0.1537,0.211,0.085,0.0846
2017-03-31,,0.1385,0.2109,0.0808,0.0824
2016-12-31,,0.1313,0.215,0.0726,0.0859
2016-09-30,,0.1312,0.2287,0.0719,0.0968
