date,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率,自由现金流量
2026-03-31,-7068299175,-0.0563,0.9034,-1083290142
2025-12-31,17325329534,-0.3611,0.9535,-324921015
2025-09-30,3478039289,-0.4789,1.3652,7345564303
2025-06-30,-1657810282,-1.6905,1.4308,7509900580
2025-03-31,-6691655420,-6.9245,1.3827,7431779269
2024-12-31,27116908209,-0.0177,1.86,15265306807
2024-09-30,6675013256,-0.0757,1.9672,16726394868
2024-06-30,2400779435,-0.7276,1.5959,11120553551
2024-03-31,-844429966,-1.2338,1.8204,12611036390
2023-12-31,27605060411,1.1689,2.2547,16716475096
2023-09-30,7222033824,1.4388,1.4672,5255791334
2023-06-30,8814029152,2.6374,1.7259,7171919141
2023-03-31,3612281990,1.8261,1.4338,3051634295
2022-12-31,12727610319,0.7472,1.2132,-349751469
2022-09-30,2961314331,-0.6107,0.2673,-11489212001
2022-06-30,2423147153,0.1075,0.8749,-7120862470
2022-03-31,1278178911,0.9269,0.9244,-4982733473
2021-12-31,7284766917,0.0599,0.9315,-4939097694
2021-09-30,7607608313,1.7764,1.5051,1421833708
2021-06-30,2187902392,-0.3124,0.714,-2925803612
2021-03-31,663348870,-0.4971,0.7944,-2912402240
2020-12-31,6873211486,-0.0794,0.9175,-523718895
2020-09-30,2740062233,-0.5516,0.6085,-3425144881
2020-06-30,3181944342,-0.2403,1.0773,-1278594744
2020-03-31,1319173418,0.0143,1.4072,424772240
2019-12-31,7465988174,1.376,1.5152,1243837761
2019-09-30,6110977719,1.9459,1.713,1408433076
2019-06-30,4188400473,0.9551,1.4494,-312398356
2019-03-31,1300528133,-0.3014,0.8254,-2905526414
2018-12-31,3142307168,17.6114,1.1169,-1971262485
2018-09-30,2074378855,19.5276,0.9267,-1956953578
2018-06-30,2142338228,4.8219,1.0492,-2028831405
2018-03-31,1861607194,5.7457,0.9923,-2058189577
2017-12-31,168837371,-0.8711,0.0966,-3350004177
2017-09-30,101053176,-0.5954,0.7349,-2236573880
2017-06-30,367977498,-0.2224,0.8231,-1140188119
2017-03-31,275969748,-0.3901,0.8817,-663527189
2016-12-31,1309992559,1.6877,1.1082,-204215837
2016-09-30,249733216,0.6137,0.5197,-668575706
