日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=17.0100,=17.0100,=17.0100,=17.0100,=359980240316.13,=359980240316.0,=281357519080.68,,=4.6446,,,,
2026-07-02,=17.0600,=17.0600,=17.0600,=17.0600,=361038383291.78,=361038383292.0,=282184554704.0799,,=4.6583,,,,
2026-07-01,=16.7000,=16.7000,=16.7000,=16.7000,=353419753867.1,=353419750594.0,=276229898215.5999,,=4.5600,,,,
2026-06-30,=16.5600,=16.5600,=16.5600,=16.5600,=350456953535.28,=350456950290.0,=273914198470.08,,=4.5217,,,,
2026-06-29,=16.8800,=16.8800,=16.8800,=16.8800,=357229065270.96,=357229065271.0,=279207226459.8399,,=4.6091,,,,
2026-06-26,=16.7700,=16.7700,=16.7700,=16.7700,=354901150746.09,=354901150746.0,=277387748088.3599,,=4.5791,,,,
2026-06-25,=16.9400,=16.9400,=16.9400,=16.9400,=358498836829.9801,=358498836830.0,=280199669207.92,,=4.6255,,,,
2026-06-24,=17.1200,=17.1200,=17.1200,=17.1200,=362308151507.0401,=362308151507.0,=283176997452.16,,=4.6746,,,,
2026-06-23,=17.6500,=17.6500,=17.6500,=17.6500,=373524466945.05,=373524466945.0,=291943575060.1999,,=4.8194,,,,
2026-06-22,=17.7300,=17.7300,=17.7300,=17.7300,=375217495690.4101,=375217495690.0,=293266832057.64,,=4.8412,,,,
2026-06-18,=17.3200,=17.3200,=17.3200,=17.3200,=366540723370.44,=366540723370.0,=286485139945.76,,=4.7293,,,,
2026-06-17,=17.8400,=17.8400,=17.8400,=17.8400,=377545410215.28,=377545410215.0,=295086310429.12,,=4.8712,,,,
2026-06-16,=18.0700,=18.0700,=18.0700,=18.0700,=382412867858.19,=382412867858.0,=298890674296.76,,=4.9340,,,,
2026-06-15,=18.2300,=18.2300,=18.2300,=18.2300,=385798925348.9101,=385798925349.0,=301537188291.64,,=4.9777,,,,
2026-06-12,=18.6100,=18.6100,=18.6100,=18.6100,=393840811889.37,=393840811889.0,=307822659029.4799,,=5.0815,,,,
2026-06-11,=18.7900,=18.7900,=18.7900,=18.7900,=397650126566.43,=397650126566.0,=310799987273.7199,,=5.1306,,,,
2026-06-10,=18.8900,=18.8900,=18.8900,=18.8900,=399766412498.13,=399766412498.0,=312454058520.52,,=5.1579,,,,
2026-06-09,=18.4500,=18.4500,=18.4500,=18.4500,=390454754398.65,=390454754399.0,=305176145034.5999,,=5.0378,,,,
2026-06-08,=18.5400,=18.5400,=18.5400,=18.5400,=392359411737.18,=392359411737.0,=306664809156.7199,,=5.0624,,,,
2026-06-05,=18.6000,=18.6000,=18.6000,=18.6000,=393629145649.8,=393629145650.0,=307657251904.7999,,=5.0788,,,,
