date,毛利率(GM),净利润率,总资产收益率(ROA),净资产收益率(ROE),资本回报率(ROIC)
2026-03-31,0.6211,0.4184,0.0649,0.1564,0.0837
2025-12-31,0.6167,0.4052,0.0621,0.1535,0.0825
2025-09-30,0.6013,0.3946,0.0582,0.1456,0.0797
2025-06-30,0.6058,0.4009,0.0606,0.1636,0.0852
2025-03-31,0.5992,0.3976,0.0603,0.1537,0.0826
2024-12-31,0.5913,0.3897,0.0579,0.1517,0.0813
2024-09-30,0.6036,0.3977,0.06,0.1602,0.0843
2024-06-30,0.585,0.3709,0.0528,0.1516,0.0796
2024-03-31,0.5753,0.3611,0.0493,0.1374,0.0742
2023-12-31,0.5783,0.3579,0.0622,0.137,0.0933
2023-09-30,0.5556,0.3544,0.0537,0.1213,0.0797
2023-06-30,0.5274,0.3353,0.0424,0.1015,0.0657
2023-03-31,0.5668,0.3842,0.049,0.114,0.0667
2022-12-31,0.5729,0.4158,0.066,0.1122,0.0842
2022-09-30,0.629,0.4601,0.0784,0.1398,0.1015
2022-06-30,0.6504,0.4788,0.0877,0.1661,0.119
2022-03-31,0.6269,0.4738,0.082,0.1442,0.108
2021-12-31,0.6206,0.476,0.0803,0.1437,0.1067
2021-09-30,0.6039,0.4674,0.0761,0.1498,0.1048
2021-06-30,0.6081,0.4714,0.0819,0.175,0.1174
2021-03-31,0.6198,0.4656,0.087,0.1645,0.1207
2020-12-31,0.634,0.4587,0.0845,0.1615,0.1177
2020-09-30,0.6216,0.4405,0.0753,0.1539,0.107
2020-06-30,0.6219,0.4238,0.0664,0.1495,0.1017
2020-03-31,0.6264,0.4218,0.0707,0.1406,0.1039
2019-12-31,0.6251,0.4324,0.0729,0.1474,0.1087
2019-09-30,0.6438,0.4491,0.0758,0.1591,0.1316
2019-06-30,0.6285,0.4333,0.0759,0.1711,0.1324
2019-03-31,0.6334,0.4398,0.0766,0.16,
2018-12-31,0.6289,0.4421,0.0761,0.1628,0.1196
2018-09-30,0.6217,0.4318,0.074,0.1671,
2018-06-30,0.6181,0.4533,0.0755,0.1818,
2018-03-31,0.614,0.444,0.0749,0.166,
2017-12-31,0.6121,0.4442,0.0745,0.1687,
2017-09-30,0.5987,0.457,0.0735,0.1753,
2017-06-30,0.5996,0.4436,0.0705,0.1813,
2017-03-31,0.5919,0.4165,0.0985,0.1938,
2016-12-31,0.6069,0.4278,0.095,0.1904,
2016-09-30,0.6106,0.4268,0.0823,0.1726,
2016-06-30,0.5946,0.4085,0.0623,0.1401,
