date,营业收入,累积同比,归属于母公司普通股股东的净利润,基本每股收益
2026-03-31,18111540768,0.0644,6761006898,0.2763
2025-12-31,86241940222,0.0207,34502809176,1.4101
2025-09-30,65741285682,-0.0089,28192874495,1.1522
2025-06-30,36697614067,0.0534,13056352474,0.5336
2025-03-31,17015283779,0.0868,5180785598,0.2117
2024-12-31,84491870567,0.0812,32496172809,1.3281
2024-09-30,66330680746,0.1465,28024923213,1.1454
2024-06-30,34808310002,0.1238,11362325218,0.4644
2024-03-31,15640900490,0.0158,3966850824,0.1621
2023-12-31,78111573266,0.1343,27238970861,1.1132
2023-09-30,57855135654,0.0902,21523845845,0.8797
2023-06-30,30974895020,-0.0154,8882067760,0.363
2023-03-31,15397466574,0.2517,3612922772,0.1527
2022-12-31,52060482558,-0.0644,21309033981,0.937
2022-09-30,41269459722,0.0203,18944132777,0.833
2022-06-30,25388484424,0.2757,11291571876,0.4965
2022-03-31,9738207780,0.0978,3137431624,0.138
2021-12-31,55646253992,-0.037,26272998503,1.1553
2021-09-30,40448219538,-0.0563,19567240614,0.8604
2021-06-30,19901493442,-0.0006,8581992711,0.3774
2021-03-31,8870397198,0.058,2869334570,0.1262
2020-12-31,57783367040,0.1586,26297890223,1.1853
2020-09-30,42859844550,0.1254,20250873551,0.9205
2020-06-30,19912547312,-0.0221,7902525712,0.3592
2020-03-31,8384404815,-0.0259,2290520337,0.1041
2019-12-31,49874086875,-0.0262,21543493636,0.9792
2019-09-30,38084126840,-0.0251,17832682997,0.8106
2019-06-30,20362755734,0.06,8572419523,0.3897
2019-03-31,8607560564,0.0562,2916020618,0.1325
2018-12-31,51213965747,0.0213,22610936420,1.0278
2018-09-30,39065587330,0.0492,17922424043,0.8147
2018-06-30,19209933634,-0.0042,8522424118,0.3874
2018-03-31,8149471394,0.0375,2832197457,0.1287
2017-12-31,50146848575,0.0247,22260911325,1.0119
2017-09-30,37232751627,-0.0005,17755646999,0.8071
2017-06-30,19290324380,-0.0388,8104818289,0.3684
2017-03-31,7854916027,0.0026,2708003432,0.1231
2016-12-31,48939388715,0.0317,20781182597,0.9446
2016-09-30,37250774849,0.0478,16338604375,0.8355
2016-06-30,20068593049,0.089,7680742595,0.4189
