日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=526.0000,=526.0000,=526.0000,=526.0000,=733379015784.0,=659731901108.0,=627552102578.7999,,=68.2872,,,,
2026-07-02,=509.0000,=509.0000,=509.0000,=509.0000,=709676652156.0,=638409767422.0,=607270000404.2,,=66.0802,,,,
2026-07-01,=575.5600,=575.5600,=575.5600,=575.5600,=802478377043.0399,=721892192018.0,=686680395741.9279,,=74.7213,,,,
2026-06-30,=607.0000,=607.0000,=607.0000,=607.0000,=846313807188.0,=761325596906.0,=724190354116.6,,=78.8030,,,,
2026-06-29,=556.9600,=556.9600,=556.9600,=556.9600,=776545202720.64,=698563269280.0,=664489389833.248,,=72.3066,,,,
2026-06-26,=566.0000,=566.0000,=566.0000,=566.0000,=789149283144.0,=709901627428.0,=675274695930.7999,,=73.4802,,,,
2026-06-25,=610.4900,=610.4900,=610.4900,=610.4900,=851179763015.16,=765702905527.0,=728354150386.562,,=79.2560,,,,
2026-06-24,=555.3000,=555.3000,=555.3000,=555.3000,=774230736625.2,=696481225637.0,=662508902209.1399,,=72.0911,,,,
2026-06-23,=552.0000,=552.0000,=552.0000,=552.0000,=769629689568.0,=692342223216.0,=658571788257.6,,=71.6627,,,,
2026-06-22,=579.9700,=579.9700,=579.9700,=579.9700,=808627049019.48,=727423404345.0,=691941811658.986,,=75.2938,,,,
2026-06-18,=581.4800,=581.4800,=581.4800,=581.4800,=810732376612.3201,=729317311514.0,=693743339558.024,,=75.4899,,,,
2026-06-17,=557.8800,=557.8800,=557.8800,=557.8800,=777827918869.92,=699717172985.0,=665587009480.344,,=72.4260,,,,
2026-06-16,=549.0000,=549.0000,=549.0000,=549.0000,=765446919516.0,=688579493742.0,=654992593756.2,,=71.2732,,,,
2026-06-15,=540.4900,=540.4900,=540.4900,=540.4900,=753581795135.16,=677905884467.0,=644839612020.562,,=70.1684,,,,
2026-06-12,=506.4600,=506.4600,=506.4600,=506.4600,=706135240178.64,=635223989801.0,=604239615726.3479,,=65.7505,,,,
2026-06-11,=526.0000,=526.0000,=526.0000,=526.0000,=733379015784.0,=659731901108.0,=627552102578.7999,,=68.2872,,,,
2026-06-10,=772.5000,=772.5000,=772.5000,=772.5000,=769330920720.0,=685423592970.0,=658316131507.5,,=71.6348,,,,
2026-06-09,=785.7300,=785.7300,=785.7300,=785.7300,=782506646391.36,=697162303824.0,=669590594186.91,,=72.8617,,,,
2026-06-08,=725.0000,=725.0000,=725.0000,=725.0000,=722025783200.0,=643277805700.0,=617837146075.0,,=67.2301,,,,
2026-06-05,=748.0000,=748.0000,=748.0000,=748.0000,=744931428736.0,=663685239536.0,=637437496916.0,,=69.3629,,,,
