date,毛利率(GM),净资产收益率(ROE),资本回报率(ROIC),总资产收益率(ROA),净利润率
2026-03-31,0.206,0.0734,0.0592,0.033,0.1292
2025-12-31,0.1572,0.0254,0.0343,0.0118,0.0547
2025-09-30,0.1313,-0.0407,-0.0058,-0.0193,-0.1027
2025-06-30,0.1098,-0.0483,-0.0122,-0.0228,-0.1326
2025-03-31,0.126,-0.05,-0.0156,-0.0253,-0.1437
2024-12-31,0.1082,-0.0527,-0.0176,-0.0273,-0.1391
2024-09-30,0.0727,-0.044,-0.0149,-0.0244,-0.1101
2024-06-30,0.0618,-0.044,-0.0157,-0.0249,-0.0957
2024-03-31,0.0477,0.0344,0.0327,0.0206,0.0635
2023-12-31,0.1387,0.0904,0.0755,0.0536,0.1388
2023-09-30,0.2441,0.2318,0.1803,0.1398,0.2846
2023-06-30,0.3528,0.4279,0.3272,0.2628,0.4164
2023-03-31,0.4499,0.4682,0.368,0.303,0.4154
2022-12-31,0.495,0.5454,0.4422,0.3462,0.4892
2022-09-30,0.5478,0.5307,0.4292,0.3452,0.5631
2022-06-30,0.5459,0.4023,0.3266,0.2663,0.5248
2022-03-31,0.504,0.3784,0.3037,0.2487,0.5685
2021-12-31,0.3981,0.2737,0.2176,0.1774,0.4853
2021-09-30,0.3404,0.1831,0.1446,0.1171,0.3766
2021-06-30,0.2981,0.1611,0.1298,0.1027,0.3291
2021-03-31,0.243,0.1342,0.1027,0.08,0.2564
2020-12-31,0.2138,0.0974,0.0819,0.0587,0.1925
2020-09-30,0.1954,0.0351,0.0349,0.02,0.0715
2020-06-30,0.2056,0.0262,0.0297,0.0141,0.0436
2020-03-31,0.2321,0.0127,0.0176,0.0073,0.0209
2019-12-31,0.235,0.0431,0.0433,0.0255,0.0662
2019-09-30,0.2545,0.068,0.0659,0.0388,0.0793
2019-06-30,0.2711,0.1079,,0.059,0.1243
2019-03-31,0.3041,0.1788,,0.1015,0.2117
2018-12-31,0.361,0.2036,0.1534,0.1137,0.2446
2018-09-30,0.4066,0.3948,,0.2082,0.3061
2018-06-30,0.4409,0.4648,,0.2411,0.3336
2018-03-31,0.4253,0.4888,,0.2634,0.3516
2017-12-31,0.4047,0.4495,,0.2487,0.335
2017-09-30,0.3608,0.3695,,0.2043,0.2683
2017-06-30,0.3424,0.3321,,0.1892,0.2541
2017-03-31,0.3608,0.2141,,0.1305,0.1762
2016-12-31,0.3457,0.2128,,0.1469,0.1636
2016-09-30,0.336,0.2567,,0.1739,0.2097
