date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.88,5.8889,1837274971,9196158318
2025-12-31,0.8,1.7767,1612980993,23081732746
2025-09-30,0.01,1.0313,25520017,14624798503
2025-06-30,-0.27,0.2895,-531239266,8376096469
2025-03-31,-0.18,0.1818,-355829530,3771800383
2024-12-31,-1.03,-1.4187,-2074013392,18906402940
2024-09-30,-0.32,-1.1074,-640389644,13925192758
2024-06-30,-0.38,-1.131,-760376878,9588814083
2024-03-31,-0.22,-1.1849,-438901867,5057894510
2023-12-31,2.46,-0.7583,4946809504,32971680170
2023-09-30,2.98,-0.5946,6009847045,25681961591
2023-06-30,2.9,-0.1944,5850186575,18145236236
2023-03-31,1.19,-0.32,2396600665,9438229716
2022-12-31,10.18,2.8127,20503567859,41822508878
2022-09-30,7.35,3.1525,14794841018,27611656306
2022-06-30,3.6,3.8649,7253519235,14443608957
2022-03-31,2.45,5.8056,3525082985,5365267018
2021-12-31,3.73,3.7215,5228404717,11162214421
2021-09-30,1.77,6.08,2472792255,7053758124
2021-06-30,1.04,7.6667,1416651740,4064281030
2021-03-31,0.36,35,476096555,1606822673
2020-12-31,0.79,1.8214,1024658531,5523986077
2020-09-30,0.25,0,330482915,3892964914
2020-06-30,0.12,-0.4783,156485197,2386921688
2020-03-31,0.01,-0.9545,7746066,1078841300
2019-12-31,0.28,-0.7627,358070976,5341720204
2019-09-30,0.25,-0.7093,329165318,4210504097
2019-06-30,0.23,-0.6515,295788788,2822411151
2019-03-31,0.22,0.0476,252728978,1329903169
2018-12-31,1.07,-0.1894,1223286884,5003882888
2018-09-30,1.01,0.1222,1106531680,3593501018
2018-06-30,0.76,0.4074,837068911,2331805272
2018-03-31,0.48,1.6667,358323734,1050092864
2017-12-31,1.98,2.1935,1469078129,4383446140
2017-09-30,1.35,1.1094,1003530247,2841996321
2017-06-30,0.81,1.1892,607378846,1625257049
2017-03-31,0.18,0.2857,136451698,625153235
2016-12-31,0.62,2.6471,464365096,2844120348
2016-09-30,0.64,4.3333,485803837,2022588042
