date,自由现金流量,经营活动产生的现金流量净额,累积同比,经营活动产生的现金流量净额对净利润的比率
2026-03-31,-1073916165,786537076,1.5005,1.4403
2025-12-31,-3968052030,2944844627,-0.4294,2.3325
2025-09-30,-6918598991,-429098746,-1.1045,-0.3109
2025-06-30,-7501824609,300344610,-0.9238,-0.6476
2025-03-31,-6140673392,-1571355930,-14.2207,-1.371
2024-12-31,-4049053578,5161272000,34.2352,-1.9623
2024-09-30,-4344848012,4105916332,3.999,-2.4061
2024-06-30,-1135202259,3942499110,2.465,-2.9005
2024-03-31,-4442224451,118855695,1.0375,1.8916
2023-12-31,-8495027152,146480693,-0.9883,0.032
2023-09-30,-4989261666,-1369100406,-1.172,0.2785
2023-06-30,-110232798,-2691156986,-2.2836,0.4063
2023-03-31,1890068955,-3169082963,-3.7924,0.4294
2022-12-31,7568680258,12490633286,3.7667,0.6105
2022-09-30,5154750345,7959572180,7.5777,0.5404
2022-06-30,-392995905,2096525525,2.3259,0.3615
2022-03-31,528860557,1134889135,6.2297,0.4683
2021-12-31,-790615719,2620393304,2.5109,0.4838
2021-09-30,-655994595,927936788,3.6141,0.4504
2021-06-30,-967540865,630355229,2.3215,0.5008
2021-03-31,-773982575,-217010376,-0.566,0.4305
2020-12-31,-462081025,746368363,0.1152,0.7017
2020-09-30,57508235,201110848,-0.1165,1.7882
2020-06-30,42569201,189778974,-0.0237,3.1051
2020-03-31,-443485952,-138580433,-1.5929,2.7925
2019-12-31,-144760375,669286083,-0.0233,1.8939
2019-09-30,-259637389,227617242,1.0368,1.7968
2019-06-30,-396005195,194388487,6.8874,1.3368
2019-03-31,-175289389,233727873,2.7136,0.9437
2018-12-31,-505991224,685231948,0.3599,0.5599
2018-09-30,-300175531,111751983,-0.198,0.303
2018-06-30,282026369,-33017444,0.9081,0.4887
2018-03-31,59471643,-136397089,-3.695,0.2346
2017-12-31,153782746,503866065,-0.2348,0.3431
2017-09-30,-392934728,139346598,-0.7462,0.2531
2017-06-30,-563351944,-359155181,-2.4455,0.064
2017-03-31,25106266,-29051709,-1.8271,1.202
2016-12-31,155574373,658474255,0.7993,1.4148
2016-09-30,477427321,549007944,3.6687,1.5152
