date,速动比率,资产合计,资产负债率,流动负债合计,流动资产合计,负债合计,长期负债合计,有息负债率,所有者权益合计,流动比率
2026-03-31,0.8487,3038549000000,0.3958,77631000000,0,1202781000000,161432000000,0.1552,1835768000000,1.1334
2025-12-31,0.7982,2828017000000,0.3637,84599000000,0,1028469000000,148462000000,0.1285,1799548000000,1.1049
2025-09-30,0.8435,2849964000000,0.3838,88746000000,0,1093754000000,147153000000,0.1287,1756210000000,1.1478
2025-06-30,0.7803,2849632000000,0.3848,77565000000,0,1096490000000,76905000000,0.1327,1753142000000,1.0386
2025-03-31,0.8007,2841484000000,0.3792,83696000000,0,1077428000000,77785000000,0.1315,1764056000000,1.0505
2024-12-31,0.6407,2753007000000,0.3789,80266000000,0,1043144000000,74072000000,0.1332,1709863000000,0.9271
2024-09-30,0.6773,2776961000000,0.3954,84494000000,0,1097923000000,64541000000,0.1248,1679038000000,0.9506
2024-06-30,0.6487,2768297000000,0.3938,77862000000,0,1090144000000,70126000000,0.1251,1678153000000,0.9382
2024-03-31,0.7583,2754183000000,0.3897,78450000000,0,1073323000000,135248000000,0.1339,1680860000000,1.0687
2023-12-31,0.6756,2752710000000,0.4076,83928000000,0,1122089000000,126165000000,0.1547,1630621000000,0.9558
2023-09-30,0.6747,2782085000000,0.4257,86334000000,0,1184359000000,117257000000,0.1538,1597726000000,0.9614
2023-06-30,0.6719,2719541000000,0.416,75614000000,0,1131241000000,123139000000,0.161,1588300000000,0.9481
2023-03-31,0.7252,2710874000000,0.4168,74249000000,0,1129880000000,132892000000,0.1701,1580994000000,0.9988
2022-12-31,0.6923,2673751000000,0.4247,77337000000,0,1135648000000,169630000000,0.173,1538103000000,0.9833
2022-09-30,0.711,2793583000000,0.4584,84920000000,0,1280607000000,186562000000,0.1815,1512976000000,1.0212
2022-06-30,0.675,2772637000000,0.4605,83690000000,0,1276873000000,185009000000,0.1817,1495764000000,1.0006
2022-03-31,0.6628,2611073000000,0.4437,75319000000,0,1158502000000,200001000000,0.1807,1452571000000,0.9982
2021-12-31,0.6222,2502533000000,0.4369,78481000000,0,1093409000000,198005000000,0.1879,1409124000000,0.928
2021-09-30,0.6136,2547930000000,0.4549,89632000000,0,1159135000000,188460000000,0.199,1388795000000,0.8991
2021-06-30,0.5856,2532124000000,0.4499,88467000000,0,1139209000000,176552000000,0.1959,1392915000000,0.9078
2021-03-31,0.6283,2528028000000,0.4476,91141000000,0,1131609000000,199279000000,0.215,1396419000000,0.9588
2020-12-31,0.556,2488400000000,0.4507,91477000000,0,1121515000000,160140000000,0.2038,1366885000000,0.804
2020-09-30,0.5341,2566916000000,0.4697,93316000000,0,1205667000000,148439000000,0.214,1361249000000,0.8092
2020-06-30,0.4084,2677624000000,0.4769,92376000000,0,1276959000000,223452000000,0.2384,1400665000000,0.7109
2020-03-31,0.3825,2727303000000,0.4761,84993000000,0,1298578000000,162004000000,0.2363,1428725000000,0.6846
2019-12-31,0.4051,2733190000000,0.4715,82490000000,0,1288612000000,174411000000,0.2263,1444578000000,0.7059
2019-09-30,0.5017,2701213000000,0.4695,84110000000,0,1268312000000,157107000000,0.2325,1432901000000,0.8031
2019-06-30,0.4585,2637779000000,0.4593,77337000000,0,1211662000000,146279000000,0.2308,1426117000000,0.7992
2019-03-31,0.5212,2634448000000,0.4584,53914000000,0,1207748000000,179353000000,0.24,1426700000000,0.8793
2018-12-31,0.4117,2432558000000,0.42,68076000000,0,1021615000000,177605000000,0.1674,1410943000000,0.7386
2018-09-30,0.5297,2483559000000,0.4302,78830000000,0,1068308000000,189166000000,0.1742,1415251000000,0.8575
2018-06-30,0.4991,2408333000000,0.4186,70113000000,0,1008047000000,190000000000,0.1797,1400286000000,0.8209
2018-03-31,0.5211,2397887000000,0.4195,67999000000,0,1005996000000,204777000000,0.1914,1391891000000,0.8217
2017-12-31,0.4687,2404910000000,0.4255,0,0,1023300000000,195192000000,0.1935,1381610000000,0.7373
2017-09-30,0.5219,2446111000000,0.4359,0,0,1066212000000,205219000000,0.2035,1379899000000,0.787
2017-06-30,0.4709,2399984000000,0.4233,0,0,1015799000000,207281000000,0.2054,1384185000000,0.7666
2017-03-31,0.4258,2390153000000,0.42,0,0,1003767000000,181131000000,0.2062,1386386000000,0.7388
2016-12-31,0.4373,2396950000000,0.4272,0,0,1023922000000,243675000000,0.2154,1373028000000,0.7645
2016-09-30,0.5002,2405988000000,0.4328,0,0,1041381000000,242321000000,0.2182,1364607000000,0.8155
2016-06-30,0.4779,2418492000000,0.4368,0,0,1056390000000,273385000000,0.228,1362102000000,0.8219
