日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2025-12-29,=369.3100,=369.3100,=369.3100,=369.3100,=1685386078974.13,=1571924297559.0,=916140201873.54,,=29.8638,,,,
2025-12-26,=374.4300,=374.4300,=374.4300,=374.4300,=1708751752051.89,=1593716971474.0,=928841287231.62,,=30.2778,,,,
2025-12-25,=373.0100,=373.0100,=373.0100,=373.0100,=1702271428659.23,=1587672909568.0,=925318720589.34,,=30.1630,,,,
2025-12-24,=375.6000,=375.6000,=375.6000,=375.6000,=1714091173438.8,=1598696937974.0,=931743683690.4,,=30.3724,,,,
2025-12-23,=378.1000,=378.1000,=378.1000,=378.1000,=1725500193496.3,=1609337892034.0,=937945385525.4,,=30.5746,,,,
2025-12-22,=371.8400,=371.8400,=371.8400,=371.8400,=1696932007272.3198,=1582692943068.0,=922416324130.56,,=30.0684,,,,
2025-12-19,=374.0000,=374.0000,=374.0000,=374.0000,=1706789400602.0,=1591886727376.0,=927774594516.0,,=30.2431,,,,
2025-12-18,=372.0000,=372.0000,=372.0000,=372.0000,=1697662184556.0,=1583373964128.0,=922813233048.0,,=30.0813,,,,
2025-12-17,=383.4200,=383.4200,=383.4200,=383.4200,=1749778588178.6602,=1631981842274.0,=951142607030.28,,=31.0048,,,,
2025-12-16,=378.4100,=378.4100,=378.4100,=378.4100,=1726914911983.4302,=1610657370338.0,=938714396552.94,,=30.5997,,,,
2025-12-15,=385.5000,=385.5000,=385.5000,=385.5000,=1759270892866.5,=1640835116052.0,=956302422957.0,,=31.1730,,,,
2025-12-12,=391.8000,=391.8000,=391.8000,=391.8000,=1788021623411.4,=1667650320283.0,=971930711581.2,,=31.6824,,,,
2025-12-11,=388.9900,=388.9900,=388.9900,=388.9900,=1775197884866.77,=1655689887920.0,=964959998718.66,,=31.4552,,,,
2025-12-10,=382.3800,=382.3800,=382.3800,=382.3800,=1745032435834.74,=1627555205385.0,=948562699066.92,,=30.9207,,,,
2025-12-09,=387.5900,=387.5900,=387.5900,=387.5900,=1768808833634.5698,=1649730953646.0,=961487045691.06,,=31.3420,,,,
2025-12-08,=392.5000,=392.5000,=392.5000,=392.5000,=1791216149027.5,=1670629787420.0,=973667188095.0,,=31.7390,,,,
2025-12-05,=389.0900,=389.0900,=389.0900,=389.0900,=1775654245669.0698,=1656115526082.0,=965208066792.06,,=31.4633,,,,
2025-12-04,=383.3500,=383.3500,=383.3500,=383.3500,=1749459135617.05,=1631683895560.0,=950968959378.9,,=30.9991,,,,
2025-12-03,=376.0800,=376.0800,=376.0800,=376.0800,=1716281705289.8398,=1600727254674.0,=932934410442.72,,=30.4113,,,,
2025-12-02,=380.0800,=380.0800,=380.0800,=380.0800,=1734536137381.8398,=1617752645598.0,=942857133378.72,,=30.7347,,,,
2025-12-01,=382.9700,=382.9700,=382.9700,=382.9700,=1747724964568.31,=1630053490541.0,=950026300699.98,,=30.9684,,,,
2025-11-28,=373.2000,=373.2000,=373.2000,=373.2000,=1703125865316.0,=1588468973209.0,=925790049928.8,,=30.1781,,,,
2025-11-27,=371.2000,=371.2000,=371.2000,=371.2000,=1693998717056.0,=1579956277747.0,=920828688460.8,,=30.0164,,,,
2025-11-26,=372.8200,=372.8200,=372.8200,=372.8200,=1701391707146.6,=1586851561071.0,=924847391249.88,,=30.1474,,,,
2025-11-25,=372.3600,=372.3600,=372.3600,=372.3600,=1699292463046.8,=1584893641115.0,=923706278112.24,,=30.1102,,,,
2025-11-24,=370.5500,=370.5500,=370.5500,=370.5500,=1691032393871.5,=1577189651722.0,=919216245983.7,,=29.9639,,,,
2025-11-21,=370.0000,=370.0000,=370.0000,=370.0000,=1688522428100.0,=1574848660470.0,=917851871580.0,,=29.9194,,,,
2025-11-20,=379.3900,=379.3900,=379.3900,=379.3900,=1731374389180.7,=1614815765664.0,=941145463672.26,,=30.6787,,,,
2025-11-19,=391.1000,=391.1000,=391.1000,=391.1000,=1784681696201.7002,=1664525451162.0,=970194235067.4,,=31.6233,,,,
2025-11-18,=385.0000,=385.0000,=385.0000,=385.0000,=1756845955095.0,=1638563791095.0,=955062082590.0,,=31.1300,,,,
2025-11-17,=390.7800,=390.7800,=390.7800,=390.7800,=1783221460602.66,=1663163528011.0,=969400417232.52,,=31.5974,,,,
2025-11-14,=404.1200,=404.1200,=404.1200,=404.1200,=1844095032137.64,=1719938699370.0,=1002492698224.08,,=32.6760,,,,
2025-11-13,=415.6000,=415.6000,=415.6000,=415.6000,=1896480984253.2,=1768733865812.0,=1030970913050.4,,=33.6043,,,,
2025-11-12,=386.3800,=386.3800,=386.3800,=386.3800,=1763083882034.6,=1644377745603.0,=958485422002.92,,=31.2406,,,,
2025-11-11,=385.6000,=385.6000,=385.6000,=385.6000,=1759524677552.0,=1641058177712.0,=956550491030.4,,=31.1775,,,,
2025-11-10,=384.5100,=384.5100,=384.5100,=384.5100,=1754550917441.7,=1636419294378.0,=953846549030.34,,=31.0894,,,,
2025-11-07,=395.3700,=395.3700,=395.3700,=395.3700,=1804105995237.9,=1682637893470.0,=980786741801.58,,=31.9674,,,,
2025-11-06,=394.6800,=394.6800,=394.6800,=394.6800,=1800957468195.6,=1679701352644.0,=979075072095.12,,=31.9117,,,,
2025-11-05,=388.7000,=388.7000,=388.7000,=388.7000,=1773670233829.0,=1654251332149.0,=964240601305.8,,=31.4281,,,,
2025-11-04,=378.9500,=378.9500,=378.9500,=378.9500,=1729180177796.5,=1612670079399.0,=940053964149.3,,=30.6398,,,,
2025-11-03,=386.8600,=386.8600,=386.8600,=386.8600,=1765274161716.2,=1646332093723.0,=959676148755.24,,=31.2794,,,,
2025-10-31,=388.7700,=388.7700,=388.7700,=388.7700,=1773989649615.9,=1654460342441.0,=964414248957.18,,=31.4338,,,,
2025-10-30,=398.2900,=398.2900,=398.2900,=398.2900,=1817339120058.29,=1694973917202.0,=988030329544.86,,=32.2019,,,,
2025-10-29,=400.0000,=400.0000,=400.0000,=400.0000,=1825141600400.0,=1702251040400.0,=992272293600.0,,=32.3402,,,,
2025-10-28,=386.4800,=386.4800,=386.4800,=386.4800,=1763451814306.48,=1644714955234.0,=958733490076.32,,=31.2471,,,,
2025-10-27,=386.1800,=386.1800,=386.1800,=386.1800,=1762082958106.18,=1643438266954.0,=957989285856.12,,=31.2228,,,,
2025-10-24,=385.7700,=385.7700,=385.7700,=385.7700,=1760212187965.77,=1641693459638.0,=956972206755.18,,=31.1897,,,,
2025-10-23,=376.4500,=376.4500,=376.4500,=376.4500,=1717686388676.45,=1602031010396.0,=933852262314.3,,=30.4361,,,,
2025-10-22,=372.8600,=372.8600,=372.8600,=372.8600,=1701305742812.86,=1586753307309.0,=924946618479.24,,=30.1459,,,,
2025-10-21,=375.9000,=375.9000,=375.9000,=375.9000,=1715176818975.9,=1599690415216.0,=932487887910.6,,=30.3917,,,,
2025-10-20,=366.5000,=366.5000,=366.5000,=366.5000,=1672285991366.5,=1559687515767.0,=907886406595.5,,=32.0752,,,,
2025-10-17,=358.1400,=358.1400,=358.1400,=358.1400,=1634140531918.14,=1524110469022.0,=887177183241.7799,,=31.3435,,,,
2025-10-16,=368.5000,=368.5000,=368.5000,=368.5000,=1681411699368.5,=1568198770969.0,=912840766249.5,,=32.2502,,,,
2025-10-15,=369.3000,=369.3000,=369.3000,=369.3000,=1685061982569.3,=1571603273049.0,=914822510111.1,,=32.3202,,,,
2025-10-14,=358.0000,=358.0000,=358.0000,=358.0000,=1633501732358.0,=1523514681158.0,=886830378066.0,,=31.3313,,,,
2025-10-13,=374.5000,=374.5000,=374.5000,=374.5000,=1708788823374.5,=1593732536575.0,=927703845211.5,,=32.7753,,,,
2025-10-10,=381.9500,=381.9500,=381.9500,=381.9500,=1742782085681.95,=1625436962202.0,=946158834922.65,,=33.4273,,,,
2025-10-09,=409.8900,=409.8900,=409.8900,=409.8900,=1870268226469.89,=1744339197374.0,=1015371239289.03,,=35.8726,,,,
2025-09-30,=402.0000,=402.0000,=402.0000,=402.0000,=1834267308402.0,=1710279261246.0,=995826290454.0,,=35.1821,,,,
2025-09-29,=397.3700,=397.3700,=397.3700,=397.3700,=1812663823327.51,=1690581268760.0,=984356947854.99,,=34.7677,,,,
2025-09-26,=380.4000,=380.4000,=380.4000,=380.4000,=1735252581709.2,=1618383659149.0,=942319206190.8,,=33.2829,,,,
2025-09-25,=392.8500,=392.8500,=392.8500,=392.8500,=1792045154375.55,=1671351263136.0,=973160095036.95,,=34.3722,,,,
2025-09-24,=379.9300,=379.9300,=379.9300,=379.9300,=1733108605070.39,=1616384078918.0,=941154931672.11,,=33.2418,,,,
2025-09-23,=368.1500,=368.1500,=368.1500,=368.1500,=1679372339527.45,=1566266940367.0,=911973753310.05,,=32.2111,,,,
2025-09-22,=370.0500,=370.0500,=370.0500,=370.0500,=1688039479131.15,=1574350349811.0,=916680394981.35,,=32.3773,,,,
2025-09-19,=368.4900,=368.4900,=368.4900,=368.4900,=1680923301351.27,=1567713445215.0,=912815994451.23,,=32.2408,,,,
2025-09-18,=366.8900,=366.8900,=366.8900,=366.8900,=1673624657474.47,=1560906363578.0,=908852506728.03,,=32.1009,,,,
2025-09-17,=377.1000,=377.1000,=377.1000,=377.1000,=1720199128713.3,=1604344053273.0,=934144512761.7,,=32.9942,,,,
2025-09-16,=353.4200,=353.4200,=353.4200,=353.4200,=1612179199336.6602,=1503599245049.0,=875484894458.3401,,=30.9223,,,,
2025-09-15,=354.7000,=354.7000,=354.7000,=354.7000,=1617381818817.5,=1508423789868.0,=878655684636.9,,=31.0221,,,,
2025-09-12,=325.0000,=325.0000,=325.0000,=325.0000,=1481954020625.0,=1382119345100.0,=805083443775.0,,=28.4245,,,,
2025-09-11,=322.5500,=322.5500,=322.5500,=322.5500,=1470782367238.75,=1371700291575.0,=799014353198.85,,=28.2103,,,,
2025-09-10,=316.0400,=316.0400,=316.0400,=316.0400,=1441097688241.0,=1344015377924.0,=782887912525.0801,,=27.6409,,,,
2025-09-09,=320.0000,=320.0000,=320.0000,=320.0000,=1459123404800.0,=1360824647360.0,=792697544640.0,,=27.9866,,,,
2025-09-08,=325.3700,=325.3700,=325.3700,=325.3700,=1483609319436.8,=1383660985974.0,=806000000310.99,,=28.4563,,,,
2025-09-05,=325.1100,=325.1100,=325.1100,=325.1100,=1482423781670.4,=1382555315948.0,=805355933555.9701,,=28.4335,,,,
2025-09-04,=304.0300,=304.0300,=304.0300,=304.0300,=1386304027379.2,=1292910992303.0,=753136982802.8099,,=26.5899,,,,
2025-09-03,=309.0000,=309.0000,=309.0000,=309.0000,=1408932582948.0,=1314012845295.0,=765448566543.0,,=27.0239,,,,
2025-09-02,=302.8700,=302.8700,=302.8700,=302.8700,=1380879620473.75,=1287842918393.0,=750263454203.49,,=26.4859,,,,
