date,市值(元),股息率,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-08,2299388532545.61,0.0380,3.0869,0.9191,2.3804,2.0405,1.6947,7.8132,0.9216,6.4837,5.7966,4.7230,0.8268,0.6687,0.8785,0.7140,0.5454
2026-06-05,2225892095432.2803,0.0392,2.9882,0.9101,2.3804,2.0405,1.6947,7.5635,0.9064,6.4825,5.7966,4.7230,0.8004,0.6220,0.8785,0.7141,0.5454
2026-06-04,2204893113399.9,0.0396,2.9600,0.9085,2.3795,2.0405,1.6947,7.4921,0.9039,6.4822,5.7966,4.7230,0.7928,0.6107,0.8785,0.7140,0.5454
2026-06-03,2225892095432.2803,0.0392,2.9882,0.9105,2.3795,2.0405,1.6947,7.5635,0.9068,6.4822,5.7966,4.7230,0.8004,0.6221,0.8785,0.7140,0.5454
2026-06-02,2257390568480.85,0.0387,3.0305,0.9142,2.3792,2.0405,1.6947,7.6705,0.9134,6.4797,5.7966,4.7230,0.8117,0.6444,0.8785,0.7140,0.5454
2026-06-01,2271389889835.77,0.0384,3.0493,0.9167,2.3792,2.0405,1.6947,7.7181,0.9158,6.4796,5.7966,4.7230,0.8167,0.6506,0.8785,0.7140,0.5454
2026-05-29,2211892774077.36,0.0395,2.9694,0.9114,2.3792,2.0393,1.6947,7.5159,0.9068,6.4796,5.7966,4.7230,0.7953,0.6142,0.8785,0.7141,0.5454
2026-05-28,2173394640351.33,0.0402,2.9178,0.9080,2.3790,2.0381,1.6947,7.3851,0.9031,6.4781,5.7964,4.7230,0.7815,0.5955,0.8785,0.7140,0.5454
2026-05-27,2208392943738.63,0.0395,2.9647,0.9109,2.3788,2.0369,1.6947,7.5040,0.9068,6.4765,5.7962,4.7230,0.7941,0.6114,0.8785,0.7140,0.5454
2026-05-26,2246891077464.66,0.0389,3.0164,0.9134,2.3788,2.0369,1.6947,7.6348,0.9105,6.4721,5.7962,4.7230,0.8079,0.6370,0.8785,0.7140,0.5454
2026-05-25,2253890738142.12,0.0387,3.0258,0.9146,2.3742,2.0367,1.6947,7.6586,0.9130,6.4718,5.7950,4.7230,0.8104,0.6423,0.8785,0.7140,0.5454
2026-05-22,2260890398819.58,0.0386,3.0352,0.9151,2.3742,2.0348,1.6947,7.6824,0.9147,6.4710,5.7942,4.7230,0.8130,0.6451,0.8785,0.7141,0.5454
2026-05-21,2278389550513.23,0.0383,3.0587,0.9179,2.3742,2.0348,1.6947,7.7419,0.9175,6.4710,5.7935,4.7230,0.8192,0.6511,0.8785,0.7140,0.5454
2026-05-20,2260890398819.58,0.0386,3.0352,0.9158,2.3742,2.0348,1.6947,7.6824,0.9154,6.4710,5.7928,4.7230,0.8130,0.6456,0.8785,0.7140,0.5454
2026-05-19,2316887684239.2603,0.0377,3.1104,0.9220,2.3742,2.0348,1.6947,7.8727,0.9249,6.4710,5.7899,4.7230,0.8331,0.6778,0.8785,0.7140,0.5454
2026-05-18,2309888023561.8,0.0378,3.1010,0.9208,2.3742,2.0348,1.6947,7.8489,0.9229,6.4710,5.7899,4.7230,0.8306,0.6691,0.8785,0.7140,0.5454
2026-05-15,2334386835932.91,0.0374,3.1339,0.9242,2.3733,2.0336,1.6947,7.9321,0.9283,6.4696,5.7823,4.7230,0.8394,0.6987,0.8785,0.7141,0.5454
2026-05-14,2365885308981.48,0.0369,3.1762,0.9291,2.3728,2.0321,1.6947,8.0392,0.9320,6.4692,5.7822,4.7230,0.8507,0.7282,0.8785,0.7140,0.5454
2026-05-13,2330887005594.18,0.0375,3.1292,0.9245,2.3728,2.0306,1.6947,7.9202,0.9282,6.4692,5.7820,4.7230,0.8381,0.6943,0.8785,0.7140,0.5454
2026-05-12,2372884969658.94,0.0368,3.1856,0.9311,2.3692,2.0306,1.6947,8.0629,0.9352,6.4671,5.7811,4.7230,0.8395,0.6997,0.8785,0.7140,0.5454
2026-05-11,2383384460675.13,0.0366,3.1997,0.9323,2.3687,2.0306,1.6947,8.0986,0.9385,6.4644,5.7811,4.7230,0.8432,0.7108,0.8785,0.7140,0.5454
2026-05-08,2414882933723.7,0.0362,3.2419,0.9406,2.3687,2.0306,1.6947,8.2057,0.9481,6.4644,5.7808,4.7230,0.8543,0.7341,0.8785,0.7141,0.5454
2026-05-07,2404383442707.5103,0.0363,3.2278,0.9369,2.3672,2.0306,1.6947,8.1700,0.9456,6.4635,5.7808,4.7230,0.8506,0.7282,0.8785,0.7140,0.5454
2026-05-06,2400883612368.7803,0.0364,3.2232,0.9365,2.3651,2.0306,1.6947,8.1581,0.9443,6.4635,5.7808,4.7230,0.8494,0.7240,0.8785,0.7140,0.5454
2026-04-30,2421882594401.16,0.0361,3.2513,0.9427,2.3651,2.0291,1.6947,8.2294,0.9501,6.4635,5.7787,4.7230,0.8568,0.7408,0.8785,0.7141,0.5454
2026-04-29,2428882255078.62,0.0360,3.3488,0.9559,2.3647,2.0291,1.6947,8.3455,0.9551,6.4631,5.7787,4.7230,0.8777,0.7968,0.8785,0.7141,0.5454
