日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值
2026-01-20,=6.0100,=6.0100,=6.0100,=6.0100,=726762340474.22,=569462377004.0,=84889098341.8699,,=0.8815,,,,
2026-01-19,=5.9300,=5.9300,=5.9300,=5.9300,=717088299336.46,=561882178974.0,=83759126982.9099,,=0.8697,,,,
2026-01-16,=5.8400,=5.8400,=5.8400,=5.8400,=706205003056.48,=553354456190.0,=82487909204.0799,,=0.8565,,,,
2026-01-15,=5.9500,=5.9500,=5.9500,=5.9500,=719506809620.9,=563777228481.0,=84041619822.6499,,=0.8727,,,,
2026-01-14,=5.9700,=5.9700,=5.9700,=5.9700,=721925319905.34,=565672277989.0,=84324112662.3899,,=0.8756,,,,
2026-01-13,=5.9700,=5.9700,=5.9700,=5.9700,=721925319905.34,=565672277989.0,=84324112662.3899,,=0.8756,,,,
2026-01-12,=5.9700,=5.9700,=5.9700,=5.9700,=721925319905.34,=565672277989.0,=84324112662.3899,,=0.8756,,,,
2026-01-09,=6.1600,=6.1600,=6.1600,=6.1600,=744901167607.52,=583675248310.0,=87007794639.9199,,=0.9035,,,,
2026-01-08,=6.0700,=6.0700,=6.0700,=6.0700,=734017871327.54,=575147525526.0,=85736576861.0899,,=0.8903,,,,
2026-01-07,=6.1000,=6.1000,=6.1000,=6.1000,=737645636754.2,=577990099788.0,=86160316120.6999,,=0.8947,,,,
2026-01-06,=6.1800,=6.1800,=6.1800,=6.1800,=747319677891.96,=585570297818.0,=87290287479.6599,,=0.9064,,,,
2026-01-05,=6.0900,=6.0900,=6.0900,=6.0900,=736436381611.98,=577042575034.0,=86019069700.8299,,=0.8932,,,,
2025-12-31,=6.1800,=6.1800,=6.1800,=6.1800,=747319677891.96,=585570297818.0,=87290287479.6599,,=0.9064,,,,
2025-12-30,=6.1600,=6.1600,=6.1600,=6.1600,=744901167607.52,=583675248310.0,=87007794639.9199,,=0.9035,,,,
2025-12-29,=6.0000,=6.0000,=6.0000,=6.0000,=726529585332.0,=568514852250.0,=84747851921.9999,,=0.8812,,,,
2025-12-26,=5.7900,=5.7900,=5.7900,=5.7900,=701101049845.38,=548616832421.0,=81781677104.7299,,=0.8503,,,,
2025-12-25,=5.8500,=5.8500,=5.8500,=5.8500,=708366345698.7,=554301980944.0,=82629155623.9499,,=0.8592,,,,
2025-12-24,=5.9100,=5.9100,=5.9100,=5.9100,=715631641552.02,=559987129466.0,=83476634143.1699,,=0.8680,,,,
2025-12-23,=5.9200,=5.9200,=5.9200,=5.9200,=716842524194.24,=560934654220.0,=83617880563.0399,,=0.8694,,,,
2025-12-22,=5.8700,=5.8700,=5.8700,=5.8700,=710788110983.14,=556197030451.0,=82911648463.6899,,=0.8621,,,,
2025-12-19,=5.8900,=5.8900,=5.8900,=5.8900,=713209876267.58,=558092079959.0,=83194141303.4299,,=0.8650,,,,
2025-12-18,=5.9300,=5.9300,=5.9300,=5.9300,=718053406836.46,=561882178974.0,=83759126982.9099,,=0.8709,,,,
2025-12-17,=5.8400,=5.8400,=5.8400,=5.8400,=707155463056.48,=553354456190.0,=82487909204.0799,,=0.8577,,,,
2025-12-16,=5.8200,=5.8200,=5.8200,=5.8200,=704733697772.04,=551459406683.0,=82205416364.3399,,=0.8548,,,,
2025-12-15,=5.8000,=5.8000,=5.8000,=5.8000,=702311932487.6,=549564357175.0,=81922923524.5999,,=0.8518,,,,
2025-12-12,=5.7800,=5.7800,=5.7800,=5.7800,=699890167203.16,=547669307668.0,=81640430684.8599,,=0.8489,,,,
2025-12-11,=5.8200,=5.8200,=5.8200,=5.8200,=704733697772.04,=551459406683.0,=82205416364.3399,,=0.8548,,,,
2025-12-10,=5.8600,=5.8600,=5.8600,=5.8600,=709577228340.92,=555249505698.0,=82770402043.8199,,=0.8606,,,,
