ticker,name,industry_em,self_market_cap,rank,peer_ticker,peer_name,peer_market_cap,peer_pe,peer_pb,is_above_self,peer_roe,peer_gross_margin,peer_revenue_yoy,peer_ni_yoy,peer_peg,peer_fscore_lite,peer_latest_year
601336,新华保险,保险Ⅱ,200898801040.00003,1,601628,中国人寿,1036466732350.0,13.28,1.73,True,27.81,29.560581,16.480597,44.085659,0.1932554290652488,4,2025
601336,新华保险,保险Ⅱ,200898801040.00003,2,601318,中国平安,1075050705243.0,10.74,1.06,True,14.0,17.867199,2.097431,6.453829,1.6074749199307596,4,2025
603379,三美股份,化学制品,39845966744.99,1,002001,新 和 成,106955074464.0,14.63,3.04,True,21.87,44.673912,2.969836,15.261927,0.6315247326938402,4,2025
603379,三美股份,化学制品,39845966744.99,2,600309,万华化学,280302429392.0,18.85,2.52,True,12.44,13.612343,11.624955,-3.8814,,3,2025
601766,中国中车,轨交设备Ⅱ,171332218605.36,1,688187,时代电气,65751862109.0,25.55,1.52,False,9.81,33.432041,15.230527,10.639982,1.5003348160424588,4,2025
601766,中国中车,轨交设备Ⅱ,171332218605.36,2,688009,中国通号,54325771470.0,26.05,1.13,False,7.53,28.881893,6.229983,5.484972,54.07192618224457,3,2025
600519,贵州茅台,白酒Ⅱ,1734131271029.85,1,000858,五 粮 液,376826505125.0,11.68,2.94,False,6.89,77.541841,-54.551804,-71.888962,,2,2025
600519,贵州茅台,白酒Ⅱ,1734131271029.85,2,600809,山西汾酒,174881871224.0,8.12,3.88,False,33.48,74.852504,7.517885,0.028138,0.5489210941499282,3,2025
000333,美的集团,白色家电,616882215146.1,1,000651,格力电器,224336299927.0,9.22,1.48,False,20.3,29.807323,-9.955852,-9.885068,1.5962700816225253,2,2025
000333,美的集团,白色家电,616882215146.1,2,600690,海尔智家,201900366365.0,10.85,1.61,False,16.98,26.660786,5.710005,4.387111,1.0909159435028888,3,2025
002475,立讯精密,消费电子,488160985888.0,1,601138,工业富联,1247796522818.0,29.44,7.08,True,21.65,6.976019,48.224376,51.985045,1.4231050786440926,4,2025
002475,立讯精密,消费电子,488160985888.0,2,300433,蓝思科技,135610852950.0,-226.62,2.48,False,7.82,15.990217,6.456599,10.870231,,4,2025
002050,三花智控,家电零部件Ⅱ,197440013830.2,1,002402,和而泰,29274048103.0,43.06,4.24,False,11.64,20.028134,11.004078,82.11689,2.8943710571580383,4,2025
002050,三花智控,家电零部件Ⅱ,197440013830.2,2,300342,天银机电,29034148569.0,705.59,18.53,False,0.82,24.758533,-21.630959,-85.851451,39.60173495573526,1,2025
002594,比亚迪,乘用车,938889005243.7,1,601633,长城汽车,170216079351.0,45.01,1.93,False,11.76,18.042101,10.20331,-22.073825,7.41176463833085,3,2025
002594,比亚迪,乘用车,938889005243.7,2,600104,上汽集团,158404924005.0,13.09,0.53,False,3.43,10.091759,4.565698,506.453504,,4,2025
000858,五 粮 液,白酒Ⅱ,376826505125.4,1,600519,贵州茅台,1734131271030.0,15.91,6.4,True,32.53,91.179551,-1.200097,-4.532254,1.676593148145752,2,2025
000858,五 粮 液,白酒Ⅱ,376826505125.4,2,600809,山西汾酒,174881871224.0,8.12,3.88,False,33.48,74.852504,7.517885,0.028138,0.5489210941499282,3,2025
600036,招商银行,银行Ⅱ,965163491150.27,1,601939,建设银行,2602923795517.0,7.54,0.73,True,10.04,50.145391,1.884814,0.992022,5.255109019515257,3,2025
600036,招商银行,银行Ⅱ,965163491150.27,2,601398,工商银行,2655226615313.0,7.64,0.67,True,9.45,50.593603,2.003764,0.737707,11.216223072411903,3,2025
600887,伊利股份,饮料乳品,173694403915.82,1,605499,东鹏饮料,115122451808.0,22.89,5.62,False,51.61,44.905033,31.797893,32.721658,0.5057458222334669,4,2025
600887,伊利股份,饮料乳品,173694403915.82,2,603156,养元饮品,47323422603.0,14.65,4.77,False,13.29,42.825647,-11.911824,-26.837523,,2,2025
300308,中际旭创,通信设备,954912457905.0,1,300502,新易盛,522640156156.0,47.0,25.65,False,72.75,47.805628,187.294321,235.889666,0.3939106144170336,4,2025
300308,中际旭创,通信设备,954912457905.0,2,601869,长飞光纤,292995617721.0,147.94,20.59,False,6.92,30.734538,16.845323,20.396921,,4,2025
600276,恒瑞医药,化学制药,357612329211.12,1,688235,百济神州,361925206558.0,247.77,11.81,True,5.33,87.613728,40.46102,129.341618,,4,2025
600276,恒瑞医药,化学制药,357612329211.12,2,600196,复星医药,66466985899.0,19.08,1.35,False,7.03,50.073696,1.447425,21.685903,,4,2025
300750,宁德时代,电池,2017150869956.0,1,300014,亿纬锂能,156238121779.0,27.01,3.45,False,10.5,16.17244,26.442849,1.440735,4.8070904539972545,3,2025
300750,宁德时代,电池,2017150869956.0,2,002709,天赐材料,123353371129.0,18.64,6.46,False,9.79,22.241321,33.00445,181.428898,,4,2025
