日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,=12.5500,=12.5500,=12.5500,=12.5500,=95104767807.4,=95104673105.0,=76934907136.75,,=-12.6583,,,,
2026-07-02,=12.7800,=12.7800,=12.7800,=12.7800,=96847723711.44,=96847627274.0,=78344869578.3,,=-12.8903,,,,
2026-07-01,=13.1900,=13.1900,=13.1900,=13.1900,=99954732062.12,=99954591852.0,=80858280887.15,,=-13.3038,,,,
2026-06-30,=13.1200,=13.1200,=13.1200,=13.1200,=99424267221.76,=99424127756.0,=80429161883.2,,=-13.2332,,,,
2026-06-29,=12.8100,=12.8100,=12.8100,=12.8100,=97075026279.84,=97074929616.0,=78528777722.85,,=-12.9205,,,,
2026-06-26,=12.6700,=12.6700,=12.6700,=12.6700,=96014097030.88,=96014001423.0,=77670539714.95,,=-12.7793,,,,
2026-06-25,=12.6100,=12.6100,=12.6100,=12.6100,=95559413067.04,=95559317912.0,=77302723425.85,,=-12.7188,,,,
2026-06-24,=12.4500,=12.4500,=12.4500,=12.4500,=94346922496.8,=94346828549.0,=76321879988.25,,=-12.5574,,,,
2026-06-23,=12.6100,=12.6100,=12.6100,=12.6100,=95559413067.04,=95559317912.0,=77302723425.85,,=-12.7188,,,,
2026-06-22,=13.2300,=13.2300,=13.2300,=13.2300,=100257814026.72,=100257714193.0,=81103491746.55,,=-13.3442,,,,
2026-06-18,=12.8400,=12.8400,=12.8400,=12.8400,=97302368261.76,=97302271371.0,=78712685867.4,,=-12.9508,,,,
2026-06-17,=13.0700,=13.0700,=13.0700,=13.0700,=99045323456.48,=99045224830.0,=80122648308.95,,=-13.1828,,,,
2026-06-16,=13.3000,=13.3000,=13.3000,=13.3000,=100788278651.2,=100788178289.0,=81532610750.5,,=-13.4148,,,,
2026-06-15,=13.3800,=13.3800,=13.3800,=13.3800,=101394523936.32,=101394422971.0,=82023032469.3,,=-13.4955,,,,
2026-06-12,=13.4600,=13.4600,=13.4600,=13.4600,=102000769221.44,=102000667652.0,=82513454188.1,,=-13.5761,,,,
2026-06-11,=13.6400,=13.6400,=13.6400,=13.6400,=103364821112.96,=103364718186.0,=83616903055.4,,=-13.7577,,,,
2026-06-10,=14.0800,=14.0800,=14.0800,=14.0800,=106699170181.12,=106699063933.0,=86314222508.8,,=-14.2015,,,,
2026-06-09,=12.9400,=12.9400,=12.9400,=12.9400,=98060174868.16,=98060077223.0,=79325713015.9,,=-13.0517,,,,
2026-06-08,=12.4400,=12.4400,=12.4400,=12.4400,=94271141836.16,=94271047964.0,=76260577273.4,,=-12.5473,,,,
2026-06-05,=13.1300,=13.1300,=13.1300,=13.1300,=99500007420.32,=99499908341.0,=80490464598.05,,=-13.2433,,,,
2026-06-04,=13.3400,=13.3400,=13.3400,=13.3400,=101091401293.76,=101091300630.0,=81777821609.9,,=-13.4551,,,,
2026-06-03,=13.4200,=13.4200,=13.4200,=13.4200,=101697646578.88,=101697545312.0,=82268243328.7,,=-13.5358,,,,
2026-06-02,=13.4800,=13.4800,=13.4800,=13.4800,=102152330542.72,=102152228823.0,=82636059617.8,,=-13.5963,,,,
2026-06-01,=13.6800,=13.6800,=13.6800,=13.6800,=103667943755.52,=103667840526.0,=83862113914.8,,=-13.7980,,,,
2026-05-29,=13.8900,=13.8900,=13.8900,=13.8900,=105259337628.96,=105259232815.0,=85149470926.65,,=-14.0099,,,,
2026-05-28,=14.3500,=14.3500,=14.3500,=14.3500,=108745248018.4,=108745139733.0,=87969395809.75,,=-14.4738,,,,
2026-05-27,=14.3600,=14.3600,=14.3600,=14.3600,=108821028679.04,=108820920318.0,=88030698524.6,,=-14.4839,,,,
2026-05-26,=14.6000,=14.6000,=14.6000,=14.6000,=110639764534.4,=110639654363.0,=89501963681.0,,=-14.7260,,,,
2026-05-25,=14.8500,=14.8500,=14.8500,=14.8500,=112534281050.4,=112534168992.0,=91034531552.25,,=-14.9781,,,,
2026-05-22,=15.0400,=15.0400,=15.0400,=15.0400,=113974113602.56,=113974000111.0,=92199283134.4,,=-15.1698,,,,
2026-05-21,=14.7900,=14.7900,=14.7900,=14.7900,=112079597086.56,=112079485481.0,=90666715263.15,,=-14.9176,,,,
2026-05-20,=15.3500,=15.3500,=15.3500,=15.3500,=116323314082.4,=116323198251.0,=94099667294.75,,=-15.4825,,,,
2026-05-19,=15.2400,=15.2400,=15.2400,=15.2400,=115489726815.36,=115489611814.0,=93425337431.4,,=-15.3715,,,,
2026-05-18,=15.1400,=15.1400,=15.1400,=15.1400,=114731920208.96,=114731805963.0,=92812310282.9,,=-15.2706,,,,
2026-05-15,=15.6000,=15.6000,=15.6000,=15.6000,=118217830598.4,=118217712881.0,=95632235166.0,,=-15.7346,,,,
2026-05-14,=16.3000,=16.3000,=16.3000,=16.3000,=123522476843.2,=123522353843.0,=99923425205.5,,=-16.4406,,,,
2026-05-13,=16.7800,=16.7800,=16.7800,=16.7800,=127159948553.92,=127159821932.0,=102865955518.3,,=-16.9248,,,,
