日期,理杏仁前复权(元),前复权(元),后复权(元),股价(元),市值(元),流通市值(元),自由流通市值(元),行业中位数,PE-TTM,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2026-07-03,=12.5500,=12.5500,=12.5500,=12.5500,=95104767807.4,=95104673105.0,=76934907136.75,,=-13.7767,,,,
2026-07-02,=12.7800,=12.7800,=12.7800,=12.7800,=96847723711.44,=96847627274.0,=78344869578.3,,=-14.0292,,,,
2026-07-01,=13.1900,=13.1900,=13.1900,=13.1900,=99954732062.12,=99954591852.0,=80858280887.15,,=-14.4793,,,,
2026-06-30,=13.1200,=13.1200,=13.1200,=13.1200,=99424267221.76,=99424127756.0,=80429161883.2,,=-14.4025,,,,
2026-06-29,=12.8100,=12.8100,=12.8100,=12.8100,=97075026279.84,=97074929616.0,=78528777722.85,,=-14.0621,,,,
2026-06-26,=12.6700,=12.6700,=12.6700,=12.6700,=96014097030.88,=96014001423.0,=77670539714.95,,=-13.9085,,,,
2026-06-25,=12.6100,=12.6100,=12.6100,=12.6100,=95559413067.04,=95559317912.0,=77302723425.85,,=-13.8426,,,,
2026-06-24,=12.4500,=12.4500,=12.4500,=12.4500,=94346922496.8,=94346828549.0,=76321879988.25,,=-13.6670,,,,
2026-06-23,=12.6100,=12.6100,=12.6100,=12.6100,=95559413067.04,=95559317912.0,=77302723425.85,,=-13.8426,,,,
2026-06-22,=13.2300,=13.2300,=13.2300,=13.2300,=100257814026.72,=100257714193.0,=81103491746.55,,=-14.5232,,,,
2026-06-18,=12.8400,=12.8400,=12.8400,=12.8400,=97302368261.76,=97302271371.0,=78712685867.4,,=-14.0951,,,,
2026-06-17,=13.0700,=13.0700,=13.0700,=13.0700,=99045323456.48,=99045224830.0,=80122648308.95,,=-14.3476,,,,
2026-06-16,=13.3000,=13.3000,=13.3000,=13.3000,=100788278651.2,=100788178289.0,=81532610750.5,,=-14.6000,,,,
2026-06-15,=13.3800,=13.3800,=13.3800,=13.3800,=101394523936.32,=101394422971.0,=82023032469.3,,=-14.6879,,,,
2026-06-12,=13.4600,=13.4600,=13.4600,=13.4600,=102000769221.44,=102000667652.0,=82513454188.1,,=-14.7757,,,,
2026-06-11,=13.6400,=13.6400,=13.6400,=13.6400,=103364821112.96,=103364718186.0,=83616903055.4,,=-14.9733,,,,
2026-06-10,=14.0800,=14.0800,=14.0800,=14.0800,=106699170181.12,=106699063933.0,=86314222508.8,,=-15.4563,,,,
2026-06-09,=12.9400,=12.9400,=12.9400,=12.9400,=98060174868.16,=98060077223.0,=79325713015.9,,=-14.2049,,,,
2026-06-08,=12.4400,=12.4400,=12.4400,=12.4400,=94271141836.16,=94271047964.0,=76260577273.4,,=-13.6560,,,,
2026-06-05,=13.1300,=13.1300,=13.1300,=13.1300,=99500007420.32,=99499908341.0,=80490464598.05,,=-14.4134,,,,
2026-06-04,=13.3400,=13.3400,=13.3400,=13.3400,=101091401293.76,=101091300630.0,=81777821609.9,,=-14.6439,,,,
2026-06-03,=13.4200,=13.4200,=13.4200,=13.4200,=101697646578.88,=101697545312.0,=82268243328.7,,=-14.7318,,,,
2026-06-02,=13.4800,=13.4800,=13.4800,=13.4800,=102152330542.72,=102152228823.0,=82636059617.8,,=-14.7976,,,,
2026-06-01,=13.6800,=13.6800,=13.6800,=13.6800,=103667943755.52,=103667840526.0,=83862113914.8,,=-15.0172,,,,
2026-05-29,=13.8900,=13.8900,=13.8900,=13.8900,=105259337628.96,=105259232815.0,=85149470926.65,,=-15.2477,,,,
2026-05-28,=14.3500,=14.3500,=14.3500,=14.3500,=108745248018.4,=108745139733.0,=87969395809.75,,=-15.7527,,,,
2026-05-27,=14.3600,=14.3600,=14.3600,=14.3600,=108821028679.04,=108820920318.0,=88030698524.6,,=-15.7637,,,,
2026-05-26,=14.6000,=14.6000,=14.6000,=14.6000,=110639764534.4,=110639654363.0,=89501963681.0,,=-16.0271,,,,
2026-05-25,=14.8500,=14.8500,=14.8500,=14.8500,=112534281050.4,=112534168992.0,=91034531552.25,,=-16.3015,,,,
2026-05-22,=15.0400,=15.0400,=15.0400,=15.0400,=113974113602.56,=113974000111.0,=92199283134.4,,=-16.5101,,,,
2026-05-21,=14.7900,=14.7900,=14.7900,=14.7900,=112079597086.56,=112079485481.0,=90666715263.15,,=-16.2357,,,,
2026-05-20,=15.3500,=15.3500,=15.3500,=15.3500,=116323314082.4,=116323198251.0,=94099667294.75,,=-16.8504,,,,
2026-05-19,=15.2400,=15.2400,=15.2400,=15.2400,=115489726815.36,=115489611814.0,=93425337431.4,,=-16.7297,,,,
2026-05-18,=15.1400,=15.1400,=15.1400,=15.1400,=114731920208.96,=114731805963.0,=92812310282.9,,=-16.6199,,,,
2026-05-15,=15.6000,=15.6000,=15.6000,=15.6000,=118217830598.4,=118217712881.0,=95632235166.0,,=-17.1249,,,,
2026-05-14,=16.3000,=16.3000,=16.3000,=16.3000,=123522476843.2,=123522353843.0,=99923425205.5,,=-17.8933,,,,
2026-05-13,=16.7800,=16.7800,=16.7800,=16.7800,=127159948553.92,=127159821932.0,=102865955518.3,,=-18.4202,,,,
2026-05-12,=16.7000,=16.7000,=16.7000,=16.7000,=126553703268.8,=126553577251.0,=102375533799.5,,=-18.3324,,,,
2026-05-11,=16.6100,=16.6100,=16.6100,=16.6100,=125871677323.04,=125871551984.0,=101823809365.85,,=-18.2336,,,,
2026-05-08,=16.3600,=16.3600,=16.3600,=16.3600,=123977160807.04,=123977037354.0,=100291241494.6,,=-17.9591,,,,
2026-05-07,=16.5500,=16.5500,=16.5500,=16.5500,=125416993359.2,=125416868473.0,=101455993076.75,,=-18.1677,,,,
2026-05-06,=16.5500,=16.5500,=16.5500,=16.5500,=125416993359.2,=125416868473.0,=101455993076.75,,=-18.1677,,,,
2026-04-30,=16.4600,=16.4600,=16.4600,=16.4600,=124734967413.44,=124734843206.0,=100904268643.1,,=-18.0689,,,,
2026-04-29,=16.5500,=16.5500,=16.5500,=16.5500,=125416993359.2,=125416868473.0,=101455993076.75,,=-18.1677,,,,
2026-04-28,=16.9500,=16.9500,=16.9500,=16.9500,=128448219784.8,=128448060946.0,=103908001089.45,,=-23.2848,,,,
2026-04-27,=17.1400,=17.1400,=17.1400,=17.1400,=129888052336.96,=129887891718.0,=105072751544.14,,=-23.5458,,,,
2026-04-24,=17.3900,=17.3900,=17.3900,=17.3900,=131782568852.96,=131782405891.0,=106605317931.89,,=-23.8893,,,,
2026-04-23,=17.5300,=17.5300,=17.5300,=17.5300,=132843498101.92,=132843333828.0,=107463555109.03,,=-24.0816,,,,
2026-04-22,=17.5500,=17.5500,=17.5500,=17.5500,=132995059423.2,=132994894962.0,=107586160420.05,,=-24.1090,,,,
2026-04-21,=17.5900,=17.5900,=17.5900,=17.5900,=133298182065.76,=133298017230.0,=107831371042.09,,=-24.1640,,,,
2026-04-20,=17.6500,=17.6500,=17.6500,=17.6500,=133752866029.6,=133752700631.0,=108199186975.15,,=-24.2464,,,,
2026-04-17,=17.4400,=17.4400,=17.4400,=17.4400,=132161472156.16,=132161308726.0,=106911831209.44,,=-23.9579,,,,
2026-04-16,=17.5100,=17.5100,=17.5100,=17.5100,=132691936780.64,=132691772694.0,=107340949798.01,,=-24.0541,,,,
2026-04-15,=17.3800,=17.3800,=17.3800,=17.3800,=131706788192.32,=131706657043.0,=106544015276.38,,=-23.8755,,,,
2026-04-14,=17.5500,=17.5500,=17.5500,=17.5500,=132995059423.2,=132994926991.0,=107586160420.05,,=-24.1090,,,,
2026-04-13,=17.6800,=17.6800,=17.6800,=17.6800,=133980208011.52,=133980074598.0,=108383094941.68,,=-24.2876,,,,
2026-04-10,=17.1200,=17.1200,=17.1200,=17.1200,=129736491015.68,=129736361828.0,=104950146233.12,,=-23.5183,,,,
2026-04-09,=16.9200,=16.9200,=16.9200,=16.9200,=128220877802.8801,=128220750125.0,=103724093122.92,,=-23.2436,,,,
2026-04-08,=17.3200,=17.3200,=17.3200,=17.3200,=131252104228.48,=131251973532.0,=106176199343.32,,=-23.7931,,,,
2026-04-07,=16.7000,=16.7000,=16.7000,=16.7000,=126553703268.8,=126553577251.0,=102375434701.7,,=-22.9414,,,,
2026-04-03,=16.6600,=16.6600,=16.6600,=16.6600,=126250580626.24,=126250454910.0,=102130224079.66,,=-22.8864,,,,
