date,经营活动产生的现金流量净额对净利润的比率,经营活动产生的现金流量净额,累积同比,自由现金流量
2026-03-31,22.1,63921000000,6.5052,453608000000
2025-12-31,18.8263,378955000000,1.9252,378003000000
2025-09-30,14.7988,333319000000,3.5499,389050000000
2025-06-30,12.149,166914000000,8.0067,319453000000
2025-03-31,5.0609,-11611000000,0.0403,128682000000
2024-12-31,5.0037,129547000000,2.0861,127777000000
2024-09-30,4.0111,73258000000,5.891,101575000000
2024-06-30,-0.3332,-23822000000,-1.8878,-11523000000
2024-03-31,2.4335,-12098000000,0.6397,60689000000
2023-12-31,1.6314,41978000000,-0.667,39660000000
2023-09-30,4.5479,10631000000,-0.4547,115746000000
2023-06-30,5.8342,26832000000,6.4409,147815000000
2023-03-31,3.5702,-33582000000,-12.4771,88849000000
2022-12-31,5.0558,126042000000,4.186,124752000000
2022-09-30,-0.2875,19497000000,2.4668,-7319000000
2022-06-30,-1.5228,3606000000,10.2699,-36425000000
2022-03-31,-2.7527,2926000000,-0.8886,-64758000000
2021-12-31,-1.7667,-39561000000,-3.0847,-41186000000
2021-09-30,0.7332,-13292000000,-0.1684,13559000000
2021-06-30,-0.2771,-389000000,-1.0156,-9641000000
2021-03-31,3.5271,26255000000,1.8243,73250000000
2020-12-31,0.8767,18977000000,-0.0604,15117000000
2020-09-30,-0.8004,-11376000000,-1.457,-20745000000
2020-06-30,-0.9542,24888000000,-0.6136,-23760000000
2020-03-31,-1.539,-31852000000,-2.4405,-38163000000
2019-12-31,0.9354,20196000000,-0.4566,15082000000
2019-09-30,3.0154,24894000000,8.6739,60040000000
2019-06-30,3.6894,64406000000,1.7507,71531000000
2019-03-31,4.2097,22112000000,1.7936,79711000000
2018-12-31,1.8457,37167000000,1.9627,30144000000
2018-09-30,0.0497,-3244000000,-1.3904,-6577000000
2018-06-30,1.4679,23414000000,2.2692,22087000000
2018-03-31,0.2711,-27862000000,-0.3575,-323000000
2017-12-31,0.6644,12545000000,3.3701,7075000000
2017-09-30,2.2755,8309000000,1.2125,37740000000
2017-06-30,5.1792,7162000000,1.0766,90980000000
2017-03-31,5.4744,-20525000000,0.8357,94981000000
2016-12-31,-0.2953,-5293000000,-1.1453,-9399000000
2016-09-30,-2.5679,-39110000000,-1.9123,-49213000000
2016-06-30,-1.6658,-93449000000,-2.351,-32634000000
