date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值
2026-06-08,108252079472.64,0.0543,5.2775,0.6047,6.9894,4.9263,4.1408,1.5353,0.2459,2.6145,1.7476,1.4852,0.3820,0.0087,0.8176,0.5104,0.4223
2026-06-05,108674939158.08,0.0541,5.2981,0.6071,6.9948,4.9271,4.1469,1.5413,0.2473,2.6218,1.7504,1.4852,0.3835,0.0112,0.8226,0.5104,0.4225
2026-06-04,107194930259.04,0.0548,5.2260,0.5983,7.0257,4.9267,4.1408,1.5203,0.2379,2.6228,1.7504,1.4852,0.3783,0.0046,0.8263,0.5104,0.4225
2026-06-03,108463509315.36,0.0542,5.2878,0.6060,7.0257,4.9263,4.1408,1.5383,0.2463,2.6228,1.7504,1.4852,0.3827,0.0095,0.8263,0.5104,0.4225
2026-06-02,109097798843.52,0.0539,5.3187,0.6089,7.0640,4.9263,4.1408,1.5473,0.2479,2.6254,1.7504,1.4852,0.3850,0.0137,0.8263,0.5104,0.4230
2026-06-01,109309228686.24,0.0538,5.3290,0.6122,7.0640,4.9263,4.1408,1.5503,0.2496,2.6254,1.7504,1.4852,0.3857,0.0170,0.8288,0.5109,0.4233
2026-05-29,107617789944.48,0.0546,5.2466,0.5997,7.1152,4.9271,4.1469,1.5263,0.2407,2.6340,1.7506,1.4852,0.3798,0.0054,0.8358,0.5114,0.4233
2026-05-28,105926351202.72,0.0555,5.1641,0.5850,7.1251,4.9267,4.1408,1.5023,0.2247,2.6400,1.7506,1.4852,0.3738,0.0008,0.8384,0.5114,0.4233
2026-05-27,106983500416.32,0.0549,5.2157,0.5952,7.1251,4.9263,4.1408,1.5173,0.2359,2.6400,1.7506,1.4852,0.3775,0.0037,0.8384,0.5114,0.4233
2026-05-26,107617789944.48,0.0546,5.2466,0.5993,7.1350,4.9263,4.1408,1.5263,0.2401,2.6400,1.7506,1.4852,0.3798,0.0046,0.8513,0.5114,0.4235
2026-05-25,107617789944.48,0.0546,5.2466,0.5993,7.1450,4.9263,4.1408,1.5263,0.2401,2.6438,1.7506,1.4852,0.3798,0.0046,0.8552,0.5114,0.4242
2026-05-22,107829219787.2,0.0545,5.2569,0.5997,7.1611,4.9271,4.1469,1.5293,0.2411,2.6510,1.7526,1.4852,0.3805,0.0050,0.8591,0.5114,0.4244
2026-05-21,108252079472.64,0.0543,5.2775,0.6016,7.1722,4.9267,4.1408,1.5353,0.2429,2.6583,1.7526,1.4852,0.3820,0.0058,0.8681,0.5114,0.4244
2026-05-20,108674939158.08,0.0541,5.2981,0.6039,7.1722,4.9263,4.1408,1.5413,0.2438,2.6583,1.7526,1.4852,0.3835,0.0075,0.8681,0.5114,0.4245
2026-05-19,109097798843.52,0.0539,5.3187,0.6055,7.1847,4.9263,4.1408,1.5473,0.2446,2.6619,1.7534,1.4852,0.3850,0.0103,0.8759,0.5117,0.4251
2026-05-18,109309228686.24,0.0538,5.3290,0.6084,7.1847,4.9263,4.1408,1.5503,0.2459,2.6621,1.7536,1.4852,0.3857,0.0132,0.8772,0.5125,0.4251
2026-05-15,110577807742.56,0.0532,5.3909,0.6166,7.2145,4.9271,4.1469,1.5683,0.2527,2.6656,1.7537,1.4852,0.3902,0.0265,0.8784,0.5125,0.4252
2026-05-14,111000667428.0,0.0530,5.4115,0.6194,7.2145,4.9267,4.1408,1.5743,0.2565,2.6656,1.7548,1.4852,0.3917,0.0401,0.8784,0.5125,0.4252
2026-05-13,111000667428.0,0.0530,5.4115,0.6196,7.2145,4.9263,4.1408,1.5743,0.2566,2.6656,1.7560,1.4852,0.3917,0.0401,0.8784,0.5125,0.4252
2026-05-12,111212097270.72,0.0529,5.4218,0.6209,7.2344,4.9263,4.1408,1.5773,0.2591,2.6692,1.7560,1.4852,0.3924,0.0439,0.8784,0.5125,0.4252
2026-05-11,111212097270.72,0.0529,5.4218,0.6209,7.2443,4.9263,4.1408,1.5773,0.2591,2.6692,1.7565,1.4852,0.3924,0.0439,0.8797,0.5125,0.4253
2026-05-08,111423527113.44,0.0528,5.4321,0.6228,7.2543,4.9271,4.1469,1.5803,0.2630,2.6702,1.7565,1.4852,0.3932,0.0480,0.8797,0.5136,0.4253
2026-05-07,111423527113.44,0.0528,5.4321,0.6231,7.2642,4.9267,4.1408,1.5803,0.2631,2.6729,1.7566,1.4852,0.3932,0.0480,0.8797,0.5136,0.4253
2026-05-06,111634956956.16,0.0527,5.4424,0.6246,7.2642,4.9263,4.1408,1.5833,0.2690,2.6729,1.7568,1.4852,0.3939,0.0505,0.8797,0.5136,0.4253
2026-04-30,112057816641.6,0.0525,5.4630,0.6296,7.2683,4.9299,4.1469,1.5893,0.2761,2.6802,1.7593,1.4852,0.3954,0.0579,0.8836,0.5136,0.4258
2026-04-29,112057816641.6,0.0525,5.4630,0.6299,7.2683,4.9271,4.1469,1.5893,0.2763,2.6802,1.7593,1.4852,0.3954,0.0579,0.8836,0.5136,0.4260
