date,归属于母公司普通股股东的净利润,累积同比,基本每股收益,营业收入
2026-03-31,20098000000,0.0302,0.36,54649000000
2025-12-31,70618000000,0.0298,1.2,212475000000
2025-09-30,53391000000,0.0302,0.89,156598000000
2025-06-30,36478000000,0.0278,0.62,105762000000
2025-03-31,19509000000,0.0166,0.36,51770000000
2024-12-31,68576000000,0.0233,1.22,213646000000
2024-09-30,51826000000,0.0076,0.94,162210000000
2024-06-30,35490000000,-0.016,0.66,109019000000
2024-03-31,19191000000,0.0025,0.39,53770000000
2023-12-31,67016000000,0.0791,1.27,205896000000
2023-09-30,51433000000,0.0919,0.99,156228000000
2023-06-30,36067000000,0.1089,0.7,106174000000
2023-03-31,19144000000,0.1034,0.39,51363000000
2022-12-31,62103000000,0.1161,1.17,211392000000
2022-09-30,47103000000,0.1281,0.9,160426000000
2022-06-30,32524000000,0.1203,0.63,108394000000
2022-03-31,17350000000,0.1093,0.35,54030000000
2021-12-31,55641000000,0.136,1.08,204557000000
2021-09-30,41756000000,0.131,0.83,155198000000
2021-06-30,29031000000,0.1366,0.59,105592000000
2021-03-31,15641000000,0.0822,0.32,51914000000
2020-12-31,48980000000,0.0201,0.94,194731000000
2020-09-30,36918000000,-0.0941,0.73,149174000000
2020-06-30,25541000000,-0.0977,0.52,102013000000
2020-03-31,14453000000,0.0936,0.3,51509000000
2019-12-31,48015000000,0.0787,0.95,187584000000
2019-09-30,40752000000,0.1074,0.81,142387000000
2019-06-30,28307000000,0.1005,0.58,93150000000
2019-03-31,13216000000,0.0863,0.27,47410000000
2018-12-31,44513000000,0.0457,0.88,164854000000
2018-09-30,36799000000,0.0593,0.72,121384000000
2018-06-30,25721000000,0.0712,0.53,81052000000
2018-03-31,12166000000,0.0682,0.25,39638000000
2017-12-31,42566000000,0.0225,0.84,156708000000
2017-09-30,34738000000,0.0056,0.68,115307000000
2017-06-30,24011000000,0.0174,0.49,76580000000
2017-03-31,11389000000,0.0169,0.23,37778000000
2016-12-31,41629000000,0.0114,0.85,153781000000
2016-09-30,34543000000,0.0491,0.71,115336000000
