date,市值(元),股息率,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,388959684225.36,0.0545,5.4624,,,,,1.8061,,,,,0.5320,,,,,0.5313,,,,,5.5172,,,,
2026-07-02,387290329357.44,0.0547,5.4389,,,,,1.7984,,,,,0.5297,,,,,0.5291,,,,,5.4935,,,,
2026-07-01,382838716376.32,0.0554,5.3764,,,,,1.7777,,,,,0.5236,,,,,0.5230,,,,,5.4303,,,,
2026-06-30,385620974489.52,0.0550,5.4155,,,,,1.7906,,,,,0.5274,,,,,0.5268,,,,,5.4698,,,,
2026-06-29,396750006942.32,0.0534,5.5718,,,,,1.8423,,,,,0.5426,,,,,0.5420,,,,,5.6277,,,,
2026-06-26,396750006942.32,0.0534,5.5718,,,,,1.8423,,,,,0.5426,,,,,0.5420,,,,,5.6277,,,,
2026-06-25,401758071546.08,0.0528,5.6421,,,,,1.8656,,,,,0.5495,,,,,0.5488,,,,,5.6987,,,,
2026-06-24,400088716678.1601,0.0530,5.6187,,,,,1.8578,,,,,0.5472,,,,,0.5465,,,,,5.6750,,,,
2026-06-23,416782265357.36,0.0509,5.8531,,,,,1.9353,,,,,0.5700,,,,,0.5693,,,,,5.9118,,,,
2026-06-22,406766136149.84,0.0521,5.7124,,,,,1.8888,,,,,0.5563,,,,,0.5557,,,,,5.7697,,,,
2026-06-18,404540329659.28,0.0524,5.6812,,,,,1.8785,,,,,0.5533,,,,,0.5526,,,,,5.7382,,,,
2026-06-17,420677426715.84,0.0504,5.9078,,,,,1.9534,,,,,0.5754,,,,,0.5747,,,,,5.9671,,,,
2026-06-16,419564523470.56,0.0505,5.8922,,,,,1.9483,,,,,0.5739,,,,,0.5731,,,,,5.9513,,,,
2026-06-15,424572588074.32,0.0499,5.9625,,,,,1.9715,,,,,0.5807,,,,,0.5800,,,,,6.0223,,,,
2026-06-12,427354846187.52,0.0496,6.0016,,,,,1.9844,,,,,0.5845,,,,,0.5838,,,,,6.0618,,,,
2026-06-11,425129039696.96,0.0499,5.9703,,,,,1.9741,,,,,0.5815,,,,,0.5807,,,,,6.0302,,,,
2026-06-10,427911297810.1601,0.0495,6.0094,,,,,1.9870,,,,,0.5853,,,,,0.5845,,,,,6.0697,,,,
2026-06-09,425685491319.6001,0.0498,5.9781,,,,,1.9767,,,,,0.5738,,,,,0.5731,,,,,6.0381,,,,
2026-06-08,427911297810.1601,0.0495,6.0094,,,,,1.9870,,,,,0.5768,,,,,0.5761,,,,,6.0697,,,,
