date,资产负债率
2026-03-31,0.9154
2025-12-31,0.9163
2025-09-30,0.9149
2025-06-30,0.9155
2025-03-31,0.9161
2024-12-31,0.9153
2024-09-30,0.9104
2024-06-30,0.9104
2024-03-31,0.9135
2023-12-31,0.9188
2023-09-30,0.9189
2023-06-30,0.9195
2023-03-31,0.9197
2022-12-31,0.9198
2022-09-30,0.9213
2022-06-30,0.9201
2022-03-31,0.9202
2021-12-31,0.9201
2021-09-30,0.9197
2021-06-30,0.9211
2021-03-31,0.9261
2020-12-31,0.9254
2020-09-30,0.925
2020-06-30,0.9228
2020-03-31,0.9215
2019-12-31,0.9211
2019-09-30,0.9248
2019-06-30,0.9262
2019-03-31,0.9247
2018-12-31,0.9253
2018-09-30,0.9255
2018-06-30,0.927
2018-03-31,0.9254
2017-12-31,0.9274
2017-09-30,0.9275
2017-06-30,0.9305
2017-03-31,0.9316
2016-12-31,0.9352
2016-09-30,0.9373
2016-06-30,0.9408
