date,净资产收益率(ROE),净利润率,总资产收益率(ROA)
2026-03-31,0.0853,0.3352,0.0072
2025-12-31,0.0864,0.3365,0.0073
2025-09-30,0.0852,0.3423,0.0074
2025-06-30,0.0857,0.3359,0.0075
2025-03-31,0.0867,0.3301,0.0074
2024-12-31,0.0901,0.3252,0.0075
2024-09-30,0.088,0.3225,0.0075
2024-06-30,0.0881,0.3221,0.0075
2024-03-31,0.0913,0.3265,0.0076
2023-12-31,0.0958,0.3306,0.0077
2023-09-30,0.0963,0.3257,0.0077
2023-06-30,0.0972,0.319,0.0078
2023-03-31,0.0952,0.3107,0.0076
2022-12-31,0.0948,0.2978,0.0076
2022-09-30,0.0942,0.2943,0.0075
2022-06-30,0.0937,0.2885,0.0074
2022-03-31,0.0943,0.281,0.0073
2021-12-31,0.0938,0.2756,0.0072
2021-09-30,0.0922,0.2716,0.0072
2021-06-30,0.0912,0.2675,0.0071
2021-03-31,0.0901,0.2604,0.0069
2020-12-31,0.0907,0.2544,0.0069
2020-09-30,0.0865,0.2306,0.0065
2020-06-30,0.0906,0.2348,0.0068
2020-03-31,0.0981,0.2616,0.0076
2019-12-31,0.0994,0.2612,0.0076
2019-09-30,0.1071,0.2661,0.008
2019-06-30,0.1073,0.2715,0.0079
2019-03-31,0.1042,0.2685,0.0078
2018-12-31,0.1049,0.2752,0.0077
2018-09-30,0.1084,0.2792,0.008
2018-06-30,0.11,0.2785,0.0078
2018-03-31,0.1081,0.2769,0.0077
2017-12-31,0.1076,0.2736,0.0074
2017-09-30,0.1124,0.2735,0.0076
2017-06-30,0.1167,0.2778,0.0075
2017-03-31,0.116,0.2778,0.0075
2016-12-31,0.1187,0.2717,0.0076
2016-09-30,0.1334,0.2806,0.0084
