date,市值(元),PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值,PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,PB(不含商誉),PB(不含商誉) 分位点,PB(不含商誉) 80%分位点值,PB(不含商誉) 50%分位点值,PB(不含商誉) 20%分位点值,股息率,PE-TTM(扣非),PE-TTM(扣非) 分位点,PE-TTM(扣非) 80%分位点值,PE-TTM(扣非) 50%分位点值,PE-TTM(扣非) 20%分位点值
2026-07-03,388959684225.36,0.5313,,,,,1.8061,,,,,5.4624,,,,,0.5320,,,,,0.0545,5.5172,,,,
2026-07-02,387290329357.44,0.5291,,,,,1.7984,,,,,5.4389,,,,,0.5297,,,,,0.0547,5.4935,,,,
2026-07-01,382838716376.32,0.5230,,,,,1.7777,,,,,5.3764,,,,,0.5236,,,,,0.0554,5.4303,,,,
2026-06-30,385620974489.52,0.5268,,,,,1.7906,,,,,5.4155,,,,,0.5274,,,,,0.0550,5.4698,,,,
2026-06-29,396750006942.32,0.5420,,,,,1.8423,,,,,5.5718,,,,,0.5426,,,,,0.0534,5.6277,,,,
2026-06-26,396750006942.32,0.5420,,,,,1.8423,,,,,5.5718,,,,,0.5426,,,,,0.0534,5.6277,,,,
2026-06-25,401758071546.08,0.5488,,,,,1.8656,,,,,5.6421,,,,,0.5495,,,,,0.0528,5.6987,,,,
2026-06-24,400088716678.1601,0.5465,,,,,1.8578,,,,,5.6187,,,,,0.5472,,,,,0.0530,5.6750,,,,
2026-06-23,416782265357.36,0.5693,,,,,1.9353,,,,,5.8531,,,,,0.5700,,,,,0.0509,5.9118,,,,
2026-06-22,406766136149.84,0.5557,,,,,1.8888,,,,,5.7124,,,,,0.5563,,,,,0.0521,5.7697,,,,
2026-06-18,404540329659.28,0.5526,,,,,1.8785,,,,,5.6812,,,,,0.5533,,,,,0.0524,5.7382,,,,
2026-06-17,420677426715.84,0.5747,,,,,1.9534,,,,,5.9078,,,,,0.5754,,,,,0.0504,5.9671,,,,
2026-06-16,419564523470.56,0.5731,,,,,1.9483,,,,,5.8922,,,,,0.5739,,,,,0.0505,5.9513,,,,
2026-06-15,424572588074.32,0.5800,,,,,1.9715,,,,,5.9625,,,,,0.5807,,,,,0.0499,6.0223,,,,
2026-06-12,427354846187.52,0.5838,,,,,1.9844,,,,,6.0016,,,,,0.5845,,,,,0.0496,6.0618,,,,
2026-06-11,425129039696.96,0.5807,,,,,1.9741,,,,,5.9703,,,,,0.5815,,,,,0.0499,6.0302,,,,
2026-06-10,427911297810.1601,0.5845,,,,,1.9870,,,,,6.0094,,,,,0.5853,,,,,0.0495,6.0697,,,,
2026-06-09,425685491319.6001,0.5731,,,,,1.9767,,,,,5.9781,,,,,0.5738,,,,,0.0498,6.0381,,,,
2026-06-08,427911297810.1601,0.5761,,,,,1.9870,,,,,6.0094,,,,,0.5768,,,,,0.0495,6.0697,,,,
2026-06-05,410104845885.68,0.5521,,,,,1.9043,,,,,5.7593,,,,,0.5528,,,,,0.0517,5.8171,,,,
2026-06-04,407879039395.12,0.5491,,,,,1.8940,,,,,5.7281,,,,,0.5498,,,,,0.0520,5.7855,,,,
2026-06-03,414556458866.8,0.5581,,,,,1.9250,,,,,5.8218,,,,,0.5588,,,,,0.0511,5.8802,,,,
2026-06-02,417895168602.64,0.5626,,,,,1.9405,,,,,5.8687,,,,,0.5633,,,,,0.0507,5.9276,,,,
2026-06-01,413443555621.52,0.5566,,,,,1.9198,,,,,5.8062,,,,,0.5573,,,,,0.0513,5.8644,,,,
2026-05-29,412887103998.88,0.5559,,,,,1.9172,,,,,5.7984,,,,,0.5565,,,,,0.0513,5.8566,,,,
2026-05-28,410104845885.68,0.5521,,,,,1.9043,,,,,5.7593,,,,,0.5528,,,,,0.0517,5.8171,,,,
2026-05-27,416225813734.7201,0.5604,,,,,1.9328,,,,,5.8453,,,,,0.5610,,,,,0.0509,5.9039,,,,
2026-05-26,422903233206.4,0.5694,,,,,1.9638,,,,,5.9391,,,,,0.5700,,,,,0.0501,5.9986,,,,
2026-05-25,427354846187.52,0.5753,,,,,1.9844,,,,,6.0016,,,,,0.5760,,,,,0.0496,6.0618,,,,
2026-05-22,431250007546.0,0.5806,,,,,2.0025,,,,,6.0563,,,,,0.5813,,,,,0.0492,6.1170,,,,
2026-05-21,438483878640.32,0.5903,,,,,2.0361,,,,,6.1579,,,,,0.5910,,,,,0.0484,6.2196,,,,
2026-05-20,437370975395.0401,0.5888,,,,,2.0309,,,,,6.1422,,,,,0.5895,,,,,0.0485,6.2038,,,,
2026-05-19,439596781885.6001,0.5918,,,,,2.0413,,,,,6.1735,,,,,0.5925,,,,,0.0482,6.2354,,,,
2026-05-18,440153233508.24,0.5926,,,,,2.0439,,,,,6.1813,,,,,0.5933,,,,,0.0482,6.2433,,,,
2026-05-15,450725814338.4,0.6068,,,,,2.0930,,,,,6.3298,,,,,0.6075,,,,,0.0470,6.3933,,,,
2026-05-14,452951620828.96,0.6098,,,,,2.1033,,,,,6.3611,,,,,0.6105,,,,,0.0468,6.4248,,,,
2026-05-13,458516137055.36,0.6173,,,,,2.1291,,,,,6.4392,,,,,0.6180,,,,,0.0462,6.5038,,,,
2026-05-12,459072588678.0,0.6180,,,,,2.1317,,,,,6.4470,,,,,0.6188,,,,,0.0462,6.5117,,,,
2026-05-11,459629040300.64,0.6188,,,,,2.1343,,,,,6.4548,,,,,0.6195,,,,,0.0461,6.5196,,,,
2026-05-08,459629040300.64,0.6188,,,,,2.1343,,,,,6.4548,,,,,0.6195,,,,,0.0461,6.5196,,,,
2026-05-07,460741943545.92,0.6203,,,,,2.1395,,,,,6.4705,,,,,0.6210,,,,,0.0460,6.5353,,,,
2026-05-06,463524201659.12,0.6240,,,,,2.1524,,,,,6.5095,,,,,0.6248,,,,,0.0457,6.5748,,,,
2026-04-30,467975814640.24,0.6300,,,,,2.1731,,,,,6.5720,,,,,0.6308,,,,,0.0453,6.6380,,,,
2026-04-29,467419363017.6,0.6457,,,,,2.1999,,,,,6.6190,,,,,0.6465,,,,,0.0454,6.6947,,,,
2026-04-28,467975814640.24,0.6465,,,,,2.2025,,,,,6.6269,,,,,0.6473,,,,,0.0453,6.7027,,,,
2026-04-27,463524201659.12,0.6403,,,,,2.1815,,,,,6.5638,,,,,0.6412,,,,,0.0457,6.6389,,,,
2026-04-24,464637104904.4,0.6419,,,,,2.1868,,,,,6.5796,,,,,0.6427,,,,,0.0456,6.6549,,,,
2026-04-23,465750008149.6799,0.6434,,,,,2.1920,,,,,6.5953,,,,,0.6442,,,,,0.0455,6.6708,,,,
2026-04-22,465193556527.04,0.6427,,,,,2.1894,,,,,6.5875,,,,,0.6435,,,,,0.0456,6.6629,,,,
2026-04-21,469645169508.16,0.6488,,,,,2.2104,,,,,6.6505,,,,,0.6496,,,,,0.0451,6.7266,,,,
2026-04-20,462411298413.84,0.6388,,,,,2.1763,,,,,6.5481,,,,,0.6396,,,,,0.0458,6.6230,,,,
2026-04-17,455733878942.16,0.6296,,,,,2.1449,,,,,6.4535,,,,,0.6304,,,,,0.0465,6.5274,,,,
2026-04-16,461298395168.5599,0.6373,,,,,2.1711,,,,,6.5323,,,,,0.6381,,,,,0.0460,6.6071,,,,
2026-04-15,468532266262.88,0.6473,,,,,2.2051,,,,,6.6347,,,,,0.6481,,,,,0.0452,6.7107,,,,
2026-04-14,460741943545.92,0.6365,,,,,2.1685,,,,,6.5244,,,,,0.6373,,,,,0.0460,6.5991,,,,
2026-04-13,455733878942.16,0.6296,,,,,2.1449,,,,,6.4535,,,,,0.6304,,,,,0.0465,6.5274,,,,
