date,市值(元),PE-TTM,PE-TTM_分位点,PE-TTM_80%分位点值,PE-TTM_50%分位点值,PE-TTM_20%分位点值,股息率,PB,PB_分位点,PB_80%分位点值,PB_50%分位点值,PB_20%分位点值,PS-TTM,PS-TTM_分位点,PS-TTM_80%分位点值,PS-TTM_50%分位点值,PS-TTM_20%分位点值
2026-06-08,598073366390.16,6.8053,0.5977,7.4551,6.4287,5.5146,0.0438,0.5793,0.0516,0.8197,0.6855,0.6193,1.6497,0.7078,1.7229,1.5305,1.3937
2026-06-05,595671465320.32,6.7779,0.5873,7.4551,6.4287,5.5146,0.0440,0.5770,0.0465,0.8197,0.6860,0.6194,1.6431,0.6949,1.7229,1.5305,1.3937
2026-06-04,592068613715.5599,6.7369,0.5793,7.4551,6.4262,5.5146,0.0443,0.5735,0.0433,0.8197,0.6860,0.6196,1.6332,0.6832,1.7229,1.5301,1.3937
2026-06-03,598073366390.16,6.8053,0.5976,7.4551,6.4236,5.5146,0.0438,0.5793,0.0504,0.8197,0.6860,0.6200,1.6497,0.7079,1.7229,1.5296,1.3937
2026-06-02,601676217994.9199,6.8463,0.6152,7.4551,6.4236,5.5146,0.0436,0.5828,0.0613,0.8199,0.6860,0.6200,1.6597,0.7250,1.7249,1.5292,1.3937
2026-06-01,602877168529.8398,6.8599,0.6239,7.4551,6.4236,5.5146,0.0435,0.5839,0.0651,0.8199,0.6860,0.6200,1.6630,0.7312,1.7249,1.5287,1.3937
2026-05-29,598073366390.16,6.8053,0.5987,7.4551,6.4236,5.5146,0.0438,0.5793,0.0505,0.8199,0.6861,0.6200,1.6497,0.7093,1.7249,1.5287,1.3937
2026-05-28,593269564250.48,6.7506,0.5844,7.4551,6.4236,5.5146,0.0442,0.5746,0.0441,0.8199,0.6863,0.6202,1.6365,0.6899,1.7249,1.5287,1.3937
2026-05-27,599274316925.08,6.8189,0.6014,7.4551,6.4207,5.5146,0.0437,0.5805,0.0512,0.8199,0.6867,0.6202,1.6530,0.7147,1.7249,1.5285,1.3937
2026-05-26,599274316925.08,6.8189,0.6018,7.4567,6.4178,5.5146,0.0437,0.5805,0.0512,0.8204,0.6871,0.6202,1.6530,0.7151,1.7252,1.5283,1.3933
