date,基本每股收益,累积同比,归属于母公司普通股股东的净利润,营业收入
2026-03-31,0.2,-0.1667,25726000000,96162000000
2025-12-31,0.73,-0.0988,87404000000,355728000000
2025-09-30,0.66,-0.0704,76562000000,265080000000
2025-06-30,0.43,-0.0227,49228000000,179446000000
2025-03-31,0.24,-0.04,25246000000,89363000000
2024-12-31,0.81,-0.0241,86479000000,348775000000
2024-09-30,0.71,-0.0274,75818000000,260349000000
2024-06-30,0.44,-0.0435,48815000000,176789000000
2024-03-31,0.25,-0.0741,25926000000,89430000000
2023-12-31,0.83,-0.0235,86270000000,342507000000
2023-09-30,0.73,0,75655000000,260122000000
2023-06-30,0.46,0.0455,49564000000,176976000000
2023-03-31,0.27,0.0385,26280000000,88163000000
2022-12-31,0.85,0.0897,85224000000,334956000000
2022-09-30,0.73,0.1231,73849000000,256931000000
2022-06-30,0.44,0.1,47114000000,173461000000
2022-03-31,0.26,0.0833,24977000000,85170000000
2021-12-31,0.78,0.0986,76170000000,318762000000
2021-09-30,0.65,0.1207,64507000000,238358000000
2021-06-30,0.4,0.1111,41010000000,157653000000
2021-03-31,0.24,0.0435,21201000000,77330000000
2020-12-31,0.71,-0.0139,64199000000,286202000000
2020-09-30,0.58,-0.0938,52844000000,216263000000
2020-06-30,0.36,-0.1628,33658000000,146346000000
2020-03-31,0.23,0,20094000000,72171000000
2019-12-31,0.72,0.1613,60933000000,276809000000
2019-09-30,0.64,0.1636,54288000000,210558000000
2019-06-30,0.43,,37381000000,141606000000
2019-03-31,0.23,,18520000000,68426000000
2018-12-31,0.62,0.0508,52311000000,260995000000
2018-09-30,0.55,,46710000000,196364000000
2017-12-31,0.59,0.0727,47683000000,224572000000
2016-12-31,0.55,,39801000000,188809000000
