date,负债合计,所有者权益合计,长期负债合计,流动比率,资产负债率,流动资产合计,有息负债率,流动负债合计,速动比率,资产合计
2026-03-31,22642851932,84771629409,1818800000,3.4225,0.2108,528212738,0.0789,2764250762,2.8547,107414481341
2025-12-31,22873254978,80247713602,1819100000,3.2065,0.2218,469517513,0.0817,2709159889,2.7017,103120968579
2025-09-30,23133638111,71472497305,1799100000,2.7684,0.2445,819019238,0.0836,2565673752,2.3099,94606135416
2025-06-30,23414698147,60409081755,904891240,2.0756,0.2793,825681662,0.0901,2227078535,1.6763,83823779902
2025-03-31,21733326336,62778761757,763298735,2.2946,0.2572,876183308,0.0768,2349782751,1.8911,84512088093
2024-12-31,21240210773,59085613636,2959508735,2.3844,0.2644,988835930,0.0756,2251025010,1.9768,80325824409
2024-09-30,18654997773,55583242102,2911138290,2.3564,0.2513,1135031691,0.0964,2471385962,1.8365,74238239875
2024-06-30,19302567478,55094761179,2892344086,2.2172,0.2595,1200830900,0.1052,2522712030,1.7284,74397328657
2024-03-31,18891550725,56048297012,2863036641,2.3271,0.2521,1249531080,0.1053,2162512791,1.8357,74939847737
2023-12-31,18151903894,55517445413,687016641,2.0617,0.2464,1234393855,0.0848,1955363182,1.6405,73669349307
2023-09-30,19770878846,51988402392,356647795,1.7538,0.2755,1276675259,0.1033,2297181339,1.3513,71759281238
2023-06-30,19120352119,50198781611,397856528,1.6855,0.2758,1234326928,0.0968,3188409563,1.2419,69319133731
2023-03-31,18357086099,49831002525,189849246,1.7422,0.2692,1132980215,0.0861,3586861136,1.2787,68188088625
2022-12-31,17763654011,46926672736,279085982,1.6551,0.2746,1048155092,0.0925,2496636590,1.1718,64690326747
2022-09-30,20612129367,45137087395,373235350,1.4568,0.3135,948475555,0.1031,3959048700,1.0084,65749216762
2022-06-30,19520122790,42393344641,0,1.4613,0.3153,862746156,0.0872,3231089721,0.9358,61913467432
2022-03-31,16935154066,40647776809,0,1.6947,0.2941,843762288,0.083,3295966557,1.1353,57582930875
2021-12-31,16369925768,38757462616,0,1.6932,0.2969,773432780,0.0778,2986378875,1.1555,55127388384
2021-09-30,15534644670,37639288987,0,1.934,0.2921,761692370,0.0815,2548343364,1.4346,53173933657
2021-06-30,15193844576,36983515311,0,2.1345,0.2912,680053972,0.0854,2010665614,1.6779,52177359888
2021-03-31,13085021981,35525790977,0,2.6048,0.2692,604671513,0.0848,1634751802,2.1275,48610812958
2020-12-31,13572674390,32718491309,0,2.9114,0.2932,541952792,0.0931,1580979702,2.4817,46291165699
2020-09-30,12430080638,32084661831,0,3.2628,0.2792,509975788,0.1071,1281163042,2.8489,44514742469
2020-06-30,12222257962,18653137904,557700000,1.6703,0.3959,454651700,0.1817,1244587276,1.2611,30875395866
2020-03-31,12380571190,17850745784,667100000,1.779,0.4095,399533009,0.205,1053520301,1.4345,30231316974
2019-12-31,11829424285,17409710086,762400000,1.9087,0.4046,379395934,0.1984,897139906,1.575,29239134371
2019-09-30,10058221289,17312185401,815000000,2.1965,0.3675,301343280,0.1921,757323033,1.9009,27370406690
2019-06-30,6299257457,18129165196,15000000,2.3235,0.2579,322440843,0.0931,697159713,2.0135,24428422653
2019-03-31,4876102963,18888343616,15000000,3.4025,0.2052,344665231,0.0209,627569584,2.9945,23764446579
2018-12-31,4501971091,18165230810,15000000,3.1383,0.1986,384530263,0.0231,681863412,2.7621,22667201901
2018-09-30,6130180991,11020818717,365000000,1.4105,0.3574,312253612,0.1389,610014003,1.1552,17150999708
2018-06-30,5806029268,10407914096,465000000,1.5728,0.3581,0,0.1306,0,1.3808,16213943364
2018-03-31,5643084221,7067544342,495000000,1.238,0.444,0,0.1457,0,1.0393,12710628562
2017-12-31,5842436615,6738010331,300000000,1.1834,0.4644,0,0.13,0,1.0148,12580446945
2017-09-30,,,0,,,0,,0,,
2017-06-30,,,0,,,0,,0,,
2017-03-31,,,0,,,0,,0,,
2016-12-31,4528277751,6062405059,0,1.4377,0.4276,0,0.0462,0,1.3067,10590682810
