date,流动比率,所有者权益合计,负债合计,有息负债率,流动负债合计,资产合计,长期负债合计,资产负债率,流动资产合计,速动比率
2026-03-31,1.1528,204722047000,169611154000,0.1934,2737445000,374333201000,43492048000,0.4531,3156562000,1.0276
2025-12-31,1.0689,200615829000,169638408000,0.1919,2362835000,370254237000,37574170000,0.4582,2457022000,0.9595
2025-09-30,1.0698,198738528000,168063141000,0.1881,3662994000,366801669000,34318551000,0.4582,3572659000,0.9409
2025-06-30,1.048,196254831000,160706702000,0.1845,2274877000,356961533000,34425754000,0.4502,3178652000,0.9237
2025-03-31,1.1476,196346365000,159327540000,0.1873,2598887000,355673905000,37651615000,0.448,2999465000,1.007
2024-12-31,1.1066,192246181000,165718374000,0.1793,3408804000,357964555000,40345761000,0.4629,2389502000,0.9848
2024-09-30,1.2636,190858742000,169770650000,0.1802,4985065000,360629392000,44726706000,0.4708,2987359000,1.0997
2024-06-30,1.2435,188014346000,173364486000,0.1919,3551810000,361378832000,47361040000,0.4797,2551962000,1.1046
2024-03-31,1.3481,189444797000,162349091000,0.2031,4011040000,351793888000,45052517000,0.4615,2537535000,1.1869
2023-12-31,1.2191,182782141000,166577778000,0.2088,5040221000,349359919000,42369253000,0.4768,2336249000,1.0812
2023-09-30,1.3339,180500512000,165173388000,0.2144,5465443000,345673900000,45549498000,0.4778,2506047000,1.1662
2023-06-30,1.2949,174088183000,173271897000,0.2284,4132700000,347360080000,43318610000,0.4988,2114860000,1.1438
2023-03-31,1.3112,174426674000,173994298000,0.2386,4453093000,348420972000,42507081000,0.4994,2251764000,1.167
2022-12-31,1.1801,165058520000,175050742000,0.2477,6236819000,340109262000,39506539000,0.5147,1972141000,1.0491
2022-09-30,1.2159,168076725000,175188068000,0.2487,7123040000,343264793000,39989626000,0.5104,2270637000,1.0699
2022-06-30,1.2131,159032748000,174008512000,0.261,4320200000,333041260000,45766480000,0.5225,1899062000,1.0683
2022-03-31,1.2328,153116657000,184904222000,0.2903,5416189000,338020879000,55482238000,0.547,1917137000,1.1007
2021-12-31,1.1965,142402768000,179335729000,0.3025,5176923000,321738497000,60442685000,0.5574,1662944000,1.0583
2021-09-30,1.1736,139655077000,174398406000,0.3112,6986599000,314053483000,61917852000,0.5553,1889503000,1.0227
2021-06-30,1.1185,133075577000,168264709000,0.3308,3278603000,301340286000,62611084000,0.5584,1830260000,0.9705
2021-03-31,1.0771,129203689000,160505323000,0.3355,3000999000,289709012000,57402298000,0.554,1657762000,0.9113
2020-12-31,0.8999,123853702000,157832675000,0.3384,3605775000,281686377000,50994610000,0.5603,1482759000,0.7524
2020-09-30,0.8908,122021455000,161974117000,0.3393,3260132000,283995572000,50060144000,0.5703,1460841000,0.744
2020-06-30,0.7982,119793275000,162636055000,0.3588,1661279000,282429330000,41310784000,0.5758,1242968000,0.6712
2020-03-31,0.7692,119218059000,159111592000,0.3585,1611699000,278329651000,37821428000,0.5717,1339274000,0.6321
2019-12-31,0.6576,117369079000,155114090000,0.3466,2588765000,272483169000,34242915000,0.5693,953581000,0.5333
2019-09-30,0.7333,119191069000,157488099000,0.3601,2799333000,276679168000,34987475000,0.5692,984451000,0.6105
2019-06-30,0.7336,115797327000,156177627000,0.3663,1966784000,271974954000,33830265000,0.5742,910438000,0.6063
2019-03-31,0.902,113230264000,155952316000,0.3751,1522018000,269182580000,49523462000,0.5794,1162144000,0.7318
2018-12-31,0.8023,110681929000,153976540000,0.3679,2478903000,264658469000,45317056000,0.5818,1014869000,0.6452
2018-09-30,0.8716,110707670000,151014817000,0.3802,3314283000,261722487000,47301024000,0.577,506463000,0.7149
2018-06-30,0.9153,108694409000,147533690000,0.379,1761590000,256228099000,49508103000,0.5758,422485000,0.7496
2018-03-31,0.846,108714600000,140713066000,0.3652,0,249427666000,46854955000,0.5641,0,0.6755
2017-12-31,0.7766,106084548000,142754398000,0.3641,0,248838946000,43083827000,0.5737,0,0.6371
2017-09-30,0.8648,106081283000,141804019000,0.3746,0,247885302000,46166757000,0.5721,0,0.6989
2017-06-30,0.7815,104575190000,138767719000,0.3799,0,243342909000,42155329000,0.5703,0,0.6414
2017-03-31,0.7712,104053481000,139582489000,0.3822,0,243635970000,43865718000,0.5729,0,0.6304
2016-12-31,0.7252,101960485000,139888300000,0.3809,0,241848785000,43496933000,0.5784,0,0.5843
2016-09-30,0.7378,100805412000,139519453000,0.3854,0,240324865000,45669979000,0.5805,0,0.5982
2016-06-30,0.8381,100393899000,153519977000,0.4292,0,253913876000,50653265000,0.6046,0,0.722
