date,经营活动产生的现金流量净额,累积同比,自由现金流量,经营活动产生的现金流量净额对净利润的比率
2026-03-31,1708202556,-0.0618,3898557306,1.6182
2025-12-31,5972727509,0.2235,3885907349,1.7197
2025-09-30,5078358713,0.1814,4018242730,1.6481
2025-06-30,3402066562,0.1965,3677882304,1.4519
2025-03-31,1820785553,0.4104,3571292653,1.3769
2024-12-31,4881686201,-0.1686,3057148707,1.3066
2024-09-30,4298762595,-0.2288,2855239672,1.2084
2024-06-30,2843399691,-0.1561,3537858188,1.3604
2024-03-31,1290939304,-0.2191,3867301113,1.478
2023-12-31,5871890091,0.3076,4417729082,1.6061
2023-09-30,5574372858,0.3928,4452355922,1.6673
2023-06-30,3369176239,0.455,4145679638,1.7343
2023-03-31,1653223002,0.5995,3772441424,1.7641
2022-12-31,4490674811,0.0995,3110249954,1.67
2022-09-30,4002306093,0.233,3433184378,1.6858
2022-06-30,2315557961,0.211,3072194566,1.6846
2022-03-31,1033576295,0.3936,2872457435,1.6709
2021-12-31,4084103958,0.2215,2596381395,1.6535
2021-09-30,3245914647,0.2714,2673196010,1.7044
2021-06-30,1912056146,1.8548,3272837742,1.9066
2021-03-31,741642735,75.6983,3025622407,1.7397
2020-12-31,3343611325,0.6087,2455346712,1.7812
2020-09-30,2553014848,0.3776,2130262730,1.5378
2020-06-30,669779801,-0.3285,1117483848,1.2461
2020-03-31,-9928508,-1.023,989382351,1.3818
2019-12-31,2078432735,0.4847,1338748513,1.4523
2019-09-30,1853175334,0.5059,1219857442,1.4267
2019-06-30,997424891,0.2814,905204618,1.2955
2019-03-31,431432818,0.4633,693700080,1.3445
2018-12-31,1399870398,0.0522,591253423,1.3134
2018-09-30,1230588580,0.6206,828012419,1.713
2018-06-30,778362287,0.8598,754639408,1.7824
2018-03-31,294833291,0.854,757475375,1.6907
2017-12-31,1330404512,0.7167,727446958,1.6782
2017-09-30,759349654,0.4011,586680070,1.1398
2017-06-30,418510291,0.3061,498135339,1.1403
2017-03-31,159027658,0.1693,388385765,1.1572
2016-12-31,675098166,0.2929,361087101,1.1904
2016-09-30,541981427,0.2319,312729385,1.1508
