date,metric,value
2026-03-31,总资产收益率(ROA),0.1018
2026-03-31,资产合计,36581247688
2026-03-31,毛利率(GM),0.4705
2026-03-31,所有者权益合计,24611937366
2026-03-31,净资产收益率(ROE),0.1519
2026-03-31,长期负债合计,178070811
2026-03-31,流动比率,1.4438
2026-03-31,应收账款,1963703101
2026-03-31,自由现金流量,3898557306
2026-03-31,有息负债率,0.1979
2026-03-31,流动资产合计,0
2026-03-31,营业收入,6396494547
2026-03-31,货币资金,88684522331.7
2026-03-31,速动比率,1.2679
2026-03-31,流动负债合计,254477146
2026-03-31,经营活动产生的现金流量净额,1708202556
2026-03-31,资本回报率(ROIC),0.1339
2026-03-31,经营活动产生的现金流量净额对净利润的比率,1.6182
2026-03-31,基本每股收益,0.1274
2026-03-31,资产负债率,0.3272
2026-03-31,负债合计,11969310322
2026-03-31,归属于母公司普通股股东的净利润,1180575734
2026-03-31,净利润率,0.1594
