date,stockCode,股价振幅
2025-04-16T00:00:00+08:00,000333,0.0158
2025-04-17T00:00:00+08:00,000333,0.0118
2025-04-18T00:00:00+08:00,000333,0.0122
2025-04-21T00:00:00+08:00,000333,0.0157
2025-04-22T00:00:00+08:00,000333,0.0143
2025-04-23T00:00:00+08:00,000333,0.0086
2025-04-24T00:00:00+08:00,000333,0.0171
2025-04-25T00:00:00+08:00,000333,0.0086
2025-04-28T00:00:00+08:00,000333,0.0107
2025-04-29T00:00:00+08:00,000333,0.0207
2025-04-30T00:00:00+08:00,000333,0.0227
2025-05-06T00:00:00+08:00,000333,0.0175
2025-05-07T00:00:00+08:00,000333,0.0159
2025-05-08T00:00:00+08:00,000333,0.0238
2025-05-09T00:00:00+08:00,000333,0.0177
2025-05-12T00:00:00+08:00,000333,0.0111
2025-05-13T00:00:00+08:00,000333,0.0099
2025-05-14T00:00:00+08:00,000333,0.0187
2025-05-15T00:00:00+08:00,000333,0.0098
2025-05-16T00:00:00+08:00,000333,0.0168
2025-05-19T00:00:00+08:00,000333,0.0187
2025-05-20T00:00:00+08:00,000333,0.0209
2025-05-21T00:00:00+08:00,000333,0.0124
2025-05-22T00:00:00+08:00,000333,0.016
2025-05-23T00:00:00+08:00,000333,0.0224
2025-05-26T00:00:00+08:00,000333,0.0204
2025-05-27T00:00:00+08:00,000333,0.0112
2025-05-28T00:00:00+08:00,000333,0.0178
2025-05-29T00:00:00+08:00,000333,0.0144
2025-05-30T00:00:00+08:00,000333,0.0155
2025-06-03T00:00:00+08:00,000333,0.0447
2025-06-04T00:00:00+08:00,000333,0.0143
2025-06-05T00:00:00+08:00,000333,0.0113
2025-06-06T00:00:00+08:00,000333,0.0097
2025-06-09T00:00:00+08:00,000333,0.0204
2025-06-10T00:00:00+08:00,000333,0.0193
2025-06-11T00:00:00+08:00,000333,0.013
2025-06-12T00:00:00+08:00,000333,0.0161
2025-06-13T00:00:00+08:00,000333,0.0163
2025-06-16T00:00:00+08:00,000333,0.0134
2025-06-17T00:00:00+08:00,000333,0.0178
2025-06-18T00:00:00+08:00,000333,0.0086
2025-06-19T00:00:00+08:00,000333,0.018
2025-06-20T00:00:00+08:00,000333,0.0157
2025-06-23T00:00:00+08:00,000333,0.0122
2025-06-24T00:00:00+08:00,000333,0.0186
2025-06-25T00:00:00+08:00,000333,0.0095
2025-06-26T00:00:00+08:00,000333,0.0115
2025-06-27T00:00:00+08:00,000333,0.0134
