date,stockCode,PB不含商誉
2025-04-16T00:00:00+08:00,000333,2.9042
2025-04-17T00:00:00+08:00,000333,2.9021
2025-04-18T00:00:00+08:00,000333,2.9009
2025-04-21T00:00:00+08:00,000333,2.9201
2025-04-22T00:00:00+08:00,000333,2.9336
2025-04-23T00:00:00+08:00,000333,2.9389
2025-04-24T00:00:00+08:00,000333,2.9839
2025-04-25T00:00:00+08:00,000333,2.9758
2025-04-28T00:00:00+08:00,000333,2.9954
2025-04-29T00:00:00+08:00,000333,3.0351
2025-04-30T00:00:00+08:00,000333,2.8473
2025-05-06T00:00:00+08:00,000333,2.8639
2025-05-07T00:00:00+08:00,000333,2.8759
2025-05-08T00:00:00+08:00,000333,2.9006
2025-05-09T00:00:00+08:00,000333,2.9316
2025-05-12T00:00:00+08:00,000333,2.9617
2025-05-13T00:00:00+08:00,000333,2.9822
2025-05-14T00:00:00+08:00,000333,2.9815
2025-05-15T00:00:00+08:00,000333,2.9587
2025-05-16T00:00:00+08:00,000333,2.9625
2025-05-19T00:00:00+08:00,000333,3.0004
2025-05-20T00:00:00+08:00,000333,3.0426
2025-05-21T00:00:00+08:00,000333,3.0476
2025-05-22T00:00:00+08:00,000333,3.0693
2025-05-23T00:00:00+08:00,000333,3.0511
2025-05-26T00:00:00+08:00,000333,3.0271
2025-05-27T00:00:00+08:00,000333,3.0352
2025-05-28T00:00:00+08:00,000333,3.0677
2025-05-29T00:00:00+08:00,000333,3.054
2025-05-30T00:00:00+08:00,000333,3.0571
2025-06-03T00:00:00+08:00,000333,2.9353
2025-06-04T00:00:00+08:00,000333,2.9217
2025-06-05T00:00:00+08:00,000333,2.9097
2025-06-06T00:00:00+08:00,000333,2.9359
2025-06-09T00:00:00+08:00,000333,2.9242
2025-06-10T00:00:00+08:00,000333,2.9106
2025-06-11T00:00:00+08:00,000333,2.9277
2025-06-12T00:00:00+08:00,000333,3.1946
2025-06-13T00:00:00+08:00,000333,3.1627
2025-06-16T00:00:00+08:00,000333,3.153
2025-06-17T00:00:00+08:00,000333,3.1884
2025-06-18T00:00:00+08:00,000333,3.1902
2025-06-19T00:00:00+08:00,000333,3.1561
2025-06-20T00:00:00+08:00,000333,3.2026
2025-06-23T00:00:00+08:00,000333,3.1733
2025-06-24T00:00:00+08:00,000333,3.2165
2025-06-25T00:00:00+08:00,000333,3.1957
2025-06-26T00:00:00+08:00,000333,3.2297
2025-06-27T00:00:00+08:00,000333,3.1935
2025-06-30T00:00:00+08:00,000333,3.19
2025-07-01T00:00:00+08:00,000333,3.186
2025-07-02T00:00:00+08:00,000333,3.2032
2025-07-03T00:00:00+08:00,000333,3.2205
2025-07-04T00:00:00+08:00,000333,3.2465
2025-07-07T00:00:00+08:00,000333,3.2054
2025-07-08T00:00:00+08:00,000333,3.1909
2025-07-09T00:00:00+08:00,000333,3.1723
2025-07-10T00:00:00+08:00,000333,3.167
2025-07-11T00:00:00+08:00,000333,3.2023
2025-07-14T00:00:00+08:00,000333,3.2297
2025-07-15T00:00:00+08:00,000333,3.2346
2025-07-16T00:00:00+08:00,000333,3.2205
2025-07-17T00:00:00+08:00,000333,3.209
2025-07-18T00:00:00+08:00,000333,3.2178
2025-07-21T00:00:00+08:00,000333,3.2075
2025-07-22T00:00:00+08:00,000333,3.2358
2025-07-23T00:00:00+08:00,000333,3.2495
2025-07-24T00:00:00+08:00,000333,3.2499
2025-07-25T00:00:00+08:00,000333,3.2167
2025-07-28T00:00:00+08:00,000333,3.1811
2025-07-29T00:00:00+08:00,000333,3.1502
2025-07-30T00:00:00+08:00,000333,3.1886
2025-07-31T00:00:00+08:00,000333,3.1037
2025-08-01T00:00:00+08:00,000333,3.1303
2025-08-04T00:00:00+08:00,000333,3.1369
2025-08-05T00:00:00+08:00,000333,3.1564
2025-08-06T00:00:00+08:00,000333,3.1705
2025-08-07T00:00:00+08:00,000333,3.1608
2025-08-08T00:00:00+08:00,000333,3.1652
2025-08-11T00:00:00+08:00,000333,3.1732
2025-08-12T00:00:00+08:00,000333,3.1807
2025-08-13T00:00:00+08:00,000333,3.1758
2025-08-14T00:00:00+08:00,000333,3.1984
2025-08-15T00:00:00+08:00,000333,3.197
2025-08-18T00:00:00+08:00,000333,3.1767
2025-08-19T00:00:00+08:00,000333,3.2138
2025-08-20T00:00:00+08:00,000333,3.1935
2025-08-21T00:00:00+08:00,000333,3.1802
2025-08-22T00:00:00+08:00,000333,3.1878
2025-08-25T00:00:00+08:00,000333,3.251
2025-08-26T00:00:00+08:00,000333,3.2634
2025-08-27T00:00:00+08:00,000333,3.2152
2025-08-28T00:00:00+08:00,000333,3.2501
2025-08-29T00:00:00+08:00,000333,3.2594
2025-09-01T00:00:00+08:00,000333,3.1314
2025-09-02T00:00:00+08:00,000333,3.2215
2025-09-03T00:00:00+08:00,000333,3.1987
2025-09-04T00:00:00+08:00,000333,3.1974
2025-09-05T00:00:00+08:00,000333,3.2241
2025-09-08T00:00:00+08:00,000333,3.2583
2025-09-09T00:00:00+08:00,000333,3.2647
2025-09-10T00:00:00+08:00,000333,3.2579
2025-09-11T00:00:00+08:00,000333,3.2579
2025-09-12T00:00:00+08:00,000333,3.1966
2025-09-15T00:00:00+08:00,000333,3.1796
2025-09-16T00:00:00+08:00,000333,3.1496
2025-09-17T00:00:00+08:00,000333,3.145
2025-09-18T00:00:00+08:00,000333,3.1192
2025-09-19T00:00:00+08:00,000333,3.145
2025-09-22T00:00:00+08:00,000333,3.0989
2025-09-23T00:00:00+08:00,000333,3.1103
2025-09-24T00:00:00+08:00,000333,3.1344
2025-09-25T00:00:00+08:00,000333,3.0811
2025-09-26T00:00:00+08:00,000333,3.1386
2025-09-29T00:00:00+08:00,000333,3.1187
2025-09-30T00:00:00+08:00,000333,3.0735
2025-10-09T00:00:00+08:00,000333,3.0722
2025-10-10T00:00:00+08:00,000333,3.0807
2025-10-13T00:00:00+08:00,000333,3.0375
2025-10-14T00:00:00+08:00,000333,3.0709
2025-10-15T00:00:00+08:00,000333,3.0845
2025-10-16T00:00:00+08:00,000333,3.0955
2025-10-17T00:00:00+08:00,000333,3.0794
2025-10-20T00:00:00+08:00,000333,3.0824
2025-10-21T00:00:00+08:00,000333,3.084
2025-10-22T00:00:00+08:00,000333,3.1251
2025-10-23T00:00:00+08:00,000333,3.1678
2025-10-24T00:00:00+08:00,000333,3.156
2025-10-27T00:00:00+08:00,000333,3.1674
2025-10-28T00:00:00+08:00,000333,3.1475
2025-10-29T00:00:00+08:00,000333,3.1471
2025-10-30T00:00:00+08:00,000333,3.1029
2025-10-31T00:00:00+08:00,000333,3.1482
2025-11-03T00:00:00+08:00,000333,3.1066
2025-11-04T00:00:00+08:00,000333,3.0971
2025-11-05T00:00:00+08:00,000333,3.1293
2025-11-06T00:00:00+08:00,000333,3.1742
2025-11-07T00:00:00+08:00,000333,3.14
2025-11-10T00:00:00+08:00,000333,3.1866
2025-11-11T00:00:00+08:00,000333,3.1824
2025-11-12T00:00:00+08:00,000333,3.2809
2025-11-13T00:00:00+08:00,000333,3.2855
2025-11-14T00:00:00+08:00,000333,3.2702
2025-11-17T00:00:00+08:00,000333,3.2368
2025-11-18T00:00:00+08:00,000333,3.262
2025-11-19T00:00:00+08:00,000333,3.262
2025-11-20T00:00:00+08:00,000333,3.2847
2025-11-21T00:00:00+08:00,000333,3.3189
2025-11-24T00:00:00+08:00,000333,3.3109
2025-11-25T00:00:00+08:00,000333,3.3168
2025-11-26T00:00:00+08:00,000333,3.3631
2025-11-27T00:00:00+08:00,000333,3.3631
2025-11-28T00:00:00+08:00,000333,3.3657
2025-12-01T00:00:00+08:00,000333,3.3716
2025-12-02T00:00:00+08:00,000333,3.4373
2025-12-03T00:00:00+08:00,000333,3.463
2025-12-04T00:00:00+08:00,000333,3.4512
2025-12-05T00:00:00+08:00,000333,3.4655
2025-12-08T00:00:00+08:00,000333,3.4478
2025-12-09T00:00:00+08:00,000333,3.3826
2025-12-10T00:00:00+08:00,000333,3.3771
2025-12-11T00:00:00+08:00,000333,3.3446
2025-12-12T00:00:00+08:00,000333,3.3454
2025-12-15T00:00:00+08:00,000333,3.3914
2025-12-16T00:00:00+08:00,000333,3.3724
2025-12-17T00:00:00+08:00,000333,3.3939
2025-12-18T00:00:00+08:00,000333,3.3669
2025-12-19T00:00:00+08:00,000333,3.3104
