date,stockCode,PE-TTM
2025-04-16T00:00:00+08:00,000333,14.1051
2025-04-17T00:00:00+08:00,000333,14.0952
2025-04-18T00:00:00+08:00,000333,14.0892
2025-04-21T00:00:00+08:00,000333,14.1826
2025-04-22T00:00:00+08:00,000333,14.2482
2025-04-23T00:00:00+08:00,000333,14.274
2025-04-24T00:00:00+08:00,000333,14.4925
2025-04-25T00:00:00+08:00,000333,14.4528
2025-04-28T00:00:00+08:00,000333,14.5482
2025-04-29T00:00:00+08:00,000333,14.7409
2025-04-30T00:00:00+08:00,000333,13.4328
2025-05-06T00:00:00+08:00,000333,13.5112
2025-05-07T00:00:00+08:00,000333,13.5678
2025-05-08T00:00:00+08:00,000333,13.6846
2025-05-09T00:00:00+08:00,000333,13.8305
2025-05-12T00:00:00+08:00,000333,13.9728
2025-05-13T00:00:00+08:00,000333,14.0695
2025-05-14T00:00:00+08:00,000333,14.0659
2025-05-15T00:00:00+08:00,000333,13.9582
2025-05-16T00:00:00+08:00,000333,13.9765
2025-05-19T00:00:00+08:00,000333,14.1553
2025-05-20T00:00:00+08:00,000333,14.3542
2025-05-21T00:00:00+08:00,000333,14.3779
2025-05-22T00:00:00+08:00,000333,14.4801
2025-05-23T00:00:00+08:00,000333,14.3943
2025-05-26T00:00:00+08:00,000333,14.2812
2025-05-27T00:00:00+08:00,000333,14.3195
2025-05-28T00:00:00+08:00,000333,14.4728
2025-05-29T00:00:00+08:00,000333,14.4079
2025-05-30T00:00:00+08:00,000333,14.4225
2025-06-03T00:00:00+08:00,000333,13.8479
2025-06-04T00:00:00+08:00,000333,13.784
2025-06-05T00:00:00+08:00,000333,13.7275
2025-06-06T00:00:00+08:00,000333,13.8507
2025-06-09T00:00:00+08:00,000333,13.7958
2025-06-10T00:00:00+08:00,000333,13.7318
2025-06-11T00:00:00+08:00,000333,13.8123
2025-06-12T00:00:00+08:00,000333,13.2103
2025-06-13T00:00:00+08:00,000333,13.0786
2025-06-16T00:00:00+08:00,000333,13.0383
2025-06-17T00:00:00+08:00,000333,13.1847
2025-06-18T00:00:00+08:00,000333,13.192
2025-06-19T00:00:00+08:00,000333,13.0511
2025-06-20T00:00:00+08:00,000333,13.2432
2025-06-23T00:00:00+08:00,000333,13.1225
2025-06-24T00:00:00+08:00,000333,13.3008
2025-06-25T00:00:00+08:00,000333,13.215
2025-06-26T00:00:00+08:00,000333,13.3556
2025-06-27T00:00:00+08:00,000333,13.2058
2025-06-30T00:00:00+08:00,000333,13.1912
2025-07-01T00:00:00+08:00,000333,13.1748
2025-07-02T00:00:00+08:00,000333,13.246
2025-07-03T00:00:00+08:00,000333,13.3173
2025-07-04T00:00:00+08:00,000333,13.4251
2025-07-07T00:00:00+08:00,000333,13.2552
2025-07-08T00:00:00+08:00,000333,13.1949
2025-07-09T00:00:00+08:00,000333,13.1181
2025-07-10T00:00:00+08:00,000333,13.0962
2025-07-11T00:00:00+08:00,000333,13.2424
2025-07-14T00:00:00+08:00,000333,13.3556
2025-07-15T00:00:00+08:00,000333,13.3757
2025-07-16T00:00:00+08:00,000333,13.3173
2025-07-17T00:00:00+08:00,000333,13.2698
2025-07-18T00:00:00+08:00,000333,13.3063
2025-07-21T00:00:00+08:00,000333,13.2636
2025-07-22T00:00:00+08:00,000333,13.3806
2025-07-23T00:00:00+08:00,000333,13.4372
2025-07-24T00:00:00+08:00,000333,13.4391
2025-07-25T00:00:00+08:00,000333,13.3019
2025-07-28T00:00:00+08:00,000333,13.1546
2025-07-29T00:00:00+08:00,000333,13.0266
2025-07-30T00:00:00+08:00,000333,13.1857
2025-07-31T00:00:00+08:00,000333,12.8346
2025-08-01T00:00:00+08:00,000333,12.9443
2025-08-04T00:00:00+08:00,000333,12.9717
2025-08-05T00:00:00+08:00,000333,13.0522
2025-08-06T00:00:00+08:00,000333,13.1107
2025-08-07T00:00:00+08:00,000333,13.0705
2025-08-08T00:00:00+08:00,000333,13.0888
2025-08-11T00:00:00+08:00,000333,13.1217
2025-08-12T00:00:00+08:00,000333,13.1528
2025-08-13T00:00:00+08:00,000333,13.1327
2025-08-14T00:00:00+08:00,000333,13.2259
2025-08-15T00:00:00+08:00,000333,13.2204
2025-08-18T00:00:00+08:00,000333,13.1363
2025-08-19T00:00:00+08:00,000333,13.2899
2025-08-20T00:00:00+08:00,000333,13.2058
2025-08-21T00:00:00+08:00,000333,13.1509
2025-08-22T00:00:00+08:00,000333,13.182
2025-08-25T00:00:00+08:00,000333,13.4435
2025-08-26T00:00:00+08:00,000333,13.4947
2025-08-27T00:00:00+08:00,000333,13.2954
2025-08-28T00:00:00+08:00,000333,13.4399
2025-08-29T00:00:00+08:00,000333,13.4783
