date,stockCode,A股市值
2025-04-16T00:00:00+08:00,000333,497362624193
2025-04-17T00:00:00+08:00,000333,497012368823.85
2025-04-18T00:00:00+08:00,000333,496802215602.36
2025-04-21T00:00:00+08:00,000333,500094616072.37
2025-04-22T00:00:00+08:00,000333,502406301508.76
2025-04-23T00:00:00+08:00,000333,503316965468.55
2025-04-24T00:00:00+08:00,000333,511022583589.85
2025-04-25T00:00:00+08:00,000333,509621562113.25
2025-04-28T00:00:00+08:00,000333,512984013657.09
2025-04-29T00:00:00+08:00,000333,519778967818.6
2025-04-30T00:00:00+08:00,000333,515716005536.46
2025-05-06T00:00:00+08:00,000333,518728201711.15
2025-05-07T00:00:00+08:00,000333,520899784999.88
2025-05-08T00:00:00+08:00,000333,525383053725
2025-05-09T00:00:00+08:00,000333,530987139631.4
2025-05-12T00:00:00+08:00,000333,536451123390.14
2025-05-13T00:00:00+08:00,000333,540163830303.13
2025-05-14T00:00:00+08:00,000333,540023728155.47
2025-05-15T00:00:00+08:00,000333,535890714799.5
2025-05-16T00:00:00+08:00,000333,536591225537.8
2025-05-19T00:00:00+08:00,000333,543456230773.14
2025-05-20T00:00:00+08:00,000333,551091797820.61
2025-05-21T00:00:00+08:00,000333,552002461780.4
2025-05-22T00:00:00+08:00,000333,555925321914.88
2025-05-23T00:00:00+08:00,000333,552632921444.87
2025-05-26T00:00:00+08:00,000333,548289754867.41
2025-05-27T00:00:00+08:00,000333,549760827417.8401
2025-05-28T00:00:00+08:00,000333,555645117619.5599
2025-05-29T00:00:00+08:00,000333,553145421083.2001
2025-05-30T00:00:00+08:00,000333,553705710190.4
2025-06-03T00:00:00+08:00,000333,531644326594.4
2025-06-04T00:00:00+08:00,000333,529193061750.4
2025-06-05T00:00:00+08:00,000333,527021941460
2025-06-06T00:00:00+08:00,000333,531898201726.8
2025-06-09T00:00:00+08:00,000333,529790282829.6
2025-06-10T00:00:00+08:00,000333,527331044116.2
2025-06-11T00:00:00+08:00,000333,530422658498.76
2025-06-12T00:00:00+08:00,000333,507305814592.8
2025-06-13T00:00:00+08:00,000333,502246809239.52
2025-06-16T00:00:00+08:00,000333,500701002048.24
2025-06-17T00:00:00+08:00,000333,506322119107.44
2025-06-18T00:00:00+08:00,000333,506603174960.4
2025-06-19T00:00:00+08:00,000333,501192849790.92
2025-06-20T00:00:00+08:00,000333,508570565931.12
2025-06-23T00:00:00+08:00,000333,503933144357.28
2025-06-24T00:00:00+08:00,000333,510714246442.4
2025-06-25T00:00:00+08:00,000333,507417052818.39
2025-06-26T00:00:00+08:00,000333,512818838117.3
2025-06-27T00:00:00+08:00,000333,507066287539.24
2025-06-30T00:00:00+08:00,000333,506505063092.6
2025-07-01T00:00:00+08:00,000333,505873685590.13
2025-07-02T00:00:00+08:00,000333,508609654767.5
2025-07-03T00:00:00+08:00,000333,511345623944.87
2025-07-04T00:00:00+08:00,000333,515484654238.84
2025-07-07T00:00:00+08:00,000333,508960420046.65
2025-07-08T00:00:00+08:00,000333,506645369204.26
2025-07-09T00:00:00+08:00,000333,503698940859.4
2025-07-10T00:00:00+08:00,000333,502857104189.4401
2025-07-11T00:00:00+08:00,000333,508469348655.84
2025-07-14T00:00:00+08:00,000333,512818838117.3
2025-07-15T00:00:00+08:00,000333,513590521731.4299
2025-07-16T00:00:00+08:00,000333,511345623944.87
2025-07-17T00:00:00+08:00,000333,509521644493.29
2025-07-18T00:00:00+08:00,000333,510924705609.89
2025-07-21T00:00:00+08:00,000333,509312388028.4
2025-07-22T00:00:00+08:00,000333,513805288487.92
2025-07-23T00:00:00+08:00,000333,515981537148
2025-07-24T00:00:00+08:00,000333,516051738717.68
2025-07-25T00:00:00+08:00,000333,510786620991.68
2025-07-28T00:00:00+08:00,000333,505138083138.48
2025-07-29T00:00:00+08:00,000333,500222922474.08
2025-07-30T00:00:00+08:00,000333,506331765014.12
2025-07-31T00:00:00+08:00,000333,492850181477.48
2025-08-01T00:00:00+08:00,000333,497063176332.68
2025-08-04T00:00:00+08:00,000333,498116425046.48
2025-08-05T00:00:00+08:00,000333,501205954606.96
2025-08-06T00:00:00+08:00,000333,503452885196.4
2025-08-07T00:00:00+08:00,000333,501908120416.16
2025-08-08T00:00:00+08:00,000333,502610286225.36
2025-08-11T00:00:00+08:00,000333,503874184681.92
2025-08-12T00:00:00+08:00,000333,505067866557.5601
2025-08-13T00:00:00+08:00,000333,504295484167.4399
2025-08-14T00:00:00+08:00,000333,507876529794.36
2025-08-15T00:00:00+08:00,000333,507665880051.6
2025-08-18T00:00:00+08:00,000333,504435917329.28
2025-08-19T00:00:00+08:00,000333,510334110126.5601
2025-08-20T00:00:00+08:00,000333,507104147404.24
2025-08-21T00:00:00+08:00,000333,504997649976.64
2025-08-22T00:00:00+08:00,000333,506191331852.28
2025-08-25T00:00:00+08:00,000333,516232302923.84
2025-08-26T00:00:00+08:00,000333,518198367189.6
2025-08-27T00:00:00+08:00,000333,510544759869.32
2025-08-28T00:00:00+08:00,000333,516091869762
2025-08-29T00:00:00+08:00,000333,517566417961.32
2025-09-01T00:00:00+08:00,000333,519813348550.76
2025-09-02T00:00:00+08:00,000333,534769480286.72
2025-09-03T00:00:00+08:00,000333,530977784917.04
2025-09-04T00:00:00+08:00,000333,530767135174.28
2025-09-05T00:00:00+08:00,000333,535190779772.24
2025-09-08T00:00:00+08:00,000333,540878322826.76
2025-09-09T00:00:00+08:00,000333,541931571540.5601
2025-09-10T00:00:00+08:00,000333,540808106245.84
2025-09-11T00:00:00+08:00,000333,540808106245.84
2025-09-12T00:00:00+08:00,000333,530626702012.4399
2025-09-15T00:00:00+08:00,000333,527818038775.64
2025-09-16T00:00:00+08:00,000333,522832661530.32
2025-09-17T00:00:00+08:00,000333,522060279140.2
2025-09-18T00:00:00+08:00,000333,517777067704.08
2025-09-19T00:00:00+08:00,000333,522060279140.2
2025-09-22T00:00:00+08:00,000333,514406671819.92
2025-09-23T00:00:00+08:00,000333,516302519504.76
2025-09-24T00:00:00+08:00,000333,520304864617.2
2025-09-25T00:00:00+08:00,000333,511457575421.28
2025-09-26T00:00:00+08:00,000333,521007030426.4
2025-09-29T00:00:00+08:00,000333,517706851123.16
2025-09-30T00:00:00+08:00,000333,510193676964.72
2025-10-09T00:00:00+08:00,000333,509983027221.96
2025-10-10T00:00:00+08:00,000333,511387358840.36
2025-10-13T00:00:00+08:00,000333,504225267586.52
2025-10-14T00:00:00+08:00,000333,509772377479.2
2025-10-15T00:00:00+08:00,000333,512019308068.64
2025-10-16T00:00:00+08:00,000333,513844939172.5601
2025-10-17T00:00:00+08:00,000333,511176709097.6
2025-10-20T00:00:00+08:00,000333,511668225164.04
2025-10-21T00:00:00+08:00,000333,511949091487.72
2025-10-22T00:00:00+08:00,000333,518760099836.96
2025-10-23T00:00:00+08:00,000333,525851974509.88
2025-10-24T00:00:00+08:00,000333,523885910244.12
2025-10-27T00:00:00+08:00,000333,525781757928.96
2025-10-28T00:00:00+08:00,000333,522481578625.72
2025-10-29T00:00:00+08:00,000333,522411362044.8
2025-10-30T00:00:00+08:00,000333,528730854327.6
2025-10-31T00:00:00+08:00,000333,536454678228.8
2025-11-03T00:00:00+08:00,000333,529362803555.88
2025-11-04T00:00:00+08:00,000333,527747822194.72
2025-11-05T00:00:00+08:00,000333,533224715506.48
2025-11-06T00:00:00+08:00,000333,540878322826.76
2025-11-07T00:00:00+08:00,000333,535050346610.4
2025-11-10T00:00:00+08:00,000333,542984820254.36
2025-11-11T00:00:00+08:00,000333,542282654445.16
2025-11-12T00:00:00+08:00,000333,559150127291.58
2025-11-13T00:00:00+08:00,000333,559923891463.2
2025-11-14T00:00:00+08:00,000333,557321230158.66
2025-11-17T00:00:00+08:00,000333,551623512167.64
2025-11-18T00:00:00+08:00,000333,544448608030.8
2025-11-19T00:00:00+08:00,000333,544448608030.8
2025-11-20T00:00:00+08:00,000333,548247086691.48
2025-11-21T00:00:00+08:00,000333,553944804682.5
2025-11-24T00:00:00+08:00,000333,552608302931.52
2025-11-25T00:00:00+08:00,000333,553593093695.4
2025-11-26T00:00:00+08:00,000333,561330735411.6
2025-11-27T00:00:00+08:00,000333,561330735411.6
2025-11-28T00:00:00+08:00,000333,561752788596.12
2025-12-01T00:00:00+08:00,000333,562737579360
2025-12-02T00:00:00+08:00,000333,573710962157.52
2025-12-03T00:00:00+08:00,000333,578001836200.14
2025-12-04T00:00:00+08:00,000333,576032254672.38
2025-12-05T00:00:00+08:00,000333,578423889384.66
2025-12-08T00:00:00+08:00,000333,575469517093.02
2025-12-09T00:00:00+08:00,000333,564611357412.6
2025-12-10T00:00:00+08:00,000333,563696151970.4099
2025-12-11T00:00:00+08:00,000333,558275319735.9
2025-12-12T00:00:00+08:00,000333,558416120573.1599
2025-12-15T00:00:00+08:00,000333,566089766203.83
2025-12-16T00:00:00+08:00,000333,562921747365.48
2025-12-17T00:00:00+08:00,000333,566512168715.61
2025-12-18T00:00:00+08:00,000333,562006541923.29
2025-12-19T00:00:00+08:00,000333,551935755737.1
2025-12-22T00:00:00+08:00,000333,549921138126.48
2025-12-23T00:00:00+08:00,000333,553325147192.7001
2025-12-24T00:00:00+08:00,000333,547420233506.4
2025-12-25T00:00:00+08:00,000333,545961372478.02
2025-12-26T00:00:00+08:00,000333,547906520515.86
2025-12-29T00:00:00+08:00,000333,544710920167.98
2025-12-30T00:00:00+08:00,000333,547767581370.3
2025-12-31T00:00:00+08:00,000333,542853098514.9
2026-01-05T00:00:00+08:00,000333,546534635843.28
2026-01-06T00:00:00+08:00,000333,547646043338.64
2026-01-07T00:00:00+08:00,000333,551327580667.02
2026-01-08T00:00:00+08:00,000333,548965839739.38
2026-01-09T00:00:00+08:00,000333,554106099405.4199
2026-01-12T00:00:00+08:00,000333,546117858032.52
2026-01-13T00:00:00+08:00,000333,529307819665.2
2026-01-14T00:00:00+08:00,000333,535906801668.9
