date,cmc,dyr,ecmc,mc,pb,pe_ttm,ps_ttm,shn,sp,spc,ta,to_r,tv,stockCode
2025-04-16T00:00:00+08:00,489240123089,0.045,335228434466,543572867692.9999,2.5078,14.1051,1.3288,252066,71,-0.0067,1890971340,0.0039,26672900,000333
2025-04-17T00:00:00+08:00,488895587791,0.045,334992358103.7,543190069898.85,2.5061,14.0952,1.3278,252066,70.95,-0.0007,1388823325,0.0028,19591300,000333
2025-04-18T00:00:00+08:00,488688866612,0.045,334850712286.32,542960391222.3599,2.505,14.0892,1.3273,252066,70.92,-0.0004,1094653676,0.0022,15448400,000333
2025-04-21T00:00:00+08:00,491927498413,0.0447,337069830091.94,546558690487.3699,2.5216,14.1826,1.3361,252066,71.39,0.0066,1262930782,0.0026,17751400,000333
2025-04-22T00:00:00+08:00,494201431379,0.0445,338627934083.12,549085155928.76,2.5333,14.2482,1.3422,252066,71.72,0.0046,1626765493,0.0033,22615500,000333
2025-04-23T00:00:00+08:00,495097223154,0.0444,339241732625.1,550080430193.5499,2.5379,14.274,1.3447,252066,71.85,0.0018,1627423197,0.0033,22586900,000333
2025-04-24T00:00:00+08:00,502676999709,0.0438,344435412595.7,558501981664.85,2.5767,14.4925,1.3652,252066,72.95,0.0153,1684714693,0.0034,23180800,000333
2025-04-25T00:00:00+08:00,501298858517,0.0439,343491107146.5,556970790488.2499,2.5696,14.4528,1.3615,252066,72.75,-0.0027,1244078508,0.0025,17097200,000333
2025-04-28T00:00:00+08:00,504606397378,0.0436,345757440224.58,560645649312.09,2.5866,14.5482,1.3705,252066,73.23,0.0066,1755320152,0.0035,23966000,000333
2025-04-29T00:00:00+08:00,511290382158,0.043,350337321653.2,568071926518.6,2.6209,14.7409,1.3886,252066,74.2,0.0132,1733740168,0.0034,23497400,000333
2025-04-30T00:00:00+08:00,507293772702,0.0434,347598835850.52,563631472106.46,2.4524,13.4328,1.3076,252066,73.62,-0.0078,3548715615,0.0069,47810000,000333
2025-05-06T00:00:00+08:00,510256776264,0.0431,349629092566.3,566923533136.1499,2.4668,13.5112,1.3153,252066,74.05,0.0058,2556249632,0.005,34641200,000333
2025-05-07T00:00:00+08:00,512392895111,0.0429,351092766012.56,569296879459.8799,2.4771,13.5678,1.3208,252066,74.36,0.0042,2239595605,0.0044,30028100,000333
2025-05-08T00:00:00+08:00,516802946925,0.0426,354114543450,574196691224.9999,2.4984,13.6846,1.3322,252066,75,0.0086,2081094569,0.004,27707600,000333
2025-05-09T00:00:00+08:00,522315511692,0.0421,357891765246.8,580321455931.3999,2.5251,13.8305,1.3464,252066,75.8,0.0107,1861536387,0.0036,24563900,000333
2025-05-12T00:00:00+08:00,527690262340,0.0417,361574556498.68,586293101520.1399,2.551,13.9728,1.3602,252066,76.58,0.0103,2078979154,0.004,27223900,000333
2025-05-13T00:00:00+08:00,531342336498,0.0414,364076965939.06,590350758138.1299,2.5687,14.0695,1.3696,252066,77.11,0.0069,1963341233,0.0037,25527800,000333
2025-05-14T00:00:00+08:00,531204522379,0.0414,363982535394.14,590197639020.47,2.568,14.0659,1.3693,252066,77.09,-0.0003,2248759306,0.0042,29249600,000333
2025-05-15T00:00:00+08:00,527139005864,0.0417,361196834319,585680625049.4999,2.5484,13.9582,1.3588,252066,76.5,-0.0077,1571335906,0.003,20490200,000333
2025-05-16T00:00:00+08:00,527828076459,0.0417,361668987043.6,586446220637.7999,2.5517,13.9765,1.3606,252066,76.6,0.0013,1819974356,0.0035,23866000,000333
