date,stockCode,PCF-TTM
2025-04-16T00:00:00+08:00,000333,8.983
2025-04-17T00:00:00+08:00,000333,8.9766
2025-04-18T00:00:00+08:00,000333,8.9728
2025-04-21T00:00:00+08:00,000333,9.0323
2025-04-22T00:00:00+08:00,000333,9.0741
2025-04-23T00:00:00+08:00,000333,9.0905
2025-04-24T00:00:00+08:00,000333,9.2297
2025-04-25T00:00:00+08:00,000333,9.2044
2025-04-28T00:00:00+08:00,000333,9.2651
2025-04-29T00:00:00+08:00,000333,9.3878
2025-04-30T00:00:00+08:00,000333,9.2545
2025-05-06T00:00:00+08:00,000333,9.3085
2025-05-07T00:00:00+08:00,000333,9.3475
2025-05-08T00:00:00+08:00,000333,9.428
2025-05-09T00:00:00+08:00,000333,9.5285
2025-05-12T00:00:00+08:00,000333,9.6266
2025-05-13T00:00:00+08:00,000333,9.6932
2025-05-14T00:00:00+08:00,000333,9.6907
2025-05-15T00:00:00+08:00,000333,9.6165
2025-05-16T00:00:00+08:00,000333,9.6291
2025-05-19T00:00:00+08:00,000333,9.7523
2025-05-20T00:00:00+08:00,000333,9.8893
2025-05-21T00:00:00+08:00,000333,9.9056
2025-05-22T00:00:00+08:00,000333,9.976
2025-05-23T00:00:00+08:00,000333,9.917
2025-05-26T00:00:00+08:00,000333,9.839
2025-05-27T00:00:00+08:00,000333,9.8654
2025-05-28T00:00:00+08:00,000333,9.971
2025-05-29T00:00:00+08:00,000333,9.9263
2025-05-30T00:00:00+08:00,000333,9.9364
2025-06-03T00:00:00+08:00,000333,9.5405
2025-06-04T00:00:00+08:00,000333,9.4965
2025-06-05T00:00:00+08:00,000333,9.4575
2025-06-06T00:00:00+08:00,000333,9.5424
2025-06-09T00:00:00+08:00,000333,9.5046
2025-06-10T00:00:00+08:00,000333,9.4605
2025-06-11T00:00:00+08:00,000333,9.5159
2025-06-12T00:00:00+08:00,000333,9.1012
2025-06-13T00:00:00+08:00,000333,9.0105
2025-06-16T00:00:00+08:00,000333,8.9827
2025-06-17T00:00:00+08:00,000333,9.0836
2025-06-18T00:00:00+08:00,000333,9.0886
2025-06-19T00:00:00+08:00,000333,8.9915
2025-06-20T00:00:00+08:00,000333,9.1239
2025-06-23T00:00:00+08:00,000333,9.0407
2025-06-24T00:00:00+08:00,000333,9.1636
2025-06-25T00:00:00+08:00,000333,9.1044
2025-06-26T00:00:00+08:00,000333,9.2014
2025-06-27T00:00:00+08:00,000333,9.0981
2025-06-30T00:00:00+08:00,000333,9.0881
2025-07-01T00:00:00+08:00,000333,9.0767
2025-07-02T00:00:00+08:00,000333,9.1258
2025-07-03T00:00:00+08:00,000333,9.1749
2025-07-04T00:00:00+08:00,000333,9.2492
2025-07-07T00:00:00+08:00,000333,9.1321
2025-07-08T00:00:00+08:00,000333,9.0906
2025-07-09T00:00:00+08:00,000333,9.0377
2025-07-10T00:00:00+08:00,000333,9.0226
2025-07-11T00:00:00+08:00,000333,9.1233
2025-07-14T00:00:00+08:00,000333,9.2014
2025-07-15T00:00:00+08:00,000333,9.2152
2025-07-16T00:00:00+08:00,000333,9.1749
2025-07-17T00:00:00+08:00,000333,9.1422
2025-07-18T00:00:00+08:00,000333,9.1674
2025-07-21T00:00:00+08:00,000333,9.1379
2025-07-22T00:00:00+08:00,000333,9.2185
2025-07-23T00:00:00+08:00,000333,9.2576
2025-07-24T00:00:00+08:00,000333,9.2588
2025-07-25T00:00:00+08:00,000333,9.1644
2025-07-28T00:00:00+08:00,000333,9.0628
2025-07-29T00:00:00+08:00,000333,8.9747
2025-07-30T00:00:00+08:00,000333,9.0843
2025-07-31T00:00:00+08:00,000333,8.8424
2025-08-01T00:00:00+08:00,000333,8.918
2025-08-04T00:00:00+08:00,000333,8.9369
2025-08-05T00:00:00+08:00,000333,8.9923
2025-08-06T00:00:00+08:00,000333,9.0326
2025-08-07T00:00:00+08:00,000333,9.0049
2025-08-08T00:00:00+08:00,000333,9.0175
2025-08-11T00:00:00+08:00,000333,9.0402
2025-08-12T00:00:00+08:00,000333,9.0616
2025-08-13T00:00:00+08:00,000333,9.0477
2025-08-14T00:00:00+08:00,000333,9.112
2025-08-15T00:00:00+08:00,000333,9.1082
2025-08-18T00:00:00+08:00,000333,9.0502
2025-08-19T00:00:00+08:00,000333,9.1561
2025-08-20T00:00:00+08:00,000333,9.0981
2025-08-21T00:00:00+08:00,000333,9.0603
2025-08-22T00:00:00+08:00,000333,9.0817
2025-08-25T00:00:00+08:00,000333,9.2619
2025-08-26T00:00:00+08:00,000333,9.2972
2025-08-27T00:00:00+08:00,000333,9.1598
2025-08-28T00:00:00+08:00,000333,9.2594
2025-08-29T00:00:00+08:00,000333,9.2858
2025-09-01T00:00:00+08:00,000333,8.8329
2025-09-02T00:00:00+08:00,000333,9.0871
2025-09-03T00:00:00+08:00,000333,9.0226
2025-09-04T00:00:00+08:00,000333,9.0191
2025-09-05T00:00:00+08:00,000333,9.0942
2025-09-08T00:00:00+08:00,000333,9.1909
2025-09-09T00:00:00+08:00,000333,9.2088
2025-09-10T00:00:00+08:00,000333,9.1897
2025-09-11T00:00:00+08:00,000333,9.1897
2025-09-12T00:00:00+08:00,000333,9.0167
2025-09-15T00:00:00+08:00,000333,8.9689
