date,stockCode,总市值
2025-04-16T00:00:00+08:00,000333,543572867692.9999
2025-04-17T00:00:00+08:00,000333,543190069898.85
2025-04-18T00:00:00+08:00,000333,542960391222.3599
2025-04-21T00:00:00+08:00,000333,546558690487.3699
2025-04-22T00:00:00+08:00,000333,549085155928.76
2025-04-23T00:00:00+08:00,000333,550080430193.5499
2025-04-24T00:00:00+08:00,000333,558501981664.85
2025-04-25T00:00:00+08:00,000333,556970790488.2499
2025-04-28T00:00:00+08:00,000333,560645649312.09
2025-04-29T00:00:00+08:00,000333,568071926518.6
2025-04-30T00:00:00+08:00,000333,563631472106.46
2025-05-06T00:00:00+08:00,000333,566923533136.1499
2025-05-07T00:00:00+08:00,000333,569296879459.8799
2025-05-08T00:00:00+08:00,000333,574196691224.9999
2025-05-09T00:00:00+08:00,000333,580321455931.3999
2025-05-12T00:00:00+08:00,000333,586293101520.1399
2025-05-13T00:00:00+08:00,000333,590350758138.1299
2025-05-14T00:00:00+08:00,000333,590197639020.47
2025-05-15T00:00:00+08:00,000333,585680625049.4999
2025-05-16T00:00:00+08:00,000333,586446220637.7999
2025-05-19T00:00:00+08:00,000333,593949057403.1399
2025-05-20T00:00:00+08:00,000333,602294049315.61
2025-05-21T00:00:00+08:00,000333,603289323580.3999
2025-05-22T00:00:00+08:00,000333,607576658874.8799
2025-05-23T00:00:00+08:00,000333,603978359609.8699
2025-05-26T00:00:00+08:00,000333,599231666962.4099
2025-05-27T00:00:00+08:00,000333,600839417697.84
2025-05-28T00:00:00+08:00,000333,607270420639.5598
2025-05-29T00:00:00+08:00,000333,604549435613.2001
2025-05-30T00:00:00+08:00,000333,605161792600.4001
2025-06-03T00:00:00+08:00,000333,581050236229.4
2025-06-04T00:00:00+08:00,000333,578371174410.4001
2025-06-05T00:00:00+08:00,000333,575998291085.0001
2025-06-06T00:00:00+08:00,000333,581167433176.8
2025-06-09T00:00:00+08:00,000333,578864259729.6001
2025-06-10T00:00:00+08:00,000333,576177224041.2
2025-06-11T00:00:00+08:00,000333,579555211763.76
2025-06-12T00:00:00+08:00,000333,554297076292.8
2025-06-13T00:00:00+08:00,000333,548769460019.52
2025-06-16T00:00:00+08:00,000333,547080466158.24
2025-06-17T00:00:00+08:00,000333,553222262017.4401
2025-06-18T00:00:00+08:00,000333,553529351810.3999
2025-06-19T00:00:00+08:00,000333,547617873295.92
2025-06-20T00:00:00+08:00,000333,555678980361.12
2025-06-23T00:00:00+08:00,000333,550611998777.28
2025-06-24T00:00:00+08:00,000333,558096017242.4
2025-06-25T00:00:00+08:00,000333,554492924823.39
2025-06-26T00:00:00+08:00,000333,560395863467.2999
2025-06-27T00:00:00+08:00,000333,554109617119.24
2025-06-30T00:00:00+08:00,000333,553496324792.6
2025-07-01T00:00:00+08:00,000333,552806370925.13
2025-07-02T00:00:00+08:00,000333,555796171017.5
2025-07-03T00:00:00+08:00,000333,558785971109.87
2025-07-04T00:00:00+08:00,000333,563309002018.8401
2025-07-07T00:00:00+08:00,000333,556179478721.65
2025-07-08T00:00:00+08:00,000333,553649647874.26
2025-07-09T00:00:00+08:00,000333,550429863159.4
2025-07-10T00:00:00+08:00,000333,549509924669.4401
2025-07-11T00:00:00+08:00,000333,555642847935.8401
2025-07-14T00:00:00+08:00,000333,560395863467.2999
2025-07-15T00:00:00+08:00,000333,561239140416.4299
2025-07-16T00:00:00+08:00,000333,558785971109.87
2025-07-17T00:00:00+08:00,000333,556792771048.2899
2025-07-18T00:00:00+08:00,000333,558326001864.89
