date,stockCode,股息率
2025-04-16T00:00:00+08:00,000333,0.045
2025-04-17T00:00:00+08:00,000333,0.045
2025-04-18T00:00:00+08:00,000333,0.045
2025-04-21T00:00:00+08:00,000333,0.0447
2025-04-22T00:00:00+08:00,000333,0.0445
2025-04-23T00:00:00+08:00,000333,0.0444
2025-04-24T00:00:00+08:00,000333,0.0438
2025-04-25T00:00:00+08:00,000333,0.0439
2025-04-28T00:00:00+08:00,000333,0.0436
2025-04-29T00:00:00+08:00,000333,0.043
2025-04-30T00:00:00+08:00,000333,0.0434
2025-05-06T00:00:00+08:00,000333,0.0431
2025-05-07T00:00:00+08:00,000333,0.0429
2025-05-08T00:00:00+08:00,000333,0.0426
2025-05-09T00:00:00+08:00,000333,0.0421
2025-05-12T00:00:00+08:00,000333,0.0417
2025-05-13T00:00:00+08:00,000333,0.0414
2025-05-14T00:00:00+08:00,000333,0.0414
2025-05-15T00:00:00+08:00,000333,0.0417
2025-05-16T00:00:00+08:00,000333,0.0417
2025-05-19T00:00:00+08:00,000333,0.0412
2025-05-20T00:00:00+08:00,000333,0.0406
2025-05-21T00:00:00+08:00,000333,0.0405
2025-05-22T00:00:00+08:00,000333,0.0402
2025-05-23T00:00:00+08:00,000333,0.0405
2025-05-26T00:00:00+08:00,000333,0.0408
2025-05-27T00:00:00+08:00,000333,0.0407
2025-05-28T00:00:00+08:00,000333,0.0403
2025-05-29T00:00:00+08:00,000333,0.0404
2025-05-30T00:00:00+08:00,000333,0.0404
2025-06-03T00:00:00+08:00,000333,0.0421
2025-06-04T00:00:00+08:00,000333,0.0423
2025-06-05T00:00:00+08:00,000333,0.0424
2025-06-06T00:00:00+08:00,000333,0.0421
2025-06-09T00:00:00+08:00,000333,0.0422
2025-06-10T00:00:00+08:00,000333,0.0424
2025-06-11T00:00:00+08:00,000333,0.0422
2025-06-12T00:00:00+08:00,000333,0.0441
2025-06-13T00:00:00+08:00,000333,0.0445
2025-06-16T00:00:00+08:00,000333,0.0447
2025-06-17T00:00:00+08:00,000333,0.0442
2025-06-18T00:00:00+08:00,000333,0.0442
2025-06-19T00:00:00+08:00,000333,0.0446
2025-06-20T00:00:00+08:00,000333,0.044
2025-06-23T00:00:00+08:00,000333,0.0444
2025-06-24T00:00:00+08:00,000333,0.0438
2025-06-25T00:00:00+08:00,000333,0.0441
2025-06-26T00:00:00+08:00,000333,0.0436
2025-06-27T00:00:00+08:00,000333,0.0441
