代码,名称,权重(%),调整因子
601398,工商银行,5.20,1.00
601988,中国银行,4.80,1.00
601939,建设银行,4.50,1.00
601288,农业银行,4.30,1.00
601328,交通银行,3.80,1.00
601088,中国神华,3.50,1.00
601857,中国石油,3.20,1.00
600028,中国石化,3.10,1.00
601899,紫金矿业,2.80,1.00
600019,宝钢股份,2.50,1.00
601600,中国铝业,2.30,1.00
600036,招商银行,2.20,1.00
601318,中国平安,2.10,1.00
601628,中国人寿,2.00,1.00
000858,五粮液,1.90,1.00
600519,贵州茅台,1.80,1.00
000651,格力电器,1.70,1.00
000333,美的集团,1.60,1.00
600900,长江电力,1.50,1.00
600048,保利发展,1.40,1.00
