date,stockCode,股价振幅
2025-10-27T00:00:00+08:00,002475,0.0387
2025-10-28T00:00:00+08:00,002475,0.0281
2025-10-29T00:00:00+08:00,002475,0.0354
2025-10-30T00:00:00+08:00,002475,0.057
2025-10-31T00:00:00+08:00,002475,0.0616
2025-11-03T00:00:00+08:00,002475,0.0374
2025-11-04T00:00:00+08:00,002475,0.0463
2025-11-05T00:00:00+08:00,002475,0.0531
2025-11-06T00:00:00+08:00,002475,0.0344
2025-11-07T00:00:00+08:00,002475,0.0194
2025-11-10T00:00:00+08:00,002475,0.0523
2025-11-11T00:00:00+08:00,002475,0.0519
2025-11-12T00:00:00+08:00,002475,0.0371
2025-11-13T00:00:00+08:00,002475,0.0258
2025-11-14T00:00:00+08:00,002475,0.038
2025-11-17T00:00:00+08:00,002475,0.0235
2025-11-18T00:00:00+08:00,002475,0.0424
2025-11-19T00:00:00+08:00,002475,0.0271
2025-11-20T00:00:00+08:00,002475,0.0453
2025-11-21T00:00:00+08:00,002475,0.028
2025-11-24T00:00:00+08:00,002475,0.0316
2025-11-25T00:00:00+08:00,002475,0.0435
2025-11-26T00:00:00+08:00,002475,0.0718
2025-11-27T00:00:00+08:00,002475,0.041
2025-11-28T00:00:00+08:00,002475,0.0252
2025-12-01T00:00:00+08:00,002475,0.0512
2025-12-02T00:00:00+08:00,002475,0.0571
2025-12-03T00:00:00+08:00,002475,0.0334
2025-12-04T00:00:00+08:00,002475,0.0459
2025-12-05T00:00:00+08:00,002475,0.0165
2025-12-08T00:00:00+08:00,002475,0.0335
2025-12-09T00:00:00+08:00,002475,0.032
2025-12-10T00:00:00+08:00,002475,0.0324
2025-12-11T00:00:00+08:00,002475,0.0534
2025-12-12T00:00:00+08:00,002475,0.0569
2025-12-15T00:00:00+08:00,002475,0.0415
2025-12-16T00:00:00+08:00,002475,0.0279
2025-12-17T00:00:00+08:00,002475,0.03
2025-12-18T00:00:00+08:00,002475,0.0212
2025-12-19T00:00:00+08:00,002475,0.0197
2025-12-22T00:00:00+08:00,002475,0.0223
2025-12-23T00:00:00+08:00,002475,0.0204
2025-12-24T00:00:00+08:00,002475,0.0349
2025-12-25T00:00:00+08:00,002475,0.0292
2025-12-26T00:00:00+08:00,002475,0.0142
2025-12-29T00:00:00+08:00,002475,0.025
2025-12-30T00:00:00+08:00,002475,0.0385
2025-12-31T00:00:00+08:00,002475,0.0399
2026-01-05T00:00:00+08:00,002475,0.0417
