date,stockCode,融券偿还金额
2025-04-16T00:00:00+08:00,002475,2841862
2025-04-17T00:00:00+08:00,002475,3549137
2025-04-18T00:00:00+08:00,002475,5087920
2025-04-21T00:00:00+08:00,002475,1835631
2025-04-22T00:00:00+08:00,002475,2442685
2025-04-23T00:00:00+08:00,002475,5258794
2025-04-24T00:00:00+08:00,002475,2947718
2025-04-25T00:00:00+08:00,002475,1804439
2025-04-28T00:00:00+08:00,002475,2751944
2025-04-29T00:00:00+08:00,002475,3129224
2025-04-30T00:00:00+08:00,002475,3818108
2025-05-06T00:00:00+08:00,002475,1412543
2025-05-07T00:00:00+08:00,002475,2669420
2025-05-08T00:00:00+08:00,002475,1356862
2025-05-09T00:00:00+08:00,002475,4537329
2025-05-12T00:00:00+08:00,002475,4775550
2025-05-13T00:00:00+08:00,002475,1462717
2025-05-14T00:00:00+08:00,002475,5288302
2025-05-15T00:00:00+08:00,002475,3131549
2025-05-16T00:00:00+08:00,002475,2055382
2025-05-19T00:00:00+08:00,002475,2196362
2025-05-20T00:00:00+08:00,002475,2533848
2025-05-21T00:00:00+08:00,002475,3486014
2025-05-22T00:00:00+08:00,002475,2632161
2025-05-23T00:00:00+08:00,002475,2302964
2025-05-26T00:00:00+08:00,002475,1391096
2025-05-27T00:00:00+08:00,002475,2667627
2025-05-28T00:00:00+08:00,002475,1602927
2025-05-29T00:00:00+08:00,002475,1755450
2025-05-30T00:00:00+08:00,002475,2738622
2025-06-03T00:00:00+08:00,002475,478714
2025-06-04T00:00:00+08:00,002475,3240815
2025-06-05T00:00:00+08:00,002475,1055269
2025-06-06T00:00:00+08:00,002475,3800943
2025-06-09T00:00:00+08:00,002475,1010528
2025-06-10T00:00:00+08:00,002475,4841955
2025-06-11T00:00:00+08:00,002475,1178184
2025-06-12T00:00:00+08:00,002475,1561286
2025-06-13T00:00:00+08:00,002475,1569685
2025-06-16T00:00:00+08:00,002475,1726120
2025-06-17T00:00:00+08:00,002475,1193386
2025-06-18T00:00:00+08:00,002475,2810555
2025-06-19T00:00:00+08:00,002475,2691156
2025-06-20T00:00:00+08:00,002475,3161217
2025-06-23T00:00:00+08:00,002475,418716
2025-06-24T00:00:00+08:00,002475,4222222
2025-06-25T00:00:00+08:00,002475,2953993
2025-06-26T00:00:00+08:00,002475,2105602
2025-06-27T00:00:00+08:00,002475,895895
2025-06-30T00:00:00+08:00,002475,827799
2025-07-01T00:00:00+08:00,002475,1466100
2025-07-02T00:00:00+08:00,002475,1219512
2025-07-03T00:00:00+08:00,002475,1530359
2025-07-04T00:00:00+08:00,002475,2480705
2025-07-07T00:00:00+08:00,002475,2109366
2025-07-08T00:00:00+08:00,002475,4174821
2025-07-09T00:00:00+08:00,002475,2185765
2025-07-10T00:00:00+08:00,002475,3038482
2025-07-11T00:00:00+08:00,002475,350448
2025-07-14T00:00:00+08:00,002475,5304671
2025-07-15T00:00:00+08:00,002475,2172917
2025-07-16T00:00:00+08:00,002475,2214349
2025-07-17T00:00:00+08:00,002475,-331074
2025-07-18T00:00:00+08:00,002475,3369985
2025-07-21T00:00:00+08:00,002475,2241047
2025-07-22T00:00:00+08:00,002475,2359018
2025-07-23T00:00:00+08:00,002475,1800739
2025-07-24T00:00:00+08:00,002475,1783107
2025-07-25T00:00:00+08:00,002475,1099661
2025-07-28T00:00:00+08:00,002475,5214574
2025-07-29T00:00:00+08:00,002475,3214121
2025-07-30T00:00:00+08:00,002475,1430596
2025-07-31T00:00:00+08:00,002475,3859956
2025-08-01T00:00:00+08:00,002475,1562819
2025-08-04T00:00:00+08:00,002475,5155736
2025-08-05T00:00:00+08:00,002475,3644410
2025-08-06T00:00:00+08:00,002475,1386307
2025-08-07T00:00:00+08:00,002475,2457578
2025-08-08T00:00:00+08:00,002475,5174027
2025-08-11T00:00:00+08:00,002475,-237383
2025-08-12T00:00:00+08:00,002475,6787170
2025-08-13T00:00:00+08:00,002475,2657846
2025-08-14T00:00:00+08:00,002475,3819851
2025-08-15T00:00:00+08:00,002475,2686992
2025-08-18T00:00:00+08:00,002475,436557
2025-08-19T00:00:00+08:00,002475,2409442
2025-08-20T00:00:00+08:00,002475,1727799
2025-08-21T00:00:00+08:00,002475,2746760
2025-08-22T00:00:00+08:00,002475,3251760
2025-08-25T00:00:00+08:00,002475,2860619.5
2025-08-26T00:00:00+08:00,002475,2336313
2025-08-27T00:00:00+08:00,002475,6509029
2025-08-28T00:00:00+08:00,002475,3712399
2025-08-29T00:00:00+08:00,002475,5193287
2025-09-01T00:00:00+08:00,002475,4351729
2025-09-02T00:00:00+08:00,002475,3733183
2025-09-03T00:00:00+08:00,002475,3190845.22
2025-09-04T00:00:00+08:00,002475,2502359
2025-09-05T00:00:00+08:00,002475,1831797
2025-09-08T00:00:00+08:00,002475,206660
2025-09-09T00:00:00+08:00,002475,7812699
2025-09-10T00:00:00+08:00,002475,3319388
2025-09-11T00:00:00+08:00,002475,1600961
2025-09-12T00:00:00+08:00,002475,3802761
2025-09-15T00:00:00+08:00,002475,3236461
2025-09-16T00:00:00+08:00,002475,6582830
2025-09-17T00:00:00+08:00,002475,7352782
2025-09-18T00:00:00+08:00,002475,2884653
2025-09-19T00:00:00+08:00,002475,1515942
2025-09-22T00:00:00+08:00,002475,-2106593
2025-09-23T00:00:00+08:00,002475,3650523.3
2025-09-24T00:00:00+08:00,002475,21956989
2025-09-25T00:00:00+08:00,002475,6965300
2025-09-26T00:00:00+08:00,002475,16730690
2025-09-29T00:00:00+08:00,002475,6507281
2025-09-30T00:00:00+08:00,002475,6957718
2025-10-09T00:00:00+08:00,002475,4337893
2025-10-10T00:00:00+08:00,002475,8109066
2025-10-13T00:00:00+08:00,002475,5808844
2025-10-14T00:00:00+08:00,002475,8238663
2025-10-15T00:00:00+08:00,002475,3053389
2025-10-16T00:00:00+08:00,002475,1513672
2025-10-17T00:00:00+08:00,002475,6147169
2025-10-20T00:00:00+08:00,002475,545147
2025-10-21T00:00:00+08:00,002475,399433
2025-10-22T00:00:00+08:00,002475,3028034
2025-10-23T00:00:00+08:00,002475,2637394
2025-10-24T00:00:00+08:00,002475,917879
2025-10-27T00:00:00+08:00,002475,5572660
2025-10-28T00:00:00+08:00,002475,2690934
2025-10-29T00:00:00+08:00,002475,1332086
2025-10-30T00:00:00+08:00,002475,5194319
2025-10-31T00:00:00+08:00,002475,3710944
2025-11-03T00:00:00+08:00,002475,4606568
2025-11-04T00:00:00+08:00,002475,4489234
2025-11-05T00:00:00+08:00,002475,2837655
2025-11-06T00:00:00+08:00,002475,1534050
2025-11-07T00:00:00+08:00,002475,6614980
2025-11-10T00:00:00+08:00,002475,3452460
2025-11-11T00:00:00+08:00,002475,2053343
2025-11-12T00:00:00+08:00,002475,991078
2025-11-13T00:00:00+08:00,002475,3163907
2025-11-14T00:00:00+08:00,002475,3327636
2025-11-17T00:00:00+08:00,002475,2046884
2025-11-18T00:00:00+08:00,002475,1963367
2025-11-19T00:00:00+08:00,002475,2329869
2025-11-20T00:00:00+08:00,002475,4237458
2025-11-21T00:00:00+08:00,002475,7751263
2025-11-24T00:00:00+08:00,002475,3179862
2025-11-25T00:00:00+08:00,002475,1237088
2025-11-26T00:00:00+08:00,002475,3844780
2025-11-27T00:00:00+08:00,002475,1923813
2025-11-28T00:00:00+08:00,002475,3424418
2025-12-01T00:00:00+08:00,002475,2273412
2025-12-02T00:00:00+08:00,002475,73977
2025-12-03T00:00:00+08:00,002475,3731993
2025-12-04T00:00:00+08:00,002475,316568
2025-12-05T00:00:00+08:00,002475,1619436
2025-12-08T00:00:00+08:00,002475,1290218
2025-12-09T00:00:00+08:00,002475,4286270
2025-12-10T00:00:00+08:00,002475,3172819
2025-12-11T00:00:00+08:00,002475,2052035
2025-12-12T00:00:00+08:00,002475,3924987
2025-12-15T00:00:00+08:00,002475,5912952
2025-12-16T00:00:00+08:00,002475,594034
2025-12-17T00:00:00+08:00,002475,1960147
2025-12-18T00:00:00+08:00,002475,4434584
2025-12-19T00:00:00+08:00,002475,829473
2025-12-22T00:00:00+08:00,002475,4508502
2025-12-23T00:00:00+08:00,002475,2098142
2025-12-24T00:00:00+08:00,002475,728037
2025-12-25T00:00:00+08:00,002475,3581577
2025-12-26T00:00:00+08:00,002475,3461656
2025-12-29T00:00:00+08:00,002475,1981877
2025-12-30T00:00:00+08:00,002475,3435241
2025-12-31T00:00:00+08:00,002475,5777988
2026-01-05T00:00:00+08:00,002475,515903
2026-01-06T00:00:00+08:00,002475,5518784
2026-01-07T00:00:00+08:00,002475,8489264
2026-01-08T00:00:00+08:00,002475,5198038
