date,stockCode,融券净卖出金额
2025-04-16T00:00:00+08:00,002475,-1016159
2025-04-17T00:00:00+08:00,002475,-953711
2025-04-18T00:00:00+08:00,002475,-4306225
2025-04-21T00:00:00+08:00,002475,1118628
2025-04-22T00:00:00+08:00,002475,-900415
2025-04-23T00:00:00+08:00,002475,1431872
2025-04-24T00:00:00+08:00,002475,-1911106
2025-04-25T00:00:00+08:00,002475,1694788
2025-04-28T00:00:00+08:00,002475,1426306
2025-04-29T00:00:00+08:00,002475,-2042356
2025-04-30T00:00:00+08:00,002475,-2562513
2025-05-06T00:00:00+08:00,002475,6027816
2025-05-07T00:00:00+08:00,002475,-816044
2025-05-08T00:00:00+08:00,002475,2002262
2025-05-09T00:00:00+08:00,002475,-2500249
2025-05-12T00:00:00+08:00,002475,2038214
2025-05-13T00:00:00+08:00,002475,8362943
2025-05-14T00:00:00+08:00,002475,-3974318
2025-05-15T00:00:00+08:00,002475,-1890469
2025-05-16T00:00:00+08:00,002475,-1545132
2025-05-19T00:00:00+08:00,002475,407822
2025-05-20T00:00:00+08:00,002475,-1109228
2025-05-21T00:00:00+08:00,002475,-1915346
2025-05-22T00:00:00+08:00,002475,586140
2025-05-23T00:00:00+08:00,002475,-1160514
2025-05-26T00:00:00+08:00,002475,1242436
2025-05-27T00:00:00+08:00,002475,-1285071
2025-05-28T00:00:00+08:00,002475,-250572
2025-05-29T00:00:00+08:00,002475,239085
2025-05-30T00:00:00+08:00,002475,-1872222
2025-06-03T00:00:00+08:00,002475,285350
2025-06-04T00:00:00+08:00,002475,-1827095
2025-06-05T00:00:00+08:00,002475,940584
2025-06-06T00:00:00+08:00,002475,-227331
2025-06-09T00:00:00+08:00,002475,-94137
2025-06-10T00:00:00+08:00,002475,-3513551
2025-06-11T00:00:00+08:00,002475,2392865
2025-06-12T00:00:00+08:00,002475,-443702
2025-06-13T00:00:00+08:00,002475,-566560
2025-06-16T00:00:00+08:00,002475,2431753
2025-06-17T00:00:00+08:00,002475,4811360
2025-06-18T00:00:00+08:00,002475,-676043
2025-06-19T00:00:00+08:00,002475,-1261292
2025-06-20T00:00:00+08:00,002475,299265
2025-06-23T00:00:00+08:00,002475,231808
2025-06-24T00:00:00+08:00,002475,-3122309
2025-06-25T00:00:00+08:00,002475,363359
2025-06-26T00:00:00+08:00,002475,-915385
2025-06-27T00:00:00+08:00,002475,1427587
2025-06-30T00:00:00+08:00,002475,355130
2025-07-01T00:00:00+08:00,002475,-1056522
2025-07-02T00:00:00+08:00,002475,3166344
2025-07-03T00:00:00+08:00,002475,3438094
2025-07-04T00:00:00+08:00,002475,-1527875
2025-07-07T00:00:00+08:00,002475,48609
2025-07-08T00:00:00+08:00,002475,-2756885
2025-07-09T00:00:00+08:00,002475,-226615
2025-07-10T00:00:00+08:00,002475,2128838
2025-07-11T00:00:00+08:00,002475,1337424
2025-07-14T00:00:00+08:00,002475,-2504159
2025-07-15T00:00:00+08:00,002475,1560253
2025-07-16T00:00:00+08:00,002475,1649966
2025-07-17T00:00:00+08:00,002475,5677654
2025-07-18T00:00:00+08:00,002475,-1689103
2025-07-21T00:00:00+08:00,002475,-617327
2025-07-22T00:00:00+08:00,002475,-591642
2025-07-23T00:00:00+08:00,002475,-58375
2025-07-24T00:00:00+08:00,002475,-18365
2025-07-25T00:00:00+08:00,002475,1939908
2025-07-28T00:00:00+08:00,002475,-2865902
2025-07-29T00:00:00+08:00,002475,-1978068
2025-07-30T00:00:00+08:00,002475,596042
2025-07-31T00:00:00+08:00,002475,-1713438
2025-08-01T00:00:00+08:00,002475,-536899
2025-08-04T00:00:00+08:00,002475,-2644304
2025-08-05T00:00:00+08:00,002475,-3367238
2025-08-06T00:00:00+08:00,002475,-32053
2025-08-07T00:00:00+08:00,002475,5479510
2025-08-08T00:00:00+08:00,002475,-4510819
2025-08-11T00:00:00+08:00,002475,5752634
2025-08-12T00:00:00+08:00,002475,-5222200
2025-08-13T00:00:00+08:00,002475,517534
2025-08-14T00:00:00+08:00,002475,-660643
2025-08-15T00:00:00+08:00,002475,18167
2025-08-18T00:00:00+08:00,002475,2025941
2025-08-19T00:00:00+08:00,002475,-1236442
2025-08-20T00:00:00+08:00,002475,446916
2025-08-21T00:00:00+08:00,002475,1763351
2025-08-22T00:00:00+08:00,002475,-625710
2025-08-25T00:00:00+08:00,002475,1604033
2025-08-26T00:00:00+08:00,002475,9369207
2025-08-27T00:00:00+08:00,002475,-4916737
2025-08-28T00:00:00+08:00,002475,883771
2025-08-29T00:00:00+08:00,002475,-1422927
2025-09-01T00:00:00+08:00,002475,-2626942
2025-09-02T00:00:00+08:00,002475,-62743
2025-09-03T00:00:00+08:00,002475,-277774
2025-09-04T00:00:00+08:00,002475,653770
2025-09-05T00:00:00+08:00,002475,2553083
2025-09-08T00:00:00+08:00,002475,9688615
2025-09-09T00:00:00+08:00,002475,-5269756
2025-09-10T00:00:00+08:00,002475,710554
2025-09-11T00:00:00+08:00,002475,8148509
2025-09-12T00:00:00+08:00,002475,4304037
2025-09-15T00:00:00+08:00,002475,-314665
2025-09-16T00:00:00+08:00,002475,-4932545
2025-09-17T00:00:00+08:00,002475,-5594844
2025-09-18T00:00:00+08:00,002475,1417257
2025-09-19T00:00:00+08:00,002475,2684136
2025-09-22T00:00:00+08:00,002475,14723243
2025-09-23T00:00:00+08:00,002475,20504016
2025-09-24T00:00:00+08:00,002475,-11068969
2025-09-25T00:00:00+08:00,002475,-2174122
2025-09-26T00:00:00+08:00,002475,-13196940
2025-09-29T00:00:00+08:00,002475,-2036081
2025-09-30T00:00:00+08:00,002475,-6472543
2025-10-09T00:00:00+08:00,002475,43737
2025-10-10T00:00:00+08:00,002475,-6959946
2025-10-13T00:00:00+08:00,002475,1560056
2025-10-14T00:00:00+08:00,002475,-4745528
2025-10-15T00:00:00+08:00,002475,1637531
2025-10-16T00:00:00+08:00,002475,1197688
2025-10-17T00:00:00+08:00,002475,-2651299
2025-10-20T00:00:00+08:00,002475,2900998
2025-10-21T00:00:00+08:00,002475,10668717
2025-10-22T00:00:00+08:00,002475,-1735669
2025-10-23T00:00:00+08:00,002475,387648
2025-10-24T00:00:00+08:00,002475,4597554
2025-10-27T00:00:00+08:00,002475,-1099300
2025-10-28T00:00:00+08:00,002475,1156336
2025-10-29T00:00:00+08:00,002475,4568370
2025-10-30T00:00:00+08:00,002475,-1656143
2025-10-31T00:00:00+08:00,002475,1203056
2025-11-03T00:00:00+08:00,002475,-2939188
2025-11-04T00:00:00+08:00,002475,-1032400
2025-11-05T00:00:00+08:00,002475,-898491
2025-11-06T00:00:00+08:00,002475,901520
2025-11-07T00:00:00+08:00,002475,-5806330
2025-11-10T00:00:00+08:00,002475,-1122300
2025-11-11T00:00:00+08:00,002475,-132683
2025-11-12T00:00:00+08:00,002475,2267150
2025-11-13T00:00:00+08:00,002475,-2171233
2025-11-14T00:00:00+08:00,002475,-1587128
2025-11-17T00:00:00+08:00,002475,678826
2025-11-18T00:00:00+08:00,002475,204796
2025-11-19T00:00:00+08:00,002475,-230119
2025-11-20T00:00:00+08:00,002475,-3094583
2025-11-21T00:00:00+08:00,002475,-4617258
2025-11-24T00:00:00+08:00,002475,-48762
2025-11-25T00:00:00+08:00,002475,16793002
2025-11-26T00:00:00+08:00,002475,970580
2025-11-27T00:00:00+08:00,002475,1351387
2025-11-28T00:00:00+08:00,002475,-2621276
2025-12-01T00:00:00+08:00,002475,-761274
2025-12-02T00:00:00+08:00,002475,4702023
2025-12-03T00:00:00+08:00,002475,-2773227
2025-12-04T00:00:00+08:00,002475,1168219
2025-12-05T00:00:00+08:00,002475,1141614
2025-12-08T00:00:00+08:00,002475,2957438
2025-12-09T00:00:00+08:00,002475,-2589470
2025-12-10T00:00:00+08:00,002475,-190366
2025-12-11T00:00:00+08:00,002475,743965
2025-12-12T00:00:00+08:00,002475,-1811687
2025-12-15T00:00:00+08:00,002475,-4605144
2025-12-16T00:00:00+08:00,002475,6841667
2025-12-17T00:00:00+08:00,002475,321727
2025-12-18T00:00:00+08:00,002475,-2992990
2025-12-19T00:00:00+08:00,002475,362907
2025-12-22T00:00:00+08:00,002475,-3792650
2025-12-23T00:00:00+08:00,002475,-913922
2025-12-24T00:00:00+08:00,002475,1667279
2025-12-25T00:00:00+08:00,002475,-1798677
2025-12-26T00:00:00+08:00,002475,-2673256
2025-12-29T00:00:00+08:00,002475,2931891
2025-12-30T00:00:00+08:00,002475,-2825506
2025-12-31T00:00:00+08:00,002475,-3770454
2026-01-05T00:00:00+08:00,002475,9478582
2026-01-06T00:00:00+08:00,002475,-1847144
2026-01-07T00:00:00+08:00,002475,-6584359
2026-01-08T00:00:00+08:00,002475,-2075982
2026-01-09T00:00:00+08:00,002475,2114917
2026-01-12T00:00:00+08:00,002475,-1908523
2026-01-13T00:00:00+08:00,002475,-946488
2026-01-14T00:00:00+08:00,002475,-2131436
2026-01-15T00:00:00+08:00,002475,8833966
2026-01-16T00:00:00+08:00,002475,-1708507
2026-01-19T00:00:00+08:00,002475,3062431
2026-01-20T00:00:00+08:00,002475,-1713869
2026-01-21T00:00:00+08:00,002475,-1528315
2026-01-22T00:00:00+08:00,002475,-5267544
2026-01-23T00:00:00+08:00,002475,-1745298
2026-01-26T00:00:00+08:00,002475,-6628054
2026-01-27T00:00:00+08:00,002475,-2388028
2026-01-28T00:00:00+08:00,002475,-1011121
2026-01-29T00:00:00+08:00,002475,541906
2026-01-30T00:00:00+08:00,002475,-1197024
2026-02-02T00:00:00+08:00,002475,506722
2026-02-03T00:00:00+08:00,002475,348978
2026-02-04T00:00:00+08:00,002475,-1611538
2026-02-05T00:00:00+08:00,002475,-848482
2026-02-06T00:00:00+08:00,002475,-826674
2026-02-09T00:00:00+08:00,002475,346985
2026-02-10T00:00:00+08:00,002475,-412618
2026-02-11T00:00:00+08:00,002475,453265
2026-02-12T00:00:00+08:00,002475,-864996
2026-02-13T00:00:00+08:00,002475,849916
2026-02-24T00:00:00+08:00,002475,-332994
2026-02-25T00:00:00+08:00,002475,459393
2026-02-26T00:00:00+08:00,002475,-1075054
2026-02-27T00:00:00+08:00,002475,-402489
2026-03-02T00:00:00+08:00,002475,1221587
2026-03-03T00:00:00+08:00,002475,-1736685
2026-03-04T00:00:00+08:00,002475,-388856
2026-03-05T00:00:00+08:00,002475,-538282
2026-03-06T00:00:00+08:00,002475,1490987
2026-03-09T00:00:00+08:00,002475,-2015916
2026-03-10T00:00:00+08:00,002475,8170526
2026-03-11T00:00:00+08:00,002475,-2335081
2026-03-12T00:00:00+08:00,002475,-2546920
2026-03-13T00:00:00+08:00,002475,1541336
2026-03-16T00:00:00+08:00,002475,1019045
2026-03-17T00:00:00+08:00,002475,4468329
2026-03-18T00:00:00+08:00,002475,200203
2026-03-19T00:00:00+08:00,002475,-2420505
2026-03-20T00:00:00+08:00,002475,937274
2026-03-23T00:00:00+08:00,002475,1021901
2026-03-24T00:00:00+08:00,002475,-2032964
2026-03-25T00:00:00+08:00,002475,11058648
2026-03-26T00:00:00+08:00,002475,10199883
2026-03-27T00:00:00+08:00,002475,-1331691
2026-03-30T00:00:00+08:00,002475,-2300557
2026-03-31T00:00:00+08:00,002475,2341849
2026-04-01T00:00:00+08:00,002475,2898570
2026-04-02T00:00:00+08:00,002475,3991338
2026-04-03T00:00:00+08:00,002475,-625911
2026-04-07T00:00:00+08:00,002475,-19317312
