date,stockCode,涨跌幅
2025-04-16T00:00:00+08:00,002475,-0.0396
2025-04-17T00:00:00+08:00,002475,-0.0044
2025-04-18T00:00:00+08:00,002475,0.0166
2025-04-21T00:00:00+08:00,002475,0.0307
2025-04-22T00:00:00+08:00,002475,-0.0185
2025-04-23T00:00:00+08:00,002475,0.0406
2025-04-24T00:00:00+08:00,002475,-0.0244
2025-04-25T00:00:00+08:00,002475,0.0276
2025-04-28T00:00:00+08:00,002475,-0.0209
2025-04-29T00:00:00+08:00,002475,-0.0136
2025-04-30T00:00:00+08:00,002475,0.0105
2025-05-06T00:00:00+08:00,002475,0.0311
2025-05-07T00:00:00+08:00,002475,-0.0091
2025-05-08T00:00:00+08:00,002475,0.0387
2025-05-09T00:00:00+08:00,002475,-0.0202
2025-05-12T00:00:00+08:00,002475,0.0636
2025-05-13T00:00:00+08:00,002475,-0.0094
2025-05-14T00:00:00+08:00,002475,-0.0083
2025-05-15T00:00:00+08:00,002475,-0.0257
2025-05-16T00:00:00+08:00,002475,-0.0049
2025-05-19T00:00:00+08:00,002475,-0.0083
2025-05-20T00:00:00+08:00,002475,0.0115
2025-05-21T00:00:00+08:00,002475,-0.0147
2025-05-22T00:00:00+08:00,002475,-0.0109
2025-05-23T00:00:00+08:00,002475,-0.0148
2025-05-26T00:00:00+08:00,002475,-0.0019
2025-05-27T00:00:00+08:00,002475,-0.023
2025-05-28T00:00:00+08:00,002475,-0.0043
2025-05-29T00:00:00+08:00,002475,0.0336
2025-05-30T00:00:00+08:00,002475,-0.0322
2025-06-03T00:00:00+08:00,002475,-0.0026
2025-06-04T00:00:00+08:00,002475,0.0158
2025-06-05T00:00:00+08:00,002475,0.0269
2025-06-06T00:00:00+08:00,002475,-0.0098
2025-06-09T00:00:00+08:00,002475,0.0195
2025-06-10T00:00:00+08:00,002475,-0.0047
2025-06-11T00:00:00+08:00,002475,0.006
2025-06-12T00:00:00+08:00,002475,-0.0041
2025-06-13T00:00:00+08:00,002475,-0.0185
2025-06-16T00:00:00+08:00,002475,0.0211
2025-06-17T00:00:00+08:00,002475,0.0238
2025-06-18T00:00:00+08:00,002475,0.0083
2025-06-19T00:00:00+08:00,002475,-0.0067
2025-06-20T00:00:00+08:00,002475,0.015
2025-06-23T00:00:00+08:00,002475,-0.0006
2025-06-24T00:00:00+08:00,002475,0.0012
2025-06-25T00:00:00+08:00,002475,0.0003
2025-06-26T00:00:00+08:00,002475,-0.0081
2025-06-27T00:00:00+08:00,002475,0.0273
2025-06-30T00:00:00+08:00,002475,0.0242
2025-07-01T00:00:00+08:00,002475,0.0006
2025-07-02T00:00:00+08:00,002475,-0.0228
2025-07-03T00:00:00+08:00,002475,0.0545
2025-07-04T00:00:00+08:00,002475,-0.0134
2025-07-07T00:00:00+08:00,002475,-0.0153
2025-07-08T00:00:00+08:00,002475,0.0176
2025-07-09T00:00:00+08:00,002475,-0.0017
2025-07-10T00:00:00+08:00,002475,0.013
2025-07-11T00:00:00+08:00,002475,0
2025-07-14T00:00:00+08:00,002475,-0.0056
