date,stockCode,人均自由流通市值
2025-04-16T00:00:00+08:00,002475,482931
2025-04-17T00:00:00+08:00,002475,480809
2025-04-18T00:00:00+08:00,002475,488806
2025-04-21T00:00:00+08:00,002475,503821
2025-04-22T00:00:00+08:00,002475,494518
2025-04-23T00:00:00+08:00,002475,514593
2025-04-24T00:00:00+08:00,002475,502026
2025-04-25T00:00:00+08:00,002475,515899
2025-04-28T00:00:00+08:00,002475,507962
2025-04-29T00:00:00+08:00,002475,501069
2025-04-30T00:00:00+08:00,002475,506321
2025-05-06T00:00:00+08:00,002475,522077
2025-05-07T00:00:00+08:00,002475,517317
2025-05-08T00:00:00+08:00,002475,537341
2025-05-09T00:00:00+08:00,002475,526508
2025-05-12T00:00:00+08:00,002475,559990
2025-05-13T00:00:00+08:00,002475,554738
2025-05-14T00:00:00+08:00,002475,550142
2025-05-15T00:00:00+08:00,002475,536028
2025-05-16T00:00:00+08:00,002475,533402
2025-05-19T00:00:00+08:00,002475,528970
2025-05-20T00:00:00+08:00,002475,535043
2025-05-21T00:00:00+08:00,002475,527165
2025-05-22T00:00:00+08:00,002475,521421
2025-05-23T00:00:00+08:00,002475,513707
2025-05-26T00:00:00+08:00,002475,512722
2025-05-27T00:00:00+08:00,002475,500905
2025-05-28T00:00:00+08:00,002475,498772
2025-05-29T00:00:00+08:00,002475,515512
2025-05-30T00:00:00+08:00,002475,498936
2025-06-03T00:00:00+08:00,002475,497623
2025-06-04T00:00:00+08:00,002475,505501
2025-06-05T00:00:00+08:00,002475,519123
2025-06-06T00:00:00+08:00,002475,514035
2025-06-09T00:00:00+08:00,002475,524047
2025-06-10T00:00:00+08:00,002475,521585
2025-06-11T00:00:00+08:00,002475,524703
2025-06-12T00:00:00+08:00,002475,522569
2025-06-13T00:00:00+08:00,002475,512886
2025-06-16T00:00:00+08:00,002475,523718
2025-06-17T00:00:00+08:00,002475,536192
2025-06-18T00:00:00+08:00,002475,540623
2025-06-19T00:00:00+08:00,002475,537012
2025-06-20T00:00:00+08:00,002475,545054
2025-06-23T00:00:00+08:00,002475,544726
2025-06-24T00:00:00+08:00,002475,545383
2025-06-25T00:00:00+08:00,002475,545547
2025-06-26T00:00:00+08:00,002475,541115
2025-06-27T00:00:00+08:00,002475,555887
2025-06-30T00:00:00+08:00,002475,390920
2025-07-01T00:00:00+08:00,002475,391145
2025-07-02T00:00:00+08:00,002475,382243
2025-07-03T00:00:00+08:00,002475,403091
2025-07-04T00:00:00+08:00,002475,397681
2025-07-07T00:00:00+08:00,002475,391596
2025-07-08T00:00:00+08:00,002475,398470
2025-07-09T00:00:00+08:00,002475,397794
2025-07-10T00:00:00+08:00,002475,402978
2025-07-11T00:00:00+08:00,002475,402978
2025-07-14T00:00:00+08:00,002475,398470
2025-07-15T00:00:00+08:00,002475,414472
2025-07-16T00:00:00+08:00,002475,417515
2025-07-17T00:00:00+08:00,002475,443997
2025-07-18T00:00:00+08:00,002475,524755
2025-07-21T00:00:00+08:00,002475,523806
2025-07-22T00:00:00+08:00,002475,516083
2025-07-23T00:00:00+08:00,002475,514322
2025-07-24T00:00:00+08:00,002475,513102
2025-07-25T00:00:00+08:00,002475,519335
2025-07-28T00:00:00+08:00,002475,511612
2025-07-29T00:00:00+08:00,002475,509038
2025-07-30T00:00:00+08:00,002475,511341
2025-07-31T00:00:00+08:00,002475,496302
2025-08-01T00:00:00+08:00,002475,496437
2025-08-04T00:00:00+08:00,002475,491017
2025-08-05T00:00:00+08:00,002475,494134
2025-08-06T00:00:00+08:00,002475,490611
2025-08-07T00:00:00+08:00,002475,501586
2025-08-08T00:00:00+08:00,002475,493727
2025-08-11T00:00:00+08:00,002475,514999
2025-08-12T00:00:00+08:00,002475,517167
2025-08-13T00:00:00+08:00,002475,519606
2025-08-14T00:00:00+08:00,002475,521367
2025-08-15T00:00:00+08:00,002475,522858
2025-08-18T00:00:00+08:00,002475,536407
2025-08-19T00:00:00+08:00,002475,529768
2025-08-20T00:00:00+08:00,002475,542639
2025-08-21T00:00:00+08:00,002475,571634
2025-08-22T00:00:00+08:00,002475,578544
2025-08-25T00:00:00+08:00,002475,581932
2025-08-26T00:00:00+08:00,002475,618385
2025-08-27T00:00:00+08:00,002475,609978
2025-08-28T00:00:00+08:00,002475,625166
2025-08-29T00:00:00+08:00,002475,623539
2025-09-01T00:00:00+08:00,002475,613910
2025-09-02T00:00:00+08:00,002475,593975
2025-09-03T00:00:00+08:00,002475,586110
2025-09-04T00:00:00+08:00,002475,601977
2025-09-05T00:00:00+08:00,002475,640083
2025-09-08T00:00:00+08:00,002475,674664
2025-09-09T00:00:00+08:00,002475,646999
2025-09-10T00:00:00+08:00,002475,677796
2025-09-11T00:00:00+08:00,002475,745589
2025-09-12T00:00:00+08:00,002475,742911
2025-09-15T00:00:00+08:00,002475,743334
2025-09-16T00:00:00+08:00,002475,738401
2025-09-17T00:00:00+08:00,002475,733045
2025-09-18T00:00:00+08:00,002475,748549
2025-09-19T00:00:00+08:00,002475,780966
2025-09-22T00:00:00+08:00,002475,723360
