date,stockCode,公司收益率
2025-04-16T00:00:00+08:00,002475,0.0678
2025-04-17T00:00:00+08:00,002475,0.0681
2025-04-18T00:00:00+08:00,002475,0.067
2025-04-21T00:00:00+08:00,002475,0.0651
2025-04-22T00:00:00+08:00,002475,0.0663
2025-04-23T00:00:00+08:00,002475,0.0638
2025-04-24T00:00:00+08:00,002475,0.0653
2025-04-25T00:00:00+08:00,002475,0.0636
2025-04-28T00:00:00+08:00,002475,0.077
2025-04-29T00:00:00+08:00,002475,0.078
2025-04-30T00:00:00+08:00,002475,0.0772
2025-05-06T00:00:00+08:00,002475,0.0749
2025-05-07T00:00:00+08:00,002475,0.0756
2025-05-08T00:00:00+08:00,002475,0.0729
2025-05-09T00:00:00+08:00,002475,0.0743
2025-05-12T00:00:00+08:00,002475,0.07
2025-05-13T00:00:00+08:00,002475,0.0707
2025-05-14T00:00:00+08:00,002475,0.0712
2025-05-15T00:00:00+08:00,002475,0.0731
2025-05-16T00:00:00+08:00,002475,0.0734
2025-05-19T00:00:00+08:00,002475,0.074
2025-05-20T00:00:00+08:00,002475,0.0732
2025-05-21T00:00:00+08:00,002475,0.0742
2025-05-22T00:00:00+08:00,002475,0.075
2025-05-23T00:00:00+08:00,002475,0.0761
2025-05-26T00:00:00+08:00,002475,0.0763
2025-05-27T00:00:00+08:00,002475,0.078
2025-05-28T00:00:00+08:00,002475,0.0783
2025-05-29T00:00:00+08:00,002475,0.0759
2025-05-30T00:00:00+08:00,002475,0.0783
2025-06-03T00:00:00+08:00,002475,0.0785
2025-06-04T00:00:00+08:00,002475,0.0773
2025-06-05T00:00:00+08:00,002475,0.0754
2025-06-06T00:00:00+08:00,002475,0.0761
2025-06-09T00:00:00+08:00,002475,0.0747
2025-06-10T00:00:00+08:00,002475,0.075
2025-06-11T00:00:00+08:00,002475,0.0746
2025-06-12T00:00:00+08:00,002475,0.0749
2025-06-13T00:00:00+08:00,002475,0.0763
2025-06-16T00:00:00+08:00,002475,0.0747
2025-06-17T00:00:00+08:00,002475,0.073
2025-06-18T00:00:00+08:00,002475,0.0725
2025-06-19T00:00:00+08:00,002475,0.0729
2025-06-20T00:00:00+08:00,002475,0.0719
2025-06-23T00:00:00+08:00,002475,0.0719
2025-06-24T00:00:00+08:00,002475,0.0718
2025-06-25T00:00:00+08:00,002475,0.0718
2025-06-26T00:00:00+08:00,002475,0.0724
2025-06-27T00:00:00+08:00,002475,0.0705
2025-06-30T00:00:00+08:00,002475,0.0689
2025-07-01T00:00:00+08:00,002475,0.0688
2025-07-02T00:00:00+08:00,002475,0.0704
2025-07-03T00:00:00+08:00,002475,0.0668
2025-07-04T00:00:00+08:00,002475,0.0677
2025-07-07T00:00:00+08:00,002475,0.0687
2025-07-08T00:00:00+08:00,002475,0.0676
2025-07-09T00:00:00+08:00,002475,0.0677
2025-07-10T00:00:00+08:00,002475,0.0669
2025-07-11T00:00:00+08:00,002475,0.0669
2025-07-14T00:00:00+08:00,002475,0.0676
2025-07-15T00:00:00+08:00,002475,0.065
2025-07-16T00:00:00+08:00,002475,0.0646
2025-07-17T00:00:00+08:00,002475,0.0608
2025-07-18T00:00:00+08:00,002475,0.0619
2025-07-21T00:00:00+08:00,002475,0.062
2025-07-22T00:00:00+08:00,002475,0.0629
2025-07-23T00:00:00+08:00,002475,0.0631
2025-07-24T00:00:00+08:00,002475,0.0632
2025-07-25T00:00:00+08:00,002475,0.0625
2025-07-28T00:00:00+08:00,002475,0.0634
2025-07-29T00:00:00+08:00,002475,0.0637
2025-07-30T00:00:00+08:00,002475,0.0634
2025-07-31T00:00:00+08:00,002475,0.0653
2025-08-01T00:00:00+08:00,002475,0.0653
2025-08-04T00:00:00+08:00,002475,0.066
2025-08-05T00:00:00+08:00,002475,0.0656
2025-08-06T00:00:00+08:00,002475,0.066
2025-08-07T00:00:00+08:00,002475,0.0646
2025-08-08T00:00:00+08:00,002475,0.0656
2025-08-11T00:00:00+08:00,002475,0.063
2025-08-12T00:00:00+08:00,002475,0.0627
2025-08-13T00:00:00+08:00,002475,0.0624
2025-08-14T00:00:00+08:00,002475,0.0622
2025-08-15T00:00:00+08:00,002475,0.0621
2025-08-18T00:00:00+08:00,002475,0.0605
2025-08-19T00:00:00+08:00,002475,0.0613
2025-08-20T00:00:00+08:00,002475,0.0599
2025-08-21T00:00:00+08:00,002475,0.0569
2025-08-22T00:00:00+08:00,002475,0.0562
2025-08-25T00:00:00+08:00,002475,0.0559
2025-08-26T00:00:00+08:00,002475,0.0551
2025-08-27T00:00:00+08:00,002475,0.0559
2025-08-28T00:00:00+08:00,002475,0.0545
2025-08-29T00:00:00+08:00,002475,0.0547
2025-09-01T00:00:00+08:00,002475,0.0555
2025-09-02T00:00:00+08:00,002475,0.0573
2025-09-03T00:00:00+08:00,002475,0.0581
2025-09-04T00:00:00+08:00,002475,0.0566
2025-09-05T00:00:00+08:00,002475,0.0533
2025-09-08T00:00:00+08:00,002475,0.0506
2025-09-09T00:00:00+08:00,002475,0.0527
2025-09-10T00:00:00+08:00,002475,0.0523
2025-09-11T00:00:00+08:00,002475,0.0477
2025-09-12T00:00:00+08:00,002475,0.0479
2025-09-15T00:00:00+08:00,002475,0.0478
2025-09-16T00:00:00+08:00,002475,0.0481
2025-09-17T00:00:00+08:00,002475,0.0485
2025-09-18T00:00:00+08:00,002475,0.0475
2025-09-19T00:00:00+08:00,002475,0.0456
2025-09-22T00:00:00+08:00,002475,0.0415
2025-09-23T00:00:00+08:00,002475,0.0386
2025-09-24T00:00:00+08:00,002475,0.0361
2025-09-25T00:00:00+08:00,002475,0.0369
2025-09-26T00:00:00+08:00,002475,0.0394
2025-09-29T00:00:00+08:00,002475,0.0391
2025-09-30T00:00:00+08:00,002475,0.039
2025-10-09T00:00:00+08:00,002475,0.0386
2025-10-10T00:00:00+08:00,002475,0.0414
2025-10-13T00:00:00+08:00,002475,0.0436
