date,基本每股收益,累积同比,营业收入,归属于母公司普通股股东的净利润
2026-03-31,1.14,0.0556,11602596895,2037306990
2025-12-31,2.89,0.0865,41186999090,5153486839
2025-09-30,2.68,0.1074,30654214209,4777119657
2025-06-30,2.04,0.1397,21257102896,3632911303
2025-03-31,1.08,0.1368,10841237721,1934639585
2024-12-31,2.66,0.1616,40033300815,4749415500
2024-09-30,2.42,0.0476,29915155070,4326728068
2024-06-30,1.79,0.1329,20455286288,3188829903
2024-03-31,0.95,0.1176,10774290921,1701931446
2023-12-31,2.29,0.2053,39111292156,4093782074
2023-09-30,2.31,0.5098,29688532074,4123477414
2023-06-30,1.58,0.4364,20309372850,2828011615
2023-03-31,0.85,0.1972,10512750996,1517988357
2022-12-31,1.9,-0.1403,36488372650,3001125887
2022-09-30,1.53,-0.2031,26915689707,2304896295
2022-06-30,1.1,-0.2199,18016738609,1500494604
2022-03-31,0.71,0.1833,9429539929,914368241
2021-12-31,2.21,-0.4884,36373919016,2803621557
2021-09-30,1.92,-0.4234,28362522490,2450534048
2021-06-30,1.41,-0.2656,19083116729,1801667011
2021-03-31,0.6,-0.4,10327715582,763157801
2020-12-31,4.32,0.3171,32742766764,5516072179
2020-09-30,3.33,0.2022,23931064092,4252918292
2020-06-30,1.92,0.0909,15493464941,2453671221
2020-03-31,1,-0.3464,7743346885,1282090210
2019-12-31,3.28,0.1971,29664673869,4183727553
2019-09-30,2.77,-0.1262,21646165513,3541872761
2019-06-30,2.16,0.0854,13897383378,2247004753
2019-03-31,0.81,0.0519,6973436529,846304198
2018-12-31,3.18,0.053,26708213488,3306564317
2018-09-30,2.62,0.048,19723663129,2732153730
2018-06-30,1.57,0.0467,12973588155,1633063580
2018-03-31,0.77,0.1,6337444218,806245260
2017-12-31,3.02,0.0786,24314614044,3144981430
2017-09-30,2.5,0.1013,18007792023,2605028868
2017-06-30,1.5,0.1278,11960320334,1565049363
2017-03-31,0.7,0.1667,5908715880,725141944
2016-12-31,2.8,0.0526,22410654404,2919876813
2016-09-30,2.27,0.1019,16287679739,2359847913
2016-06-30,1.33,0.0992,10452414494,1388092245
